Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-04-06 06:58:14.726,0 days 01:10:22.155000,,890.1244444444444,0 days 00:00:00,11159.0333952,280.9666688,7,100.0,False,12,interpolation,0.16593226577854653,2.8697689676167053e-05,OnTrack,1752.1165067481784,-904.7062493117496,741.3445366699199,VER,11,SOFT,2
2024-04-06 06:58:16.190,0 days 01:10:23.619000,11,867.2322198755553,0 days 00:00:01.464000,10603.1496896,297.74090996363634,7,100.0,False,12,pos,118.98787048198287,0.02057874016423732,OnTrack,2466.0,-1740.0,710.0,VER,11,SOFT,2
2024-04-06 06:58:17.428,0 days 01:10:24.857000,11,846.7799999999997,0 days 00:00:02.702000,10964.0,309.0,8,100.0,False,12,car,223.72111111111107,0.03869216749708234,OnTrack,3220.881081691544,-2622.2099668456567,676.7003036457397,VER,11,SOFT,2
2024-04-06 06:58:18.670,0 days 01:10:26.099000,11,826.9583304407441,0 days 00:00:03.944000,11136.515530142819,315.0,8,100.0,False,12,pos,331.6144956056936,0.05735213608010161,OnTrack,3902.0,-3419.0,648.0,VER,11,SOFT,2
2024-04-06 06:58:19.870,0 days 01:10:27.299000,11,798.8697188444445,0 days 00:00:05.144000,11277.0,319.2625008,8,100.0,False,12,pos,437.6599876257541,0.0756925149525848,OnTrack,4530.0,-4160.0,621.0,VER,11,SOFT,2
2024-04-06 06:58:20.950,0 days 01:10:28.379000,11,772.1324970844445,0 days 00:00:06.224000,11401.0083552,322.0,8,100.0,False,12,pos,534.0735555659512,0.09236706971948255,OnTrack,5168.0,-4908.0,594.0,VER,11,SOFT,2
2024-04-06 06:58:22.150,0 days 01:10:29.579000,11,741.2341631466668,0 days 00:00:07.424000,11338.0874576,320.4749984,8,100.0,False,10,pos,641.5884178835553,0.1109615735665175,OnTrack,5898.0,-5799.0,563.0,VER,11,SOFT,2
2024-04-06 06:58:23.369,0 days 01:10:30.798000,11,718.699166737778,0 days 00:00:08.643000,11067.250048,255.33572022857143,7,0.0,True,8,pos,740.7087213923807,0.12810425342662407,OnTrack,5962.0,-6793.0,542.0,VER,11,SOFT,2
2024-04-06 06:58:25.068,0 days 01:10:32.497000,11,723.3780555555559,0 days 00:00:10.342000,8840.0,172.0,5,43.0,False,8,car,833.1422222222221,0.14409046267923983,OnTrack,5387.259788334833,-7306.397426355782,550.491818794526,VER,11,SOFT,2
2024-04-06 06:58:26.350,0 days 01:10:33.779000,11,730.1655562190813,0 days 00:00:11.624000,10231.022792337197,193.48120934637242,5,97.45865119460231,False,8,pos,897.8291604365302,0.15527795337169567,OnTrack,4819.0,-7080.0,569.0,VER,11,SOFT,2
2024-04-06 06:58:27.530,0 days 01:10:34.959000,11,734.7877775288894,0 days 00:00:12.804000,11567.2873616,225.2312472,5,100.0,False,8,pos,967.6753135282124,0.1673577210835055,OnTrack,4438.0,-6474.0,580.0,VER,11,SOFT,2
2024-04-06 06:58:28.789,0 days 01:10:36.218000,11,734.3319445688895,0 days 00:00:14.063000,11254.578096,250.2562496,6,100.0,False,8,pos,1051.9052545051413,0.18192513927825102,OnTrack,3986.0,-5795.0,594.0,VER,11,SOFT,2
2024-04-06 06:58:30.149,0 days 01:10:37.578000,11,733.6122221866676,0 days 00:00:15.423000,11483.183428266666,255.5124992,6,82.91669333333334,False,8,pos,1147.8818123616497,0.19852411392992397,OnTrack,3065.0,-5425.0,619.0,VER,11,SOFT,2
2024-04-06 06:58:31.470,0 days 01:10:38.899000,11,744.0366682666672,0 days 00:00:16.744000,10434.900011885715,229.0,6,81.35000411428571,False,8,pos,1235.3350524107152,0.2136489959552973,OnTrack,2408.0,-4999.0,657.0,VER,11,SOFT,2
2024-04-06 06:58:32.749,0 days 01:10:40.178000,11,759.1791666666675,0 days 00:00:18.023000,10608.0,237.0,6,59.0,False,8,car,1318.9674999999995,0.2281130787333791,OnTrack,2162.873610273595,-4204.035576515584,695.0021415043376,VER,11,SOFT,2
2024-04-06 06:58:33.988,0 days 01:10:41.417000,11,779.5416666666672,0 days 00:00:19.262000,10298.0,225.0,6,94.0,False,8,car,1397.0038888888882,0.2416093331313682,OnTrack,1540.4234810951048,-3727.042566200654,731.5909715353648,VER,11,SOFT,2
2024-04-06 06:58:35.348,0 days 01:10:42.777000,11,799.9972222222227,0 days 00:00:20.622000,10841.0,216.0,5,0.0,True,8,car,1484.2816666666658,0.25670386926959493,OnTrack,697.7449968621069,-3607.7557001169525,758.644622546256,VER,11,SOFT,2
2024-04-06 06:58:36.489,0 days 01:10:43.918000,11,820.1433325155563,0 days 00:00:21.763000,9897.828500114285,189.2714294857143,5,75.18212662857142,False,8,pos,1546.8254644712285,0.2675207076472477,OnTrack,223.0,-3195.0,755.0,VER,11,SOFT,2
2024-04-06 06:58:37.809,0 days 01:10:45.238000,11,805.1211124266672,0 days 00:00:23.083000,11150.0437072,207.9187472,5,100.0,False,8,pos,1620.8801452180564,0.2803283327174458,OnTrack,217.0,-2497.0,740.0,VER,11,SOFT,2
2024-04-06 06:58:39.149,0 days 01:10:46.578000,11,774.9738888888901,0 days 00:00:24.423000,10938.0,234.0,6,100.0,False,8,car,1705.7344444444434,0.29500373255883267,OnTrack,470.5562983901845,-1679.7261866062745,769.4815620702267,VER,11,SOFT,2
2024-04-06 06:58:40.390,0 days 01:10:47.819000,11,759.2577767466674,0 days 00:00:25.664000,11193.8687656,245.7625008,6,100.0,False,8,pos,1788.8440512460475,0.30937739095438416,OnTrack,-10.0,-1039.0,827.0,VER,11,SOFT,2
2024-04-06 06:58:41.610,0 days 01:10:49.039000,11,751.7538894577791,0 days 00:00:26.884000,11516.59013504,257.92999808,6,100.0,False,8,pos,1874.3439953421162,0.32416445392544746,OnTrack,-813.0,-745.0,873.0,VER,11,SOFT,2
2024-04-06 06:58:42.749,0 days 01:10:50.178000,11,748.2269446044454,0 days 00:00:28.023000,10796.72247296,269.80999936,7,100.0,False,8,pos,1958.2469068222997,0.3386753129514954,OnTrack,-1646.0,-718.0,880.0,VER,11,SOFT,2
2024-04-06 06:58:44.170,0 days 01:10:51.599000,11,737.162780622224,0 days 00:00:29.444000,11155.83993344,281.41999872,7,100.0,False,8,pos,2067.545451964659,0.3575783015645605,OnTrack,-2639.0,-1173.0,868.0,VER,11,SOFT,2
2024-04-06 06:58:45.309,0 days 01:10:52.738000,11,693.5302777777802,0 days 00:00:30.583000,11411.0,287.0,7,100.0,False,8,car,2157.657777777776,0.3731630677343527,OnTrack,-3211.3828408309055,-1854.9739227048658,855.1556696654249,VER,11,SOFT,2
2024-04-06 06:58:46.630,0 days 01:10:54.059000,11,621.5444375466692,0 days 00:00:31.904000,10876.133149866666,276.4249952,7,22.366690133333332,True,8,pos,2263.012911281292,0.3913840503316139,OnTrack,-3891.0,-2658.0,841.0,VER,11,SOFT,2
2024-04-06 06:58:47.650,0 days 01:10:55.079000,11,568.1683383466682,0 days 00:00:32.924000,10319.9001984,263.5250144,7,43.768768800000004,True,8,pos,2338.783902924228,0.404488508312839,OnTrack,-4618.0,-2820.0,825.0,VER,11,SOFT,2
2024-04-06 06:58:48.929,0 days 01:10:56.358000,11,537.820833564446,0 days 00:00:34.203000,8939.318079085715,150.53571657142857,4,0.0,True,8,pos,2406.02992794319,0.4161185885078833,OnTrack,-5329.0,-2847.0,803.0,VER,11,SOFT,2
2024-04-06 06:58:50.468,0 days 01:10:57.897000,11,547.4633333333345,0 days 00:00:35.742000,10353.0,163.0,4,100.0,False,8,car,2469.3797222222206,0.4270748225395148,OnTrack,-5664.074514213789,-2378.982520336419,802.7106401882942,VER,11,SOFT,2
