Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-05-04 20:50:55.554,0 days 01:03:57.542000,,1031.3963888888889,0 days 00:00:00,11617.0186944,293.5687488,7,100.0,False,12,interpolation,0.22550892382373133,4.2175680565860864e-05,OnTrack,1896.2117658705067,90.91529651934236,249.29017898168215,VER,14,SOFT,2
2024-05-04 20:50:56.841,0 days 01:03:58.829000,11,1028.7408333333335,0 days 00:00:01.287000,10817.0,306.0,8,100.0,False,12,car,107.76694444444445,0.020155052613352268,OnTrack,2797.0333525924057,-475.5608892801125,250.43302025702877,VER,14,SOFT,2
2024-05-04 20:50:58.213,0 days 01:04:00.201000,11,1009.2422235377779,0 days 00:00:02.659000,11138.777253236363,313.8772724363636,8,100.0,False,12,pos,226.33700320773096,0.04233055165029752,OnTrack,3819.0,-1083.0,246.0,VER,14,SOFT,2
2024-05-04 20:50:59.480,0 days 01:04:01.468000,11,998.9538888888889,0 days 00:00:03.926000,9905.0,192.0,7,0.0,True,8,car,317.71388888888896,0.05942026267478929,OnTrack,4737.177987421672,-1571.8929534332187,248.58677888570304,VER,14,SOFT,2
2024-05-04 20:51:00.800,0 days 01:04:02.788000,11,1039.0538888888887,0 days 00:00:05.246000,7480.0,108.0,3,0.0,True,8,car,367.1694444444446,0.0686696603391969,OnTrack,5013.970660574758,-1923.5326211363492,242.9943649302473,VER,14,SOFT,2
2024-05-04 20:51:01.913,0 days 01:04:03.901000,11,1082.6416643199998,0 days 00:00:06.359000,7671.542769371428,99.16071314285715,3,37.0,False,8,pos,397.41993691316884,0.07432724180288278,OnTrack,4853.0,-2217.0,245.0,VER,14,SOFT,2
2024-05-04 20:51:03.173,0 days 01:04:05.161000,11,1105.344444444444,0 days 00:00:07.619000,11045.1,148.6,3,98.9,False,8,pos,441.3779370204339,0.08254846222911844,OnTrack,4558.0,-2526.0,246.0,VER,14,SOFT,2
2024-05-04 20:51:04.520,0 days 01:04:06.508000,11,1095.7274999999997,0 days 00:00:08.966000,11640.0,190.0,4,100.0,False,8,car,505.0944444444446,0.09446500645416156,OnTrack,4414.857897854249,-3057.3601140460946,244.16691010729903,VER,14,SOFT,2
2024-05-04 20:51:05.713,0 days 01:04:07.701000,11,1072.2275014222216,0 days 00:00:10.159000,11655.1062304,224.4124992,5,100.0,False,8,pos,575.2602527776969,0.10758772758080654,OnTrack,4228.0,-3723.0,243.0,VER,14,SOFT,2
2024-05-04 20:51:07.112,0 days 01:04:09.100000,11,1045.9763888888883,0 days 00:00:11.558000,11216.68,246.84,6,100.0,False,8,pos,668.1400431964241,0.12495851852469962,OnTrack,3452.0,-4203.0,255.0,VER,14,SOFT,2
