Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-06-09 19:47:44.228,0 days 01:48:38.231000,,,0 days 00:00:00,11298.25,285.0,7,100.0,False,0,interpolation,5.7717422141001506e-05,1.3227248493665085e-08,OnTrack,3367.9916916894845,793.1237883704994,129.9808695948362,VER,70,MEDIUM,25
2024-06-09 19:47:45.598,0 days 01:48:39.601000,,,0 days 00:00:01.370000,11178.250012444445,286.0,7,100.0,False,0,pos,108.5462639698147,0.024875823511889265,OnTrack,3352.0,-304.0,130.0,VER,70,MEDIUM,25
2024-06-09 19:47:46.837,0 days 01:48:40.840000,,,0 days 00:00:02.609000,9945.846911965133,197.7580097954186,6,0.0,True,0,pos,192.91719118138735,0.04421132358431169,OnTrack,3281.0,-1067.0,134.0,VER,70,MEDIUM,25
2024-06-09 19:47:48.017,0 days 01:48:42.020000,,,0 days 00:00:03.789000,9922.666666666666,143.16666666666666,3,0.7666666666666667,True,0,pos,244.7694064886664,0.056094427705178085,OnTrack,3413.0,-1498.0,134.0,VER,70,MEDIUM,25
2024-06-09 19:47:49.113,0 days 01:48:43.116000,,,0 days 00:00:04.885000,7745.0,124.0,3,0.0,True,0,car,284.71277777777783,0.06524835174013256,OnTrack,3743.1496991509093,-1731.622148472171,135.00159341808643,VER,70,MEDIUM,25
2024-06-09 19:47:50.337,0 days 01:48:44.340000,,,0 days 00:00:06.109000,5390.40005888,81.0,3,0.0,False,0,pos,315.4028304807823,0.07228166920947286,OnTrack,3885.0,-1973.0,136.0,VER,70,MEDIUM,25
2024-06-09 19:47:51.598,0 days 01:48:45.601000,,,0 days 00:00:07.370000,6265.08862916923,81.71923298461539,3,38.72308086153846,False,0,pos,342.5227587750375,0.0784968121838141,OnTrack,3758.0,-2207.0,141.0,VER,70,MEDIUM,25
2024-06-09 19:47:52.912,0 days 01:48:46.915000,,,0 days 00:00:08.684000,9584.0,124.0,3,87.0,False,0,car,380.4886111111112,0.08719754316846827,OnTrack,3397.848717460168,-2271.480181298697,154.29722773709125,VER,70,MEDIUM,25
2024-06-09 19:47:54.237,0 days 01:48:48.240000,,,0 days 00:00:10.009000,11242.675,184.8875,4,100.0,False,0,pos,439.7492964921869,0.10077846522713237,OnTrack,2851.0,-2165.0,172.0,VER,70,MEDIUM,25
2024-06-09 19:47:55.713,0 days 01:48:49.716000,,,0 days 00:00:11.485000,11535.0,226.0,5,100.0,False,0,car,526.5888888888888,0.120679715581594,OnTrack,1968.0027313635055,-1734.63231014878,176.47857439210418,VER,70,MEDIUM,25
2024-06-09 19:47:56.917,0 days 01:48:50.920000,,,0 days 00:00:12.689000,10822.874976,243.72222151111112,6,100.0,False,0,pos,605.9426007412328,0.13886540764374702,OnTrack,1413.0,-1307.0,176.0,VER,70,MEDIUM,25
2024-06-09 19:47:58.352,0 days 01:48:52.355000,,,0 days 00:00:14.124000,9019.0,156.0,4,0.0,True,0,car,686.3886111111111,0.15730142453653664,OnTrack,827.8369580606721,-772.6397019526398,174.09599625692903,VER,70,MEDIUM,25
2024-06-09 19:47:59.717,0 days 01:48:53.720000,,,0 days 00:00:15.489000,9014.8748608,142.77499776,4,84.02499456,False,0,pos,739.2987721618351,0.1694269807753903,OnTrack,770.0,-269.0,162.0,VER,70,MEDIUM,25
2024-06-09 19:48:00.953,0 days 01:48:54.956000,,,0 days 00:00:16.725000,10060.0,164.0,4,80.0,False,0,car,793.2425000000002,0.18178940214485123,OnTrack,597.2010177033933,234.94232691055936,140.82601033307964,VER,70,MEDIUM,25
2024-06-09 19:48:02.277,0 days 01:48:56.280000,,,0 days 00:00:18.049000,10994.2625,209.6125,5,100.0,False,0,pos,864.0017019855162,0.19800546851193793,OnTrack,180.0,750.0,129.0,VER,70,MEDIUM,25
2024-06-09 19:48:03.618,0 days 01:48:57.621000,,,0 days 00:00:19.390000,10962.8785664,243.035712,6,100.0,False,0,pos,950.1734824631079,0.21775367470963747,OnTrack,-453.0,1304.0,131.0,VER,70,MEDIUM,25
2024-06-09 19:48:04.832,0 days 01:48:58.835000,,,0 days 00:00:20.604000,11472.0,257.0,6,100.0,False,0,car,1035.5094444444446,0.23731033425579517,OnTrack,-906.7574211514067,2102.84001985102,130.04754903065756,VER,70,MEDIUM,25
2024-06-09 19:48:06.277,0 days 01:49:00.280000,,,0 days 00:00:22.049000,11104.75008768,254.25000448,6,9.000007680000001,False,0,pos,1139.888197735766,0.26123107874118795,OnTrack,-926.0,3104.0,132.0,VER,70,MEDIUM,25
2024-06-09 19:48:07.473,0 days 01:49:01.476000,,,0 days 00:00:23.245000,9576.0,139.0,4,0.0,True,0,car,1201.3275000000006,0.2753112799744956,OnTrack,-997.0831932131879,3801.491104695867,142.39824692207029,VER,70,MEDIUM,25
2024-06-09 19:48:08.897,0 days 01:49:02.900000,,,0 days 00:00:24.669000,7222.428571428572,99.28571428571429,3,6.6,False,0,pos,1245.8262334631072,0.2855091679500658,OnTrack,-1347.0,3983.0,152.0,VER,70,MEDIUM,25
2024-06-09 19:48:10.072,0 days 01:49:04.075000,,,0 days 00:00:25.844000,9457.0,125.0,3,93.0,False,0,car,1281.348333333334,0.2936498579639496,OnTrack,-1602.408369696842,3970.7542818186566,156.72625670737077,VER,70,MEDIUM,25
2024-06-09 19:48:11.058,0 days 01:49:05.061000,,,0 days 00:00:26.830000,8890.171150628572,142.89285485714285,4,66.6499968,False,0,pos,1318.7923945591015,0.30223100875214803,OnTrack,-1932.0,4117.0,162.0,VER,70,MEDIUM,25
2024-06-09 19:48:12.592,0 days 01:49:06.595000,,,0 days 00:00:28.364000,11627.0,194.0,4,100.0,False,0,car,1393.0150000000008,0.3192407921017974,OnTrack,-2256.209899810499,4762.203955964081,165.98535301682617,VER,70,MEDIUM,25
2024-06-09 19:48:13.657,0 days 01:49:07.660000,,,0 days 00:00:29.429000,11443.45,227.15,5,100.0,False,0,pos,1457.2358555869973,0.33395844898779503,OnTrack,-2342.0,5394.0,165.0,VER,70,MEDIUM,25
2024-06-09 19:48:15.033,0 days 01:49:09.036000,,,0 days 00:00:30.805000,11425.0,256.0,6,100.0,False,0,car,1551.1661111111116,0.3554846846534859,OnTrack,-2424.837216596161,6395.856536660151,162.1945254108778,VER,70,MEDIUM,25
2024-06-09 19:48:16.153,0 days 01:49:10.156000,,,0 days 00:00:31.925000,10710.0,273.0,7,100.0,False,0,car,1634.0216666666672,0.3744729031476084,OnTrack,-2449.3279894585694,7147.044864509109,163.1913177939916,VER,70,MEDIUM,25
2024-06-09 19:48:17.512,0 days 01:49:11.515000,,,0 days 00:00:33.284000,11292.0,286.0,7,100.0,False,0,car,1739.9769444444448,0.3987549437610574,OnTrack,-2389.390739142129,8200.413087045,164.08845050400402,VER,70,MEDIUM,25
