Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-07-27 10:34:16.041,0 days 00:18:32.064000,,,0 days 00:00:00,11403.566666666668,223.86666666666667,5,100.0,False,9,interpolation,1.149689543816364,0.00016438890897150875,OnTrack,-473.9200631106272,1365.8873569731395,4137.978417746587,VER,3,INTERMEDIATE,3
2024-07-27 10:34:17.138,0 days 00:18:33.161000,,,0 days 00:00:01.097000,10974.0,245.0,6,100.0,False,9,car,73.70138888888889,0.010538228319370143,OnTrack,-866.3815222254691,1958.5770308632982,4152.011934551737,VER,3,INTERMEDIATE,3
2024-07-27 10:34:18.317,0 days 00:18:34.340000,,,0 days 00:00:02.276000,11027.0,266.1,6,100.0,False,9,pos,158.75515925552875,0.022699682330748438,OnTrack,-1334.0,2663.0,4168.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:19.457,0 days 00:18:35.480000,,,0 days 00:00:03.416000,10004.6,258.3,7,0.0,True,9,pos,244.4519954615015,0.03495308541854772,OnTrack,-1807.0,3379.0,4186.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:20.937,0 days 00:18:36.960000,,,0 days 00:00:04.896000,10405.0,145.0,3,0.0,True,9,car,321.0725,0.04590870488440777,OnTrack,-2242.1174198862755,4074.051674246625,4219.368398912971,VER,3,INTERMEDIATE,3
2024-07-27 10:34:22.316,0 days 00:18:38.339000,,,0 days 00:00:06.275000,6991.4747456000005,85.7874976,2,0.0,True,9,pos,362.35904500391956,0.05181208125666562,OnTrack,-2286.0,4445.0,4217.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:23.417,0 days 00:18:39.440000,,,0 days 00:00:07.376000,5307.312978138589,64.78393312512942,2,0.44321337497411634,False,9,pos,384.1913273646845,0.054933780585799785,OnTrack,-2104.0,4549.0,4216.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:24.817,0 days 00:18:40.840000,,,0 days 00:00:08.776000,7287.0,74.0,2,35.0,False,9,car,409.1802777777778,0.058506837605276064,OnTrack,-1840.0242867599559,4478.807845356092,4202.614476526468,VER,3,INTERMEDIATE,3
2024-07-27 10:34:26.057,0 days 00:18:42.080000,,,0 days 00:00:10.016000,11155.0,111.0,2,78.0,False,9,car,441.80250000000007,0.06317134164306681,OnTrack,-1553.3026683162755,4346.905751461452,4182.985061204503,VER,3,INTERMEDIATE,3
2024-07-27 10:34:27.456,0 days 00:18:43.479000,,,0 days 00:00:11.415000,11152.9857792,179.9500032,3,100.0,False,9,pos,501.5724830115156,0.07171758123388114,OnTrack,-1051.0,4090.0,4145.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:28.617,0 days 00:18:44.640000,,,0 days 00:00:12.576000,11382.0,222.0,5,100.0,False,9,car,568.3691666666667,0.08126853697497226,OnTrack,-474.47346845156324,3779.9240980471654,4102.049475353209,VER,3,INTERMEDIATE,3
2024-07-27 10:34:29.897,0 days 00:18:45.920000,,,0 days 00:00:13.856000,11236.0,252.0,6,100.0,False,9,car,653.9247222222222,0.09350173898143979,OnTrack,225.11180361367997,3293.787774871914,4050.5117277291793,VER,3,INTERMEDIATE,3
2024-07-27 10:34:31.177,0 days 00:18:47.200000,,,0 days 00:00:15.136000,10808.5500288,270.9892864,6,100.0,False,9,pos,747.886450193455,0.10693690156889384,OnTrack,912.0,2662.0,4004.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:32.257,0 days 00:18:48.280000,,,0 days 00:00:16.216000,11159.0,285.0,7,100.0,False,9,car,831.8516666666668,0.11894270818149406,OnTrack,1488.051552856123,2059.067291321163,3961.8648574590684,VER,3,INTERMEDIATE,3
2024-07-27 10:34:33.937,0 days 00:18:49.960000,,,0 days 00:00:17.896000,11558.0,297.0,7,100.0,False,9,car,968.0405555555557,0.1384157415572438,OnTrack,2328.573948902353,1137.628184721303,3905.1575229595855,VER,3,INTERMEDIATE,3
2024-07-27 10:34:35.556,0 days 00:18:51.579000,,,0 days 00:00:19.515000,11079.2124704,288.7791648,7,41.729168,True,9,pos,1101.4973144932762,0.1574981200259739,OnTrack,3371.0,323.0,3920.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:36.978,0 days 00:18:53.001000,,,0 days 00:00:20.937000,10758.0,270.0,7,100.0,False,9,car,1210.0044444444443,0.1730130638681973,OnTrack,3928.8195211381326,-568.5989381041476,4069.3781537799086,VER,3,INTERMEDIATE,3
2024-07-27 10:34:38.217,0 days 00:18:54.240000,,,0 days 00:00:22.176000,10918.991632336969,277.83263602808074,7,98.82845219656511,False,9,pos,1304.674070636612,0.1865494456211454,OnTrack,4202.0,-1469.0,4143.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:39.497,0 days 00:18:55.520000,,,0 days 00:00:23.456000,11240.0,284.0,7,100.0,False,9,car,1405.0383333333327,0.20090007769672,OnTrack,4766.834044440567,-2299.239080230522,4187.72362110926,VER,3,INTERMEDIATE,3
2024-07-27 10:34:40.617,0 days 00:18:56.640000,,,0 days 00:00:24.576000,11404.0,292.0,7,100.0,False,9,car,1495.1049999999996,0.21377830308171042,OnTrack,5305.037989957936,-3033.760066197112,4229.275978153465,VER,3,INTERMEDIATE,3
2024-07-27 10:34:41.976,0 days 00:18:57.999000,,,0 days 00:00:25.935000,11571.8444544,295.0,7,100.0,False,9,pos,1606.1451015325579,0.22965542507625336,OnTrack,5856.0,-3954.0,4276.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:43.217,0 days 00:18:59.240000,,,0 days 00:00:27.176000,10570.0,299.0,8,100.0,False,9,car,1708.6938888888883,0.24431841245447997,OnTrack,6216.050777151046,-4913.658934167439,4324.888415328714,VER,3,INTERMEDIATE,3
2024-07-27 10:34:44.497,0 days 00:19:00.520000,,,0 days 00:00:28.456000,10696.557152914285,302.8535716571429,8,100.0,False,9,pos,1815.6988753969858,0.25961857159847485,OnTrack,6553.0,-5927.0,4372.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:45.857,0 days 00:19:01.880000,,,0 days 00:00:29.816000,10793.6,305.2,8,100.0,False,9,pos,1930.6825370707086,0.27605956542481475,OnTrack,6917.0,-7017.0,4425.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:47.177,0 days 00:19:03.200000,,,0 days 00:00:31.136000,10815.0,308.0,8,100.0,False,9,car,2043.2147222222216,0.2921500337088264,OnTrack,7300.79180989332,-8156.951295371622,4479.689568777571,VER,3,INTERMEDIATE,3
2024-07-27 10:34:48.436,0 days 00:19:04.459000,,,0 days 00:00:32.395000,10805.5249984,307.0,8,100.0,False,9,pos,2150.835376414716,0.30753822439096246,OnTrack,7658.0,-9218.0,4531.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:49.697,0 days 00:19:05.720000,,,0 days 00:00:33.656000,10724.583845598547,304.0062107850776,8,75.15526962693949,False,9,pos,2258.0691685257857,0.3228710994134669,OnTrack,7939.0,-10062.0,4572.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:51.657,0 days 00:19:07.680000,,,0 days 00:00:35.616000,9165.095329738186,154.6180892886547,4,0.0,True,9,pos,2367.584505962097,0.33853020228487424,OnTrack,8299.0,-11210.0,4625.0,VER,3,INTERMEDIATE,3
2024-07-27 10:34:53.017,0 days 00:19:09.040000,,,0 days 00:00:36.976000,7515.0,125.0,4,10.0,False,9,car,2418.2897222222214,0.34578031186880354,OnTrack,8207.07220856423,-11705.43766449724,4644.751634617697,VER,3,INTERMEDIATE,3
2024-07-27 10:34:54.476,0 days 00:19:10.499000,,,0 days 00:00:38.435000,8314.687472,140.7624992,4,7.453124,False,9,pos,2472.29697603675,0.35350256487081555,OnTrack,7847.0,-12142.0,4662.0,VER,3,INTERMEDIATE,3
