Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-08-25 14:32:44.068,0 days 02:27:07.430000,,,0 days 00:00:00,10650.822743854545,302.57272785454546,8,100.0,False,0,interpolation,0.18053447113797083,4.2516638939093675e-05,OnTrack,493.4982117259157,3741.8744540039897,537.0000019399592,NOR,72,HARD,44
2024-08-25 14:32:44.922,0 days 02:27:08.284000,,,0 days 00:00:00.854000,10796.0,307.0,8,100.0,False,0,car,72.67055555555555,0.017114226178432286,OnTrack,768.3522893745768,4412.668625378949,536.9957470611714,NOR,72,HARD,44
2024-08-25 14:32:46.163,0 days 02:27:09.525000,,,0 days 00:00:02.095000,10919.0,310.0,8,100.0,False,0,car,179.01222222222225,0.042158142818555656,OnTrack,1177.3211513703923,5424.335896388929,536.9942853441037,NOR,72,HARD,44
2024-08-25 14:32:47.436,0 days 02:27:10.798000,,,0 days 00:00:03.368000,9200.2504,199.57998336,8,0.0,True,0,pos,268.71550479458347,0.06328364894899349,OnTrack,1452.0,6332.0,547.0,NOR,72,HARD,44
2024-08-25 14:32:48.676,0 days 02:27:12.038000,,,0 days 00:00:04.608000,9211.658113066667,132.45833066666665,3,0.0,True,0,pos,320.89629235418334,0.07557244726127567,OnTrack,1775.0,6683.0,550.0,NOR,72,HARD,44
2024-08-25 14:32:50.057,0 days 02:27:13.419000,,,0 days 00:00:05.989000,8162.02509056,111.0,3,25.65001216,False,0,pos,365.70878328949044,0.08612598025166933,OnTrack,2214.0,6533.0,545.0,NOR,72,HARD,44
2024-08-25 14:32:51.442,0 days 02:27:14.804000,,,0 days 00:00:07.374000,10864.0,147.0,3,91.0,False,0,car,415.02555555555557,0.09774029073133034,OnTrack,2280.2510344901984,6110.092371841706,541.9889041230618,NOR,72,HARD,44
2024-08-25 14:32:52.656,0 days 02:27:16.018000,,,0 days 00:00:08.588000,10980.999552,180.0,4,99.12999936,False,0,pos,473.421650443452,0.11149282046236593,OnTrack,2096.0,5557.0,534.0,NOR,72,HARD,44
2024-08-25 14:32:53.922,0 days 02:27:17.284000,,,0 days 00:00:09.854000,11240.0,229.0,5,99.0,False,0,car,549.8891666666666,0.1295012470932394,OnTrack,1819.5760088083796,4884.911325104791,534.4342002120983,NOR,72,HARD,44
2024-08-25 14:32:55.216,0 days 02:27:18.578000,,,0 days 00:00:11.148000,11578.917312,229.7333248,6,0.8666624,True,0,pos,635.1155456103627,0.14957242330017137,OnTrack,1801.0,4069.0,532.0,NOR,72,HARD,44
