Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-09-14 12:59:01.517,0 days 01:11:55.967000,,316.30222222222216,0 days 00:00:00,11929.599987200001,336.6624992,8,100.0,False,12,interpolation,0.0457344475990209,7.671362591485484e-06,OnTrack,1097.5606627256439,-577.104359571181,-244.95902442088376,LEC,19,SOFT,2
2024-09-14 12:59:02.837,0 days 01:11:57.287000,55,275.22027777777765,0 days 00:00:01.320000,11993.0,338.0,8,100.0,False,12,car,123.78861111111111,0.020763939883031338,OnTrack,2265.5557841305663,-89.66647473814876,-242.92583885809455,LEC,19,SOFT,2
2024-09-14 12:59:04.038,0 days 01:11:58.488000,55,253.8941666666666,0 days 00:00:02.521000,10210.0,224.0,7,4.0,True,8,car,219.95527777777775,0.036894655523954704,OnTrack,3142.138910220596,274.44779654358774,-246.05287602382953,LEC,19,SOFT,2
2024-09-14 12:59:05.158,0 days 01:11:59.608000,55,279.3830555555555,0 days 00:00:03.641000,8162.0,134.0,4,5.0,True,8,car,270.1997222222222,0.04532251180682651,OnTrack,3598.7128575043885,499.3433353268332,-245.80765752491791,LEC,19,SOFT,2
2024-09-14 12:59:06.242,0 days 01:12:00.692000,55,290.4886121777777,0 days 00:00:04.725000,8635.4122336,129.5749952,4,63.6749888,False,8,pos,308.4680133289376,0.051741523126478194,OnTrack,3722.0,838.0,-245.0,LEC,19,SOFT,2
2024-09-14 12:59:07.582,0 days 01:12:02.032000,55,270.71638888888884,0 days 00:00:06.065000,11602.6,183.44,4,99.0,False,8,pos,367.7113084149894,0.061678820318829125,OnTrack,3512.0,1379.0,-242.0,LEC,19,SOFT,2
2024-09-14 12:59:08.638,0 days 01:12:03.088000,55,244.4052777777777,0 days 00:00:07.121000,11676.0,219.0,5,100.0,False,8,car,427.9774999999999,0.07178769518072735,OnTrack,3274.530436503871,1932.6797761268808,-239.79949104695254,LEC,19,SOFT,2
2024-09-14 12:59:09.983,0 days 01:12:04.433000,55,219.98583166222215,0 days 00:00:08.466000,11473.9502016,250.3250016,6,99.8374992,False,8,pos,517.0991064254954,0.08673669300442186,OnTrack,2918.0,2731.0,-237.0,LEC,19,SOFT,2
2024-09-14 12:59:11.302,0 days 01:12:05.752000,55,228.58027777777767,0 days 00:00:09.785000,10574.2,149.42857142857142,6,9.0,True,8,pos,591.6710814859799,0.09924517818101847,OnTrack,2610.0,3427.0,-233.0,LEC,19,SOFT,2
2024-09-14 12:59:12.582,0 days 01:12:07.032000,55,281.76694444444456,0 days 00:00:11.065000,7422.981818181818,99.85454545454546,3,16.09090909090909,False,8,pos,631.6453278490758,0.10595034145009972,OnTrack,2348.0,3691.0,-233.0,LEC,19,SOFT,2
2024-09-14 12:59:14.222,0 days 01:12:08.672000,55,358.84916666666686,0 days 00:00:12.705000,10595.4,146.88,3,98.12,False,8,pos,685.6288858227797,0.11500538570963995,OnTrack,1850.0,3535.0,-231.0,LEC,19,SOFT,2
2024-09-14 12:59:15.398,0 days 01:12:09.848000,55,399.2180555555558,0 days 00:00:13.881000,10950.0,203.0,5,100.0,False,12,car,745.4802777777776,0.12504468329375976,OnTrack,1315.856834051166,3336.325248590007,-229.75707776742792,LEC,19,SOFT,2
2024-09-14 12:59:16.742,0 days 01:12:11.192000,55,431.81333486295875,0 days 00:00:15.225000,11325.18679593417,245.609960410322,6,100.0,False,12,pos,831.2753820542457,0.13943570336794076,OnTrack,520.0,3040.0,-228.0,LEC,19,SOFT,2
