Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-10-20 20:14:35.934,0 days 02:07:58.336000,,537.9994444444445,0 days 00:00:00,11117.41756928,215.47250176,5,100.0,False,0,interpolation,0.49688052770568936,9.113305490652558e-05,OnTrack,-1280.8184087357795,-430.66917064774356,1301.9999905322645,VER,42,HARD,17
2024-10-20 20:14:37.135,0 days 02:07:59.537000,55,520.7105555555556,0 days 00:00:01.201000,10962.0,242.0,6,100.0,False,0,car,77.98055555555557,0.014302444661898988,OnTrack,-756.0538589079522,-833.5438597084233,1301.9977182714597,VER,42,HARD,17
2024-10-20 20:14:38.335,0 days 02:08:00.737000,55,470.18833333333345,0 days 00:00:02.401000,11746.0,263.0,6,100.0,False,0,car,163.225,0.029937162069527526,OnTrack,-75.32485255955545,-1353.775236215668,1304.1579616579193,VER,42,HARD,17
2024-10-20 20:14:39.445,0 days 02:08:01.847000,55,414.0827843911112,0 days 00:00:03.511000,10887.291595733333,275.3749984,7,100.0,False,0,pos,246.44954073674694,0.04520140813598787,OnTrack,581.0,-1858.0,1302.0,VER,42,HARD,17
2024-10-20 20:14:40.575,0 days 02:08:02.977000,55,358.67722222222204,0 days 00:00:04.641000,11221.0,285.0,7,100.0,False,0,car,334.7583333333334,0.06139815885510749,OnTrack,1281.2887493413677,-2393.4644142132547,1308.8694463950417,VER,42,HARD,17
2024-10-20 20:14:41.844,0 days 02:08:04.246000,55,311.20916853333307,0 days 00:00:05.910000,11374.325015466668,289.71250026666667,7,100.0,False,0,pos,436.79710354308446,0.08011313022067401,OnTrack,2134.0,-3046.0,1366.0,VER,42,HARD,17
2024-10-20 20:14:42.975,0 days 02:08:05.377000,55,285.79944444444413,0 days 00:00:07.041000,11185.0,277.0,7,1.0,True,0,car,525.9916666666668,0.09647234046390507,OnTrack,2850.256871537692,-3601.1798933563323,1460.8091236666914,VER,42,HARD,17
2024-10-20 20:14:44.135,0 days 02:08:06.537000,55,296.1994444444441,0 days 00:00:08.201000,10126.0,147.0,5,0.0,True,0,car,590.0694444444446,0.10822487113254346,OnTrack,3369.801299402182,-4024.062701701202,1548.4230085794316,VER,42,HARD,17
2024-10-20 20:14:45.425,0 days 02:08:07.827000,55,346.96332753777716,0 days 00:00:09.491000,6645.2502912,96.60000256000001,3,0.0,True,0,pos,629.6285013429923,0.1154804134679056,OnTrack,3740.0,-4017.0,1566.0,VER,42,HARD,17
2024-10-20 20:14:46.744,0 days 02:08:09.146000,55,412.3149967288884,0 days 00:00:10.810000,6636.328024,87.765624,3,28.8374976,False,0,pos,661.8954393042694,0.12139850537315383,OnTrack,3807.0,-3747.0,1567.0,VER,42,HARD,17
2024-10-20 20:14:47.804,0 days 02:08:10.206000,55,464.15999711999945,0 days 00:00:11.870000,8886.828939733334,112.48333226666666,3,70.4499968,False,0,pos,691.5052136500427,0.126829245844476,OnTrack,3760.0,-3461.0,1547.0,VER,42,HARD,17
2024-10-20 20:14:49.145,0 days 02:08:11.547000,55,510.4716634666662,0 days 00:00:13.211000,10867.22466176,173.52499584,4,100.0,False,0,pos,747.608958424573,0.13711925595335953,OnTrack,3553.0,-2966.0,1482.0,VER,42,HARD,17
2024-10-20 20:14:50.525,0 days 02:08:12.927000,55,530.5161104711107,0 days 00:00:14.591000,11520.5310792,222.5624976,5,100.0,False,0,pos,826.4580399025599,0.15158099729959862,OnTrack,3328.0,-2254.0,1416.0,VER,42,HARD,17
2024-10-20 20:14:51.885,0 days 02:08:14.287000,55,531.9605561955555,0 days 00:00:15.951000,11116.9374224,247.687496,6,100.0,False,0,pos,916.2956518367696,0.16805814938055286,OnTrack,3561.0,-1407.0,1380.0,VER,42,HARD,17
2024-10-20 20:14:53.055,0 days 02:08:15.457000,55,518.8438888888888,0 days 00:00:17.121000,11580.0,260.0,6,100.0,False,0,car,999.2805555555558,0.18327844352638492,OnTrack,4206.321289026323,-851.3399046239335,1390.8421160513283,VER,42,HARD,17
2024-10-20 20:14:54.375,0 days 02:08:16.777000,55,497.6550000000002,0 days 00:00:18.441000,10864.0,274.0,7,100.0,False,0,car,1097.8027777777781,0.20134844342907557,OnTrack,5062.275384618446,-344.58371527556596,1405.159640628714,VER,42,HARD,17
2024-10-20 20:14:55.536,0 days 02:08:17.938000,55,478.63722222222214,0 days 00:00:19.602000,10937.0,276.0,7,100.0,False,0,car,1186.8016666666672,0.21767176498321583,OnTrack,5605.644762295088,301.2343175709142,1396.8241166407465,VER,42,HARD,17
2024-10-20 20:14:56.975,0 days 02:08:19.377000,55,447.4136111111111,0 days 00:00:21.041000,10485.0,272.0,7,0.0,False,0,car,1296.146944444445,0.23772682580337717,OnTrack,6394.657483679623,1047.1396905702068,1381.0210810491535,VER,42,HARD,17
2024-10-20 20:14:57.935,0 days 02:08:20.337000,55,431.4802777777775,0 days 00:00:22.001000,10125.0,252.0,7,100.0,False,0,car,1364.5691666666671,0.25027617275282665,OnTrack,6739.347206465695,1619.99281240353,1381.0813026726325,VER,42,HARD,17
2024-10-20 20:14:59.135,0 days 02:08:21.537000,55,399.15805555555494,0 days 00:00:23.201000,9964.0,241.0,7,0.0,False,0,car,1447.2136111111117,0.2654340231279494,OnTrack,7072.86417662647,2367.178037678322,1376.9485372127517,VER,42,HARD,17
2024-10-20 20:15:00.295,0 days 02:08:22.697000,55,370.86916666666593,0 days 00:00:24.361000,9677.0,217.0,6,73.0,False,0,car,1518.7802777777783,0.2785600938816688,OnTrack,7690.5868709303995,2733.6865802124307,1387.836182891715,VER,42,HARD,17
2024-10-20 20:15:01.735,0 days 02:08:24.137000,55,347.3247222222217,0 days 00:00:25.801000,10106.0,222.0,6,100.0,False,0,car,1606.0247222222226,0.2945616320835326,OnTrack,8528.953727194243,2557.2699313524936,1405.7539506695487,VER,42,HARD,17
2024-10-20 20:15:02.975,0 days 02:08:25.377000,55,338.34888888888827,0 days 00:00:27.041000,9788.0,201.0,5,4.0,False,0,car,1678.8852777777784,0.30792501551218926,OnTrack,9218.169328537868,2327.7864565848295,1400.3398497027736,VER,42,HARD,17
