Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-10-25 19:08:27.844,0 days 00:52:05.645000,,653.2275000000001,0 days 00:00:00,11470.8625536,255.718752,6,100.0,False,8,interpolation,0.10990938640070103,2.5937408438228245e-05,OnTrack,-161.0767080643109,1208.620342757683,22270.673401258995,VER,8,SOFT,2
2024-10-25 19:08:29.037,0 days 00:52:06.838000,55,669.2386111111113,0 days 00:00:01.193000,10919.0,274.0,7,100.0,False,8,car,88.09694444444445,0.020789911626700512,OnTrack,787.5171219411105,1054.6840770407657,22273.07755961932,VER,8,SOFT,2
2024-10-25 19:08:30.184,0 days 00:52:07.985000,55,688.2283342044445,0 days 00:00:02.340000,11499.472754036364,289.0068194909091,7,100.0,False,12,pos,178.15262636204253,0.042042063791067466,OnTrack,1575.0,928.0,22271.0,VER,8,SOFT,2
2024-10-25 19:08:31.557,0 days 00:52:09.358000,55,704.9163888888891,0 days 00:00:03.713000,10891.0,306.0,8,100.0,False,12,car,293.00805555555553,0.06914668402322212,OnTrack,2702.20309405857,757.9508699932933,22271.000014804675,VER,8,SOFT,2
2024-10-25 19:08:32.878,0 days 00:52:10.679000,55,697.6983333333337,0 days 00:00:05.034000,11342.0,321.0,8,100.0,False,12,car,408.74166666666656,0.09645854554591372,OnTrack,3837.1070150538844,590.998794949571,22270.57774180876,VER,8,SOFT,2
2024-10-25 19:08:34.244,0 days 00:52:12.045000,55,631.129162897778,0 days 00:00:06.400000,11675.370464581818,329.32045498181816,8,100.0,False,12,pos,532.5037602311344,0.12566504077871157,OnTrack,5258.0,425.0,22270.0,VER,8,SOFT,2
2024-10-25 19:08:35.664,0 days 00:52:13.465000,55,542.2944404088892,0 days 00:00:07.820000,11856.161382981818,338.06136378181816,8,100.0,False,12,pos,664.5123461929201,0.15681761767474592,OnTrack,6532.0,278.0,22269.0,VER,8,SOFT,2
2024-10-25 19:08:36.944,0 days 00:52:14.745000,55,460.5894401600004,0 days 00:00:09.100000,11991.03248064,342.73500032,8,100.0,False,12,pos,785.6329893412599,0.18540075961119604,OnTrack,7638.0,137.0,22268.0,VER,8,SOFT,2
2024-10-25 19:08:38.197,0 days 00:52:15.998000,55,375.4858333333341,0 days 00:00:10.353000,12142.0,345.0,8,100.0,False,12,car,905.5727777777774,0.21370523280087433,OnTrack,8895.569823685199,-27.617576297322366,22267.999636980607,VER,8,SOFT,2
2024-10-25 19:08:39.518,0 days 00:52:17.319000,55,291.1438888888895,0 days 00:00:11.674000,12089.0,346.0,8,100.0,False,12,car,1032.202222222222,0.24358839135920957,OnTrack,10090.826731888366,-185.2914916686209,22266.389520679957,VER,8,SOFT,2
2024-10-25 19:08:40.837,0 days 00:52:18.638000,55,248.58694444444473,0 days 00:00:12.993000,11447.0,196.0,7,0.0,True,8,car,1125.9069444444444,0.2657016769707558,OnTrack,11025.269028427017,-312.56661722405636,22267.98341143343,VER,8,SOFT,2
