Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Compound,TyreLife
2024-10-27 21:31:06.268,0 days 02:23:33.117000,,,0 days 00:00:00,11095.249663999999,259.5833344,6,99.0,False,0,interpolation,0.13296176832282772,3.1226811500497275e-05,OnTrack,-192.35177955083157,1212.7286297925762,22270.390034281736,SAI,62,HARD,30
2024-10-27 21:31:07.601,0 days 02:23:34.450000,,,0 days 00:00:01.333000,11366.18,282.52,7,100.0,False,0,pos,101.55512441449324,0.023850786335070748,OnTrack,759.0,1059.0,22271.0,SAI,62,HARD,30
2024-10-27 21:31:08.913,0 days 02:23:35.762000,,,0 days 00:00:02.645000,10699.0,299.0,8,99.0,False,0,car,208.2236111111111,0.0489024742686369,OnTrack,1801.0835395646423,893.6533976825929,22271.000009249838,SAI,62,HARD,30
2024-10-27 21:31:10.313,0 days 02:23:37.162000,,,0 days 00:00:04.045000,11096.0,311.0,8,100.0,False,0,car,327.5236111111111,0.07692074342225004,OnTrack,3018.5359799563603,709.4076195624663,22271.00190190296,SAI,62,HARD,30
2024-10-27 21:31:11.714,0 days 02:23:38.563000,,,0 days 00:00:05.446000,11349.0,319.0,8,100.0,False,0,car,450.29972222222216,0.10575539662212448,OnTrack,4297.156501942838,533.9806707659135,22270.000390233734,SAI,62,HARD,30
2024-10-27 21:31:12.922,0 days 02:23:39.771000,,,0 days 00:00:06.654000,11497.462500266667,322.53749973333333,8,100.0,False,0,pos,558.1116658966313,0.13107563179265064,OnTrack,5291.0,421.0,22270.0,SAI,62,HARD,30
2024-10-27 21:31:14.153,0 days 02:23:41.002000,,,0 days 00:00:07.885000,11623.0,327.0,8,99.0,False,0,car,669.2994444444445,0.15718870057676604,OnTrack,6486.770146279574,282.03693057730595,22268.923345533163,SAI,62,HARD,30
2024-10-27 21:31:15.473,0 days 02:23:42.322000,,,0 days 00:00:09.205000,11732.0,329.0,8,100.0,False,0,car,789.6661111111111,0.18545748233527318,OnTrack,7594.021522590552,141.69366626451432,22267.982525545234,SAI,62,HARD,30
2024-10-27 21:31:16.741,0 days 02:23:43.590000,,,0 days 00:00:10.473000,11696.9,329.6625,8,99.3375,False,0,pos,905.8819227548702,0.21275141268347472,OnTrack,8864.0,-24.0,22268.0,SAI,62,HARD,30
2024-10-27 21:31:17.914,0 days 02:23:44.763000,,,0 days 00:00:11.646000,11521.0,326.0,8,99.0,False,0,car,1012.5011111111114,0.23779152262735523,OnTrack,9777.415307656325,-144.17836149622016,22267.99195093253,SAI,62,HARD,30
2024-10-27 21:31:19.021,0 days 02:23:45.870000,,,0 days 00:00:12.753000,8841.0,239.725,8,0.0,True,0,pos,1102.472718623432,0.2589218555314914,OnTrack,10734.0,-268.0,22266.0,SAI,62,HARD,30
2024-10-27 21:31:20.233,0 days 02:23:47.082000,,,0 days 00:00:13.965000,8820.0,135.0,5,0.0,True,0,car,1159.5561111111115,0.2723282080454993,OnTrack,11307.56515527189,-401.1396088539098,22267.976531790202,SAI,62,HARD,30
2024-10-27 21:31:21.722,0 days 02:23:48.571000,,,0 days 00:00:15.454000,7404.937461333333,98.46250026666667,3,22.437493333333336,False,0,pos,1203.9362997391863,0.2827511424132237,OnTrack,11589.0,-716.0,22266.0,SAI,62,HARD,30
2024-10-27 21:31:23.313,0 days 02:23:50.162000,,,0 days 00:00:17.045000,8185.0,111.0,3,12.0,True,0,car,1251.6005555555562,0.2939453582428106,OnTrack,11566.110111210328,-1190.1291918799755,22267.453833574866,SAI,62,HARD,30
2024-10-27 21:31:24.474,0 days 02:23:51.323000,,,0 days 00:00:18.206000,7424.0,104.0,3,37.0,False,0,car,1284.9063888888898,0.30176741861765316,OnTrack,11669.082215383763,-1483.6936922257964,22265.921549977258,SAI,62,HARD,30
2024-10-27 21:31:25.913,0 days 02:23:52.762000,,,0 days 00:00:19.645000,8716.0,120.0,3,39.0,False,0,car,1330.7619444444451,0.3125368511217941,OnTrack,12001.571369942647,-1814.1484568155104,22267.74261583036,SAI,62,HARD,30
2024-10-27 21:31:27.122,0 days 02:23:53.971000,,,0 days 00:00:20.854000,10668.172064,141.7281216,3,86.0062464,False,0,pos,1374.7098761280158,0.32285826753968916,OnTrack,11967.0,-2238.0,22268.0,SAI,62,HARD,30
2024-10-27 21:31:28.473,0 days 02:23:55.322000,,,0 days 00:00:22.205000,10817.0,204.0,5,99.0,False,0,car,1442.884166666667,0.3388693792049746,OnTrack,11742.017521326008,-2876.0096603921547,22267.999929262558,SAI,62,HARD,30
2024-10-27 21:31:29.841,0 days 02:23:56.690000,,,0 days 00:00:23.573000,10938.38,240.2,6,99.62,False,0,pos,1529.50191122774,0.3592120387237597,OnTrack,11278.0,-3689.0,22269.0,SAI,62,HARD,30
2024-10-27 21:31:31.034,0 days 02:23:57.883000,,,0 days 00:00:24.766000,10637.0,264.0,7,100.0,False,0,car,1614.701944444445,0.37922174084079585,OnTrack,10870.40315774441,-4315.190623879178,22270.21989331311,SAI,62,HARD,30
2024-10-27 21:31:32.262,0 days 02:23:59.111000,,,0 days 00:00:25.994000,11399.908188005225,284.0612845350356,7,99.58774309299288,False,0,pos,1708.9917249300295,0.4013662207073524,OnTrack,10388.0,-5126.0,22271.0,SAI,62,HARD,30
2024-10-27 21:31:33.473,0 days 02:24:00.322000,,,0 days 00:00:27.205000,10585.0,295.0,8,99.0,False,0,car,1807.2000000000005,0.424430980841657,OnTrack,9887.501601874994,-5959.727728005308,22271.92579546394,SAI,62,HARD,30
2024-10-27 21:31:34.822,0 days 02:24:01.671000,,,0 days 00:00:28.554000,9432.72914944,270.04498176,8,0.0,True,0,pos,1915.8115273878202,0.4499390026986305,OnTrack,9214.0,-6977.0,22276.0,SAI,62,HARD,30
2024-10-27 21:31:36.513,0 days 02:24:03.362000,,,0 days 00:00:30.245000,9079.0,121.0,6,0.0,True,0,car,1995.4666666666674,0.4686464556054477,OnTrack,8829.538695572532,-7575.899362801671,22280.575999032546,SAI,62,HARD,30
2024-10-27 21:31:37.834,0 days 02:24:04.683000,,,0 days 00:00:31.566000,7683.0,89.0,2,8.0,False,0,car,2031.2816666666672,0.47705780774070883,OnTrack,8849.00487767182,-7916.6031311277375,22283.005373660802,SAI,62,HARD,30
2024-10-27 21:31:39.022,0 days 02:24:05.871000,,,0 days 00:00:32.754000,7912.558362216203,94.12530652626663,2,4.147866602848465,True,0,pos,2061.637636728056,0.4841870763039863,OnTrack,9102.0,-8092.0,22285.0,SAI,62,HARD,30
2024-10-27 21:31:40.513,0 days 02:24:07.362000,,,0 days 00:00:34.245000,5532.0,65.0,2,12.0,False,0,car,2091.6025,0.4912244912604369,OnTrack,9257.848751396314,-8335.411357239049,22285.941051941365,SAI,62,HARD,30
2024-10-27 21:31:41.661,0 days 02:24:08.510000,,,0 days 00:00:35.393000,7627.3,82.05,2,53.875,False,0,pos,2114.730058500187,0.49665612712736196,OnTrack,9147.0,-8523.0,22289.0,SAI,62,HARD,30
2024-10-27 21:31:43.041,0 days 02:24:09.890000,,,0 days 00:00:36.773000,10700.52,137.4,3,90.16,False,0,pos,2158.525914196911,0.5069418276531258,OnTrack,8810.0,-8762.0,22290.0,SAI,62,HARD,30
2024-10-27 21:31:44.441,0 days 02:24:11.290000,,,0 days 00:00:38.173000,7383.437408,101.2374976,3,0.0,True,0,pos,2206.368542609846,0.5181779352800321,OnTrack,8322.0,-9041.0,22290.0,SAI,62,HARD,30
2024-10-27 21:31:45.842,0 days 02:24:12.691000,,,0 days 00:00:39.574000,5861.818933157628,78.0,3,9.069636266137268,False,0,pos,2239.063747264347,0.5258565861102271,OnTrack,8057.0,-8923.0,22288.0,SAI,62,HARD,30
2024-10-27 21:31:47.193,0 days 02:24:14.042000,,,0 days 00:00:40.925000,7963.0,103.0,3,64.0,False,0,car,2272.0013888888902,0.5335921746125046,OnTrack,7989.132568742967,-8604.41062485387,22287.62266840716,SAI,62,HARD,30
2024-10-27 21:31:48.633,0 days 02:24:15.482000,,,0 days 00:00:42.365000,10604.0,168.0,3,100.0,False,0,car,2327.9458333333346,0.5467310388379346,OnTrack,8083.016901527635,-7995.277267908233,22283.851772756745,SAI,62,HARD,30
2024-10-27 21:31:49.833,0 days 02:24:16.682000,,,0 days 00:00:43.565000,11426.0,213.0,5,100.0,False,0,car,2393.879166666668,0.5622158492279449,OnTrack,8189.145235635514,-7409.8906492159485,22279.962172162443,SAI,62,HARD,30
2024-10-27 21:31:51.194,0 days 02:24:18.043000,,,0 days 00:00:44.926000,10966.0,243.0,6,28.0,False,0,car,2482.4436111111127,0.5830157020517895,OnTrack,8361.270851674153,-6497.201887015183,22274.037120010496,SAI,62,HARD,30
2024-10-27 21:31:52.501,0 days 02:24:19.350000,,,0 days 00:00:46.233000,10763.762443733332,171.3249984,4,0.0,True,0,pos,2553.9603593070983,0.5998118085056564,OnTrack,8342.0,-5807.0,22271.0,SAI,62,HARD,30
2024-10-27 21:31:53.713,0 days 02:24:20.562000,,,0 days 00:00:47.445000,11446.0,179.0,4,99.0,False,0,car,2611.175277777779,0.6132490506289887,OnTrack,7940.92664130281,-5392.173768409671,22273.97925032407,SAI,62,HARD,30
2024-10-27 21:31:55.301,0 days 02:24:22.150000,,,0 days 00:00:49.033000,11677.47,218.03,5,99.0,False,0,pos,2702.349432949265,0.6346618085455686,OnTrack,7365.0,-4785.0,22271.0,SAI,62,HARD,30
2024-10-27 21:31:56.601,0 days 02:24:23.450000,,,0 days 00:00:50.333000,10643.84,231.08,6,80.64,False,0,pos,2784.75241111782,0.6540146067130949,OnTrack,6738.0,-4217.0,22271.0,SAI,62,HARD,30
2024-10-27 21:31:58.082,0 days 02:24:24.931000,,,0 days 00:00:51.814000,9694.514285714286,215.57142857142858,6,1.542857142857143,True,0,pos,2880.674639697506,0.6765424761025337,OnTrack,5803.0,-4112.0,22270.0,SAI,62,HARD,30
2024-10-27 21:31:59.473,0 days 02:24:26.322000,,,0 days 00:00:53.205000,9797.0,158.0,4,12.0,True,0,car,2946.9627777777796,0.6921106143625921,OnTrack,5225.659730464604,-3817.106820193681,22270.998672505786,SAI,62,HARD,30
2024-10-27 21:32:00.713,0 days 02:24:27.562000,,,0 days 00:00:54.445000,11978.0,187.0,4,99.0,False,0,car,3004.973888888891,0.7057348467600044,OnTrack,4939.802349621868,-3251.6475029366434,22269.901661855194,SAI,62,HARD,30
2024-10-27 21:32:02.042,0 days 02:24:28.891000,,,0 days 00:00:55.774000,11105.8324224,224.4142848,5,99.0,False,0,pos,3083.2464676162463,0.7241175976244673,OnTrack,4492.0,-2766.0,22271.0,SAI,62,HARD,30
2024-10-27 21:32:03.513,0 days 02:24:30.362000,,,0 days 00:00:57.245000,11814.0,257.0,6,100.0,False,0,car,3183.7294444444465,0.747716584130157,OnTrack,3574.4574324832433,-2339.492913314153,22270.93497814048,SAI,62,HARD,30
2024-10-27 21:32:04.874,0 days 02:24:31.723000,,,0 days 00:00:58.606000,11111.0,277.0,7,100.0,False,0,car,3285.8466666666695,0.7716993822646211,OnTrack,2612.8540768658963,-2095.6537895360843,22271.007326479925,SAI,62,HARD,30
2024-10-27 21:32:06.161,0 days 02:24:33.010000,,,0 days 00:00:59.893000,11619.781818181818,291.2181818181818,7,100.0,False,0,pos,3388.168048528082,0.7957301284269236,OnTrack,1521.0,-1944.0,22271.0,SAI,62,HARD,30
2024-10-27 21:32:07.561,0 days 02:24:34.410000,,,0 days 00:01:01.293000,10925.2,269.0,7,0.0,True,0,pos,3500.2294304378006,0.8220483678240091,OnTrack,478.0,-1829.0,22270.0,SAI,62,HARD,30
2024-10-27 21:32:08.713,0 days 02:24:35.562000,,,0 days 00:01:02.445000,9139.0,161.0,7,0.0,True,0,car,3562.343611111114,0.8366362289502545,OnTrack,-199.5874679318642,-1729.4338401764749,22270.99282213721,SAI,62,HARD,30
2024-10-27 21:32:10.073,0 days 02:24:36.922000,,,0 days 00:01:03.805000,8162.0,132.0,4,53.0,False,0,car,3613.0325000000034,0.8485407966953215,OnTrack,-559.621042401902,-1419.9313872477424,22264.387268594954,SAI,62,HARD,30
