Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:33.900000,93.9,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,MEDIUM,5,False,0 days 00:01:33.535000,93.535,2,True
VER,1,Red Bull Racing,6,MEDIUM,6,False,0 days 00:01:43.604000,103.604,2,False
VER,1,Red Bull Racing,7,MEDIUM,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,MEDIUM,2,True,0 days 00:01:50.215000,110.215,3,False
VER,1,Red Bull Racing,9,MEDIUM,3,True,NaT,,3,False
VER,1,Red Bull Racing,10,MEDIUM,4,True,0 days 00:02:14.182000,134.182,3,False
VER,1,Red Bull Racing,11,MEDIUM,5,True,0 days 00:01:33.238000,93.238,3,True
VER,1,Red Bull Racing,12,MEDIUM,6,True,0 days 00:01:51.580000,111.58,3,False
VER,1,Red Bull Racing,13,MEDIUM,7,False,NaT,,4,False
VER,1,Red Bull Racing,14,MEDIUM,8,False,0 days 00:01:38.369000,98.369,4,False
VER,1,Red Bull Racing,15,MEDIUM,9,False,0 days 00:01:37.694000,97.694,4,False
VER,1,Red Bull Racing,16,MEDIUM,10,False,0 days 00:01:37.576000,97.576,4,False
VER,1,Red Bull Racing,17,MEDIUM,11,False,0 days 00:01:37.576000,97.576,4,False
VER,1,Red Bull Racing,18,MEDIUM,12,False,0 days 00:01:37.841000,97.841,4,False
VER,1,Red Bull Racing,19,MEDIUM,13,False,0 days 00:01:37.959000,97.959,4,False
VER,1,Red Bull Racing,20,MEDIUM,14,False,0 days 00:02:23.411000,143.411,4,False
VER,1,Red Bull Racing,21,MEDIUM,15,False,0 days 00:02:28.677000,148.677,4,False
SAR,2,Williams,1,MEDIUM,1,True,NaT,,1,False
SAR,2,Williams,2,MEDIUM,2,True,0 days 00:01:35.391000,95.391,1,True
SAR,2,Williams,3,MEDIUM,3,True,0 days 00:02:06.872000,126.872,1,False
SAR,2,Williams,4,MEDIUM,4,True,0 days 00:01:35.550000,95.55,1,False
SAR,2,Williams,5,MEDIUM,5,True,0 days 00:01:36.292000,96.292,1,False
SAR,2,Williams,6,MEDIUM,6,True,0 days 00:01:36.798000,96.798,1,False
SAR,2,Williams,7,MEDIUM,7,True,0 days 00:01:36.502000,96.502,1,False
SAR,2,Williams,8,MEDIUM,8,True,0 days 00:01:54.380000,114.38,1,False
SAR,2,Williams,9,MEDIUM,1,True,NaT,,2,False
SAR,2,Williams,10,MEDIUM,2,True,0 days 00:01:50.990000,110.99,2,False
SAR,2,Williams,11,MEDIUM,3,True,0 days 00:01:34.213000,94.213,2,True
SAR,2,Williams,12,MEDIUM,4,True,0 days 00:02:03.661000,123.661,2,False
SAR,2,Williams,13,MEDIUM,5,True,0 days 00:01:34.717000,94.717,2,False
SAR,2,Williams,14,MEDIUM,6,True,0 days 00:01:36.476000,96.476,2,False
SAR,2,Williams,15,MEDIUM,7,True,0 days 00:01:37.216000,97.216,2,False
SAR,2,Williams,16,MEDIUM,8,True,0 days 00:02:03.472000,123.472,2,False
SAR,2,Williams,17,MEDIUM,9,False,0 days 00:02:26.365000,146.365,3,False
SAR,2,Williams,18,MEDIUM,10,False,0 days 00:01:53.618000,113.618,3,False
SAR,2,Williams,19,MEDIUM,11,False,0 days 00:02:20.792000,140.792,3,False
RIC,3,RB,1,MEDIUM,1,True,NaT,,1,False
RIC,3,RB,2,MEDIUM,2,True,0 days 00:01:35.741000,95.741,1,True
RIC,3,RB,3,MEDIUM,3,True,0 days 00:02:27.203000,147.203,1,False
RIC,3,RB,4,MEDIUM,4,True,0 days 00:02:12.139000,132.139,1,False
RIC,3,RB,5,MEDIUM,5,True,0 days 00:01:35.082000,95.082,1,True
RIC,3,RB,6,MEDIUM,6,True,0 days 00:02:12.188000,132.188,1,False
RIC,3,RB,7,MEDIUM,7,True,0 days 00:01:34.929000,94.929,1,True
RIC,3,RB,8,MEDIUM,8,True,NaT,,1,False
RIC,3,RB,9,MEDIUM,9,True,0 days 00:01:34.670000,94.67,1,True
RIC,3,RB,10,MEDIUM,10,True,0 days 00:01:43.222000,103.222,1,False
RIC,3,RB,11,SOFT,1,True,NaT,,2,False
RIC,3,RB,12,SOFT,2,True,0 days 00:01:32.869000,92.869,2,True
RIC,3,RB,13,SOFT,3,True,0 days 00:02:08.490000,128.49,2,False
RIC,3,RB,14,SOFT,4,False,0 days 00:02:24.181000,144.181,3,False
RIC,3,RB,15,SOFT,5,False,NaT,,4,False
RIC,3,RB,16,SOFT,6,False,0 days 00:01:39.004000,99.004,4,False
RIC,3,RB,17,SOFT,7,False,0 days 00:01:38.245000,98.245,4,False
RIC,3,RB,18,SOFT,8,False,0 days 00:01:38.288000,98.288,4,False
RIC,3,RB,19,SOFT,9,False,0 days 00:01:38.489000,98.489,4,False
RIC,3,RB,20,SOFT,10,False,0 days 00:01:38.329000,98.329,4,False
RIC,3,RB,21,SOFT,11,False,0 days 00:01:38.254000,98.254,4,False
RIC,3,RB,22,SOFT,12,False,0 days 00:02:04.963000,124.963,4,False
RIC,3,RB,23,SOFT,13,False,0 days 00:02:20.886000,140.886,4,False
NOR,4,McLaren,1,MEDIUM,1,True,NaT,,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:36.162000,96.162,1,True
NOR,4,McLaren,3,MEDIUM,3,True,NaT,,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:35.354000,95.354,1,True
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:02:25.006000,145.006,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:34.506000,94.506,1,True
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:02:02.928000,122.928,1,False
NOR,4,McLaren,8,MEDIUM,8,False,NaT,,2,False
NOR,4,McLaren,9,MEDIUM,9,False,0 days 00:01:39.687000,99.687,2,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:32.901000,92.901,3,True
NOR,4,McLaren,12,SOFT,3,True,0 days 00:02:18.583000,138.583,3,False
NOR,4,McLaren,13,SOFT,4,True,0 days 00:02:17.415000,137.415,3,False
NOR,4,McLaren,14,SOFT,5,True,0 days 00:01:36.306000,96.306,3,False
