Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:30.031000,90.031,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:08.726000,128.726,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:30.160000,90.16,2,False
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:01:42.855000,102.855,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:29.374000,89.374,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:56.873000,116.873,3,False
VER,1,Red Bull Racing,10,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,5,False,0 days 00:01:37.787000,97.787,4,False
VER,1,Red Bull Racing,12,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,13,SOFT,2,True,0 days 00:01:29.421000,89.421,5,True
VER,1,Red Bull Racing,14,SOFT,3,True,0 days 00:01:52.745000,112.745,5,False
VER,1,Red Bull Racing,15,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,16,SOFT,2,True,0 days 00:01:29.179000,89.179,6,True
VER,1,Red Bull Racing,17,SOFT,3,True,0 days 00:01:59.683000,119.683,6,False
LEC,16,Ferrari,1,MEDIUM,1,True,NaT,,1,False
LEC,16,Ferrari,2,MEDIUM,2,True,0 days 00:01:31.260000,91.26,1,True
LEC,16,Ferrari,3,MEDIUM,3,True,0 days 00:01:51.926000,111.926,1,False
LEC,16,Ferrari,4,SOFT,1,True,NaT,,2,False
LEC,16,Ferrari,5,SOFT,2,True,0 days 00:01:30.243000,90.243,2,True
LEC,16,Ferrari,6,SOFT,3,True,0 days 00:01:48.538000,108.538,2,False
LEC,16,Ferrari,7,SOFT,1,True,NaT,,3,False
LEC,16,Ferrari,8,SOFT,4,False,NaT,,4,False
LEC,16,Ferrari,9,SOFT,5,False,0 days 00:01:30.094000,90.094,4,True
LEC,16,Ferrari,10,SOFT,6,False,0 days 00:01:47.230000,107.23,4,False
LEC,16,Ferrari,11,SOFT,1,True,NaT,,5,False
LEC,16,Ferrari,12,SOFT,2,True,0 days 00:01:29.165000,89.165,5,True
LEC,16,Ferrari,13,SOFT,3,True,0 days 00:02:02.605000,122.605,5,False
LEC,16,Ferrari,14,SOFT,2,False,NaT,,6,False
LEC,16,Ferrari,15,SOFT,3,False,0 days 00:01:29.480000,89.48,6,True
LEC,16,Ferrari,16,SOFT,4,False,0 days 00:01:51.690000,111.69,6,False
LEC,16,Ferrari,17,SOFT,1,True,NaT,,7,False
LEC,16,Ferrari,18,SOFT,2,True,0 days 00:01:29.407000,89.407,7,True
LEC,16,Ferrari,19,SOFT,3,True,0 days 00:02:01.348000,121.348,7,False
RUS,63,Mercedes,1,SOFT,1,True,NaT,,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:30.350000,90.35,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:02:04.720000,124.72,1,False
RUS,63,Mercedes,4,SOFT,4,False,NaT,,2,False
RUS,63,Mercedes,5,SOFT,5,False,0 days 00:02:09.967000,129.967,2,False
RUS,63,Mercedes,6,SOFT,6,False,NaT,,3,False
RUS,63,Mercedes,7,SOFT,7,False,0 days 00:01:30.698000,90.698,3,True
RUS,63,Mercedes,8,SOFT,8,False,0 days 00:01:47.025000,107.025,3,False
RUS,63,Mercedes,9,SOFT,1,True,NaT,,4,False
RUS,63,Mercedes,10,SOFT,2,True,0 days 00:01:29.922000,89.922,4,True
RUS,63,Mercedes,11,SOFT,3,True,0 days 00:02:06.521000,126.521,4,False
RUS,63,Mercedes,12,SOFT,1,True,NaT,,5,False
RUS,63,Mercedes,13,SOFT,2,True,0 days 00:01:29.603000,89.603,5,True
RUS,63,Mercedes,14,SOFT,3,True,0 days 00:02:05.430000,125.43,5,False
RUS,63,Mercedes,15,SOFT,1,True,NaT,,6,False
RUS,63,Mercedes,16,SOFT,2,True,0 days 00:01:29.485000,89.485,6,True
RUS,63,Mercedes,17,SOFT,3,True,0 days 00:02:09.274000,129.274,6,False
SAI,55,Ferrari,1,MEDIUM,1,True,NaT,,1,False
SAI,55,Ferrari,2,MEDIUM,2,True,0 days 00:01:31.208000,91.208,1,True
SAI,55,Ferrari,3,MEDIUM,3,True,0 days 00:01:59.562000,119.562,1,False
SAI,55,Ferrari,4,SOFT,1,True,NaT,,2,False
SAI,55,Ferrari,5,SOFT,2,True,0 days 00:01:29.909000,89.909,2,True
SAI,55,Ferrari,6,SOFT,3,True,0 days 00:01:48.457000,108.457,2,False
SAI,55,Ferrari,7,SOFT,4,False,NaT,,3,False
SAI,55,Ferrari,8,SOFT,5,False,0 days 00:01:30.425000,90.425,3,True
SAI,55,Ferrari,9,SOFT,6,False,0 days 00:01:48.846000,108.846,3,False
SAI,55,Ferrari,10,SOFT,1,True,NaT,,4,False
SAI,55,Ferrari,11,SOFT,2,True,0 days 00:01:29.573000,89.573,4,True
SAI,55,Ferrari,12,SOFT,3,True,0 days 00:01:52.447000,112.447,4,False
SAI,55,Ferrari,13,SOFT,1,True,NaT,,5,False
SAI,55,Ferrari,14,SOFT,2,True,0 days 00:01:29.608000,89.608,5,True
SAI,55,Ferrari,15,SOFT,3,True,0 days 00:01:55.236000,115.236,5,False
SAI,55,Ferrari,16,SOFT,1,True,NaT,,6,False
SAI,55,Ferrari,17,SOFT,2,True,0 days 00:01:29.507000,89.507,6,True
SAI,55,Ferrari,18,SOFT,3,True,NaT,,6,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:01:30.221000,90.221,1,True
PER,11,Red Bull Racing,3,SOFT,3,True,0 days 00:02:02.063000,122.063,1,False
PER,11,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
PER,11,Red Bull Racing,5,SOFT,5,False,0 days 00:01:30.500000,90.5,2,False
PER,11,Red Bull Racing,6,SOFT,6,False,0 days 00:01:53.606000,113.606,2,False
PER,11,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
PER,11,Red Bull Racing,8,SOFT,2,True,0 days 00:01:29.932000,89.932,3,True
PER,11,Red Bull Racing,9,SOFT,3,True,0 days 00:01:52.254000,112.254,3,False
PER,11,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,11,SOFT,2,True,0 days 00:02:07.938000,127.938,4,False
PER,11,Red Bull Racing,12,SOFT,3,False,NaT,,5,False
PER,11,Red Bull Racing,13,SOFT,4,False,0 days 00:01:30.030000,90.03,5,True
PER,11,Red Bull Racing,14,SOFT,5,False,0 days 00:01:47.564000,107.564,5,False
PER,11,Red Bull Racing,15,SOFT,1,True,NaT,,6,False
PER,11,Red Bull Racing,16,SOFT,2,True,0 days 00:01:29.537000,89.537,6,True
PER,11,Red Bull Racing,17,SOFT,3,True,NaT,,6,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:30.179000,90.179,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:02:04.550000,124.55,1,False
ALO,14,Aston Martin,4,SOFT,4,False,NaT,,2,False
ALO,14,Aston Martin,5,SOFT,5,False,0 days 00:01:53.925000,113.925,2,False
ALO,14,Aston Martin,6,SOFT,1,True,NaT,,3,False
ALO,14,Aston Martin,7,SOFT,2,True,0 days 00:01:30.136000,90.136,3,True
ALO,14,Aston Martin,8,SOFT,3,True,0 days 00:01:59.624000,119.624,3,False
ALO,14,Aston Martin,9,SOFT,1,True,NaT,,4,False
ALO,14,Aston Martin,10,SOFT,2,True,0 days 00:01:29.801000,89.801,4,True
ALO,14,Aston Martin,11,SOFT,3,True,0 days 00:02:01.157000,121.157,4,False
ALO,14,Aston Martin,12,SOFT,1,True,NaT,,5,False
ALO,14,Aston Martin,13,SOFT,2,True,0 days 00:01:29.542000,89.542,5,True
ALO,14,Aston Martin,14,SOFT,3,True,0 days 00:02:07.513000,127.513,5,False
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:30.143000,90.143,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:55.890000,115.89,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,False,NaT,,3,False
NOR,4,McLaren,6,SOFT,3,False,0 days 00:01:29.941000,89.941,3,True
NOR,4,McLaren,7,SOFT,4,False,0 days 00:01:54.087000,114.087,3,False
NOR,4,McLaren,8,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,9,SOFT,2,True,0 days 00:01:56.053000,116.053,4,False
NOR,4,McLaren,10,SOFT,3,False,NaT,,5,False
NOR,4,McLaren,11,SOFT,4,False,0 days 00:01:29.679000,89.679,5,True
NOR,4,McLaren,12,SOFT,5,False,0 days 00:01:46.285000,106.285,5,False
NOR,4,McLaren,13,SOFT,1,True,NaT,,6,False
NOR,4,McLaren,14,SOFT,2,True,0 days 00:01:29.614000,89.614,6,True
NOR,4,McLaren,15,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:30.692000,90.692,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:56.380000,116.38,1,False
PIA,81,McLaren,4,SOFT,1,True,NaT,,2,False
PIA,81,McLaren,5,SOFT,2,True,0 days 00:01:30.531000,90.531,2,True
PIA,81,McLaren,6,SOFT,3,True,0 days 00:01:57.365000,117.365,2,False
PIA,81,McLaren,7,SOFT,4,False,NaT,,3,False
PIA,81,McLaren,8,SOFT,5,False,0 days 00:01:30.624000,90.624,3,True
PIA,81,McLaren,9,SOFT,6,False,0 days 00:01:52.289000,112.289,3,False
PIA,81,McLaren,10,SOFT,1,True,NaT,,4,False
PIA,81,McLaren,11,SOFT,2,True,0 days 00:01:30.122000,90.122,4,True
PIA,81,McLaren,12,SOFT,3,True,0 days 00:01:57.278000,117.278,4,False
PIA,81,McLaren,13,SOFT,4,False,NaT,,5,False
PIA,81,McLaren,14,SOFT,5,False,0 days 00:01:30.651000,90.651,5,True
