Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,4,False,0 days 00:01:37.284000,97.284,1,False
VER,1,Red Bull Racing,2,SOFT,5,False,0 days 00:01:36.296000,96.296,1,True
VER,1,Red Bull Racing,3,SOFT,6,False,0 days 00:01:36.753000,96.753,1,False
VER,1,Red Bull Racing,4,SOFT,7,False,0 days 00:01:36.647000,96.647,1,False
VER,1,Red Bull Racing,5,SOFT,8,False,0 days 00:01:37.173000,97.173,1,False
VER,1,Red Bull Racing,6,SOFT,9,False,0 days 00:01:37.092000,97.092,1,False
VER,1,Red Bull Racing,7,SOFT,10,False,0 days 00:01:37.038000,97.038,1,False
VER,1,Red Bull Racing,8,SOFT,11,False,0 days 00:01:37.024000,97.024,1,False
VER,1,Red Bull Racing,9,SOFT,12,False,0 days 00:01:37.229000,97.229,1,False
VER,1,Red Bull Racing,10,SOFT,13,False,0 days 00:01:36.960000,96.96,1,False
VER,1,Red Bull Racing,11,SOFT,14,False,0 days 00:01:37.085000,97.085,1,False
VER,1,Red Bull Racing,12,SOFT,15,False,0 days 00:01:37.045000,97.045,1,False
VER,1,Red Bull Racing,13,SOFT,16,False,0 days 00:01:37.030000,97.03,1,False
VER,1,Red Bull Racing,14,SOFT,17,False,0 days 00:01:37.028000,97.028,1,False
VER,1,Red Bull Racing,15,SOFT,18,False,0 days 00:01:37.011000,97.011,1,False
VER,1,Red Bull Racing,16,SOFT,19,False,0 days 00:01:37.168000,97.168,1,False
VER,1,Red Bull Racing,17,SOFT,20,False,0 days 00:01:39.896000,99.896,1,False
VER,1,Red Bull Racing,18,HARD,1,True,0 days 00:01:57.854000,117.854,2,False
VER,1,Red Bull Racing,19,HARD,2,True,0 days 00:01:35.283000,95.283,2,True
VER,1,Red Bull Racing,20,HARD,3,True,0 days 00:01:35.160000,95.16,2,True
VER,1,Red Bull Racing,21,HARD,4,True,0 days 00:01:35.316000,95.316,2,False
VER,1,Red Bull Racing,22,HARD,5,True,0 days 00:01:35.204000,95.204,2,False
VER,1,Red Bull Racing,23,HARD,6,True,0 days 00:01:35.216000,95.216,2,False
VER,1,Red Bull Racing,24,HARD,7,True,0 days 00:01:35.289000,95.289,2,False
VER,1,Red Bull Racing,25,HARD,8,True,0 days 00:01:35.342000,95.342,2,False
VER,1,Red Bull Racing,26,HARD,9,True,0 days 00:01:35.223000,95.223,2,False
VER,1,Red Bull Racing,27,HARD,10,True,0 days 00:01:35.581000,95.581,2,False
