Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:30.447000,90.447,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:22.246000,142.246,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,False,0 days 00:02:18.845000,138.845,2,False
VER,1,Red Bull Racing,5,MEDIUM,5,False,0 days 00:01:29.897000,89.897,2,True
VER,1,Red Bull Racing,6,MEDIUM,6,False,0 days 00:02:20.266000,140.266,2,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:29.543000,89.543,2,True
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:02:02.933000,122.933,2,False
VER,1,Red Bull Racing,9,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,10,SOFT,2,True,0 days 00:01:29.377000,89.377,3,True
VER,1,Red Bull Racing,11,SOFT,3,True,NaT,,3,False
VER,1,Red Bull Racing,12,SOFT,4,True,0 days 00:01:56.323000,116.323,3,False
VER,1,Red Bull Racing,13,SOFT,5,True,0 days 00:01:29.158000,89.158,3,True
VER,1,Red Bull Racing,14,SOFT,6,True,0 days 00:01:49.591000,109.591,3,False
VER,1,Red Bull Racing,15,MEDIUM,9,False,NaT,,4,False
VER,1,Red Bull Racing,16,MEDIUM,10,False,0 days 00:01:34.244000,94.244,4,False
VER,1,Red Bull Racing,17,MEDIUM,11,False,0 days 00:01:34.339000,94.339,4,False
VER,1,Red Bull Racing,18,MEDIUM,12,False,0 days 00:01:33.913000,93.913,4,False
VER,1,Red Bull Racing,19,MEDIUM,13,False,0 days 00:01:33.911000,93.911,4,False
VER,1,Red Bull Racing,20,MEDIUM,14,False,0 days 00:01:34.231000,94.231,4,False
VER,1,Red Bull Racing,21,MEDIUM,15,False,0 days 00:01:43.684000,103.684,4,False
VER,1,Red Bull Racing,22,MEDIUM,16,False,0 days 00:01:34.017000,94.017,4,False
VER,1,Red Bull Racing,23,MEDIUM,17,False,0 days 00:01:34.053000,94.053,4,False
VER,1,Red Bull Racing,24,MEDIUM,18,False,0 days 00:01:33.911000,93.911,4,False
VER,1,Red Bull Racing,25,MEDIUM,19,False,0 days 00:01:33.726000,93.726,4,False
VER,1,Red Bull Racing,26,MEDIUM,20,False,NaT,,4,False
VER,1,Red Bull Racing,27,MEDIUM,21,False,0 days 00:02:22.013000,142.013,4,False
SAR,2,Williams,1,MEDIUM,1,True,NaT,,1,False
SAR,2,Williams,2,MEDIUM,2,True,0 days 00:02:08.420000,128.42,1,True
SAR,2,Williams,3,MEDIUM,3,True,0 days 00:02:01.610000,121.61,1,True
SAR,2,Williams,4,MEDIUM,4,True,0 days 00:01:31.030000,91.03,1,True
SAR,2,Williams,5,MEDIUM,5,True,0 days 00:02:05.759000,125.759,1,False
SAR,2,Williams,6,MEDIUM,6,True,0 days 00:01:30.692000,90.692,1,True
SAR,2,Williams,7,MEDIUM,7,True,0 days 00:01:43.006000,103.006,1,False
SAR,2,Williams,8,SOFT,1,True,NaT,,2,False
SAR,2,Williams,9,SOFT,2,True,0 days 00:01:30.192000,90.192,2,True
SAR,2,Williams,10,SOFT,3,True,0 days 00:02:21.212000,141.212,2,False
SAR,2,Williams,11,SOFT,4,True,0 days 00:01:29.934000,89.934,2,True
SAR,2,Williams,12,SOFT,5,True,NaT,,2,False
SAR,2,Williams,13,SOFT,6,True,0 days 00:01:36.616000,96.616,2,False
SAR,2,Williams,14,SOFT,7,False,NaT,,3,False
SAR,2,Williams,15,MEDIUM,8,False,0 days 00:02:00.796000,120.796,4,False
SAR,2,Williams,16,MEDIUM,9,False,0 days 00:01:35.213000,95.213,4,False
SAR,2,Williams,17,MEDIUM,10,False,0 days 00:01:35.454000,95.454,4,False
SAR,2,Williams,18,MEDIUM,11,False,0 days 00:01:36.121000,96.121,4,False
SAR,2,Williams,19,MEDIUM,12,False,0 days 00:01:48.884000,108.884,4,False
SAR,2,Williams,20,MEDIUM,13,False,0 days 00:01:35.576000,95.576,4,False
SAR,2,Williams,21,MEDIUM,14,False,0 days 00:01:35.794000,95.794,4,False
SAR,2,Williams,22,MEDIUM,15,False,0 days 00:01:35.857000,95.857,4,False
SAR,2,Williams,23,MEDIUM,16,False,0 days 00:01:35.750000,95.75,4,False
SAR,2,Williams,24,MEDIUM,17,False,0 days 00:01:35.433000,95.433,4,False
SAR,2,Williams,25,MEDIUM,18,False,0 days 00:01:35.302000,95.302,4,False
SAR,2,Williams,26,MEDIUM,19,False,NaT,,4,False
SAR,2,Williams,27,MEDIUM,20,False,NaT,,4,False
RIC,3,RB,1,SOFT,1,True,NaT,,1,False
RIC,3,RB,2,SOFT,2,True,0 days 00:01:30.781000,90.781,1,True
RIC,3,RB,3,SOFT,3,True,NaT,,1,False
RIC,3,RB,4,SOFT,4,True,0 days 00:01:30.907000,90.907,1,False
RIC,3,RB,5,SOFT,5,True,NaT,,1,False
RIC,3,RB,6,SOFT,6,True,0 days 00:01:50.521000,110.521,1,False
RIC,3,RB,7,SOFT,7,True,0 days 00:01:53.763000,113.763,1,False
RIC,3,RB,8,SOFT,8,True,0 days 00:02:22.510000,142.51,1,False
RIC,3,RB,9,SOFT,9,True,0 days 00:01:30.158000,90.158,1,True
RIC,3,RB,10,SOFT,10,True,0 days 00:01:54.748000,114.748,1,False
RIC,3,RB,11,SOFT,1,True,NaT,,2,False
RIC,3,RB,12,SOFT,2,True,0 days 00:02:00.458000,120.458,2,False
RIC,3,RB,13,SOFT,3,True,0 days 00:01:55.457000,115.457,2,False
RIC,3,RB,14,SOFT,4,True,0 days 00:02:16.799000,136.799,2,False
RIC,3,RB,15,SOFT,5,True,0 days 00:01:30.088000,90.088,2,True
RIC,3,RB,16,SOFT,6,True,0 days 00:01:55.257000,115.257,2,False
RIC,3,RB,17,SOFT,7,False,NaT,,3,False
RIC,3,RB,18,SOFT,8,False,0 days 00:01:34.961000,94.961,3,False
RIC,3,RB,19,SOFT,9,False,0 days 00:01:35.413000,95.413,3,False
RIC,3,RB,20,SOFT,10,False,0 days 00:01:34.682000,94.682,3,False
RIC,3,RB,21,SOFT,11,False,0 days 00:01:35.091000,95.091,3,False
RIC,3,RB,22,SOFT,12,False,0 days 00:01:34.880000,94.88,3,False
RIC,3,RB,23,SOFT,13,False,0 days 00:01:35.200000,95.2,3,False
RIC,3,RB,24,SOFT,14,False,0 days 00:01:35.418000,95.418,3,False
RIC,3,RB,25,SOFT,15,False,0 days 00:01:35.679000,95.679,3,False
RIC,3,RB,26,SOFT,16,False,0 days 00:01:35.887000,95.887,3,False
RIC,3,RB,27,SOFT,17,False,0 days 00:01:36.224000,96.224,3,False
RIC,3,RB,28,SOFT,18,False,0 days 00:02:23.835000,143.835,3,False
RIC,3,RB,29,SOFT,19,False,0 days 00:02:18.749000,138.749,3,False
NOR,4,McLaren,1,HARD,1,True,NaT,,1,False
NOR,4,McLaren,2,HARD,2,True,0 days 00:01:31.515000,91.515,1,True
NOR,4,McLaren,3,HARD,3,True,0 days 00:02:26.798000,146.798,1,False
NOR,4,McLaren,4,HARD,4,True,0 days 00:01:30.160000,90.16,1,True
NOR,4,McLaren,5,HARD,5,True,0 days 00:02:07.663000,127.663,1,False
NOR,4,McLaren,6,SOFT,1,True,NaT,,2,False
