Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:28.491000,88.491,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:05.837000,125.837,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:28.171000,88.171,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:01:49.554000,109.554,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:28.078000,88.078,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:49.937000,109.937,3,False
VER,1,Red Bull Racing,10,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,5,False,0 days 00:01:28.033000,88.033,4,True
VER,1,Red Bull Racing,12,SOFT,6,False,0 days 00:01:55.550000,115.55,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:27.472000,87.472,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:46.594000,106.594,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:27.684000,87.684,6,False
VER,1,Red Bull Racing,18,SOFT,3,True,0 days 00:02:02.162000,122.162,6,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:29.004000,89.004,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:02:01.948000,121.948,1,False
LEC,16,Ferrari,4,SOFT,4,True,0 days 00:01:28.668000,88.668,1,True
LEC,16,Ferrari,5,SOFT,5,True,0 days 00:01:57.042000,117.042,1,False
LEC,16,Ferrari,6,SOFT,6,True,0 days 00:01:57.251000,117.251,1,False
LEC,16,Ferrari,7,SOFT,7,True,0 days 00:01:28.318000,88.318,1,True
LEC,16,Ferrari,8,SOFT,8,True,0 days 00:02:04.577000,124.577,1,False
LEC,16,Ferrari,9,SOFT,1,True,NaT,,2,False
LEC,16,Ferrari,10,SOFT,2,True,NaT,,2,False
LEC,16,Ferrari,11,SOFT,3,False,NaT,,3,False
LEC,16,Ferrari,12,SOFT,4,False,0 days 00:01:28.179000,88.179,3,True
LEC,16,Ferrari,13,SOFT,5,False,0 days 00:01:43.979000,103.979,3,False
LEC,16,Ferrari,14,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,15,SOFT,2,True,0 days 00:01:28.112000,88.112,4,True
LEC,16,Ferrari,16,SOFT,3,True,0 days 00:01:51.955000,111.955,4,False
LEC,16,Ferrari,17,SOFT,1,True,NaT,,5,False
LEC,16,Ferrari,18,SOFT,2,True,0 days 00:01:58.606000,118.606,5,True
LEC,16,Ferrari,19,SOFT,3,True,0 days 00:01:28.272000,88.272,5,True
LEC,16,Ferrari,20,SOFT,4,True,0 days 00:01:44.863000,104.863,5,False
LEC,16,Ferrari,21,SOFT,1,True,NaT,,6,False
LEC,16,Ferrari,22,SOFT,2,True,0 days 00:01:27.791000,87.791,6,True
LEC,16,Ferrari,23,SOFT,3,True,0 days 00:01:59.409000,119.409,6,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:01:28.761000,88.761,1,True
PER,11,Red Bull Racing,3,SOFT,3,True,0 days 00:02:03.980000,123.98,1,False
PER,11,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
