Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:35.505000,95.505,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:34.205000,94.205,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:34.043000,94.043,1,True
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:33.754000,93.754,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:33.955000,93.955,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:33.676000,93.676,1,True
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:02:02.919000,122.919,1,False
VER,1,Red Bull Racing,8,HARD,1,True,NaT,,2,False
VER,1,Red Bull Racing,9,HARD,2,True,NaT,,2,False
VER,1,Red Bull Racing,10,HARD,3,True,0 days 00:01:35.024000,95.024,2,False
VER,1,Red Bull Racing,11,HARD,4,True,0 days 00:01:33.610000,93.61,2,True
VER,1,Red Bull Racing,12,HARD,5,True,0 days 00:01:33.321000,93.321,2,True
VER,1,Red Bull Racing,13,HARD,6,True,0 days 00:01:33.144000,93.144,2,True
VER,1,Red Bull Racing,14,HARD,7,True,0 days 00:01:33.194000,93.194,2,False
VER,1,Red Bull Racing,15,HARD,8,True,0 days 00:01:33.512000,93.512,2,False
VER,1,Red Bull Racing,16,HARD,9,True,0 days 00:01:33.192000,93.192,2,False
VER,1,Red Bull Racing,17,HARD,10,True,0 days 00:01:33.059000,93.059,2,True
VER,1,Red Bull Racing,18,HARD,11,True,0 days 00:01:33.139000,93.139,2,False
VER,1,Red Bull Racing,19,HARD,12,True,0 days 00:01:33.135000,93.135,2,False
VER,1,Red Bull Racing,20,HARD,13,True,0 days 00:01:33.066000,93.066,2,False
VER,1,Red Bull Racing,21,HARD,14,True,0 days 00:01:32.933000,92.933,2,True
VER,1,Red Bull Racing,22,HARD,15,True,0 days 00:01:32.980000,92.98,2,False
VER,1,Red Bull Racing,23,HARD,16,True,0 days 00:01:32.792000,92.792,2,True
VER,1,Red Bull Racing,24,HARD,17,True,0 days 00:01:32.683000,92.683,2,True
VER,1,Red Bull Racing,25,HARD,18,True,0 days 00:01:32.785000,92.785,2,False
VER,1,Red Bull Racing,26,HARD,19,True,0 days 00:01:32.561000,92.561,2,True
VER,1,Red Bull Racing,27,HARD,20,True,0 days 00:01:32.722000,92.722,2,False
VER,1,Red Bull Racing,28,HARD,21,True,0 days 00:01:32.674000,92.674,2,False
VER,1,Red Bull Racing,29,HARD,22,True,0 days 00:01:32.752000,92.752,2,False
VER,1,Red Bull Racing,30,HARD,23,True,0 days 00:01:32.601000,92.601,2,False
VER,1,Red Bull Racing,31,HARD,24,True,0 days 00:01:32.454000,92.454,2,True
VER,1,Red Bull Racing,32,HARD,25,True,0 days 00:01:32.545000,92.545,2,False
VER,1,Red Bull Racing,33,HARD,26,True,0 days 00:01:32.309000,92.309,2,True
VER,1,Red Bull Racing,34,HARD,27,True,0 days 00:01:32.558000,92.558,2,False
VER,1,Red Bull Racing,35,HARD,28,True,0 days 00:01:32.536000,92.536,2,False
VER,1,Red Bull Racing,36,HARD,29,True,0 days 00:01:32.413000,92.413,2,False
VER,1,Red Bull Racing,37,HARD,30,True,0 days 00:01:32.412000,92.412,2,False
VER,1,Red Bull Racing,38,HARD,31,True,0 days 00:01:32.296000,92.296,2,True
VER,1,Red Bull Racing,39,HARD,32,True,0 days 00:01:31.995000,91.995,2,True
VER,1,Red Bull Racing,40,HARD,33,True,0 days 00:01:32.555000,92.555,2,False
VER,1,Red Bull Racing,41,HARD,34,True,0 days 00:01:32.491000,92.491,2,False
VER,1,Red Bull Racing,42,HARD,35,True,0 days 00:01:33.013000,93.013,2,False
VER,1,Red Bull Racing,43,HARD,36,True,0 days 00:01:33.123000,93.123,2,False
VER,1,Red Bull Racing,44,HARD,37,True,0 days 00:01:32.377000,92.377,2,False
VER,1,Red Bull Racing,45,HARD,38,True,0 days 00:01:33.010000,93.01,2,False
VER,1,Red Bull Racing,46,HARD,39,True,0 days 00:01:32.889000,92.889,2,False
VER,1,Red Bull Racing,47,HARD,40,True,0 days 00:01:32.784000,92.784,2,False
VER,1,Red Bull Racing,48,HARD,41,True,0 days 00:01:32.563000,92.563,2,False
VER,1,Red Bull Racing,49,HARD,42,True,0 days 00:01:32.163000,92.163,2,False
VER,1,Red Bull Racing,50,HARD,43,True,0 days 00:01:31.773000,91.773,2,True
GAS,10,Alpine,1,MEDIUM,1,True,0 days 00:02:01.453000,121.453,1,False
PER,11,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:37.222000,97.222,1,False
PER,11,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:34.515000,94.515,1,True
PER,11,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:34.055000,94.055,1,True
PER,11,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:34.046000,94.046,1,True
PER,11,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:34.085000,94.085,1,False
PER,11,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:33.842000,93.842,1,True
PER,11,Red Bull Racing,7,MEDIUM,7,True,0 days 00:02:04.615000,124.615,1,False
PER,11,Red Bull Racing,8,HARD,1,True,NaT,,2,False
PER,11,Red Bull Racing,9,HARD,2,True,NaT,,2,False
PER,11,Red Bull Racing,10,HARD,3,True,0 days 00:01:36.005000,96.005,2,False
PER,11,Red Bull Racing,11,HARD,4,True,0 days 00:01:33.859000,93.859,2,False
PER,11,Red Bull Racing,12,HARD,5,True,0 days 00:01:33.930000,93.93,2,False
PER,11,Red Bull Racing,13,HARD,6,True,0 days 00:01:34.053000,94.053,2,False
PER,11,Red Bull Racing,14,HARD,7,True,0 days 00:01:33.814000,93.814,2,True
PER,11,Red Bull Racing,15,HARD,8,True,0 days 00:01:33.450000,93.45,2,True
PER,11,Red Bull Racing,16,HARD,9,True,0 days 00:01:33.536000,93.536,2,False
PER,11,Red Bull Racing,17,HARD,10,True,0 days 00:01:34.169000,94.169,2,False
PER,11,Red Bull Racing,18,HARD,11,True,0 days 00:01:33.282000,93.282,2,True
PER,11,Red Bull Racing,19,HARD,12,True,0 days 00:01:33.545000,93.545,2,False
PER,11,Red Bull Racing,20,HARD,13,True,0 days 00:01:33.377000,93.377,2,False
PER,11,Red Bull Racing,21,HARD,14,True,0 days 00:01:33.132000,93.132,2,True
PER,11,Red Bull Racing,22,HARD,15,True,0 days 00:01:33.064000,93.064,2,True
PER,11,Red Bull Racing,23,HARD,16,True,0 days 00:01:32.970000,92.97,2,True
PER,11,Red Bull Racing,24,HARD,17,True,0 days 00:01:32.795000,92.795,2,True
PER,11,Red Bull Racing,25,HARD,18,True,0 days 00:01:33.029000,93.029,2,False
PER,11,Red Bull Racing,26,HARD,19,True,0 days 00:01:32.750000,92.75,2,True
PER,11,Red Bull Racing,27,HARD,20,True,0 days 00:01:32.734000,92.734,2,True
PER,11,Red Bull Racing,28,HARD,21,True,0 days 00:01:32.968000,92.968,2,False
PER,11,Red Bull Racing,29,HARD,22,True,0 days 00:01:32.671000,92.671,2,True
PER,11,Red Bull Racing,30,HARD,23,True,0 days 00:01:32.782000,92.782,2,False
PER,11,Red Bull Racing,31,HARD,24,True,0 days 00:01:32.825000,92.825,2,False
PER,11,Red Bull Racing,32,HARD,25,True,0 days 00:01:32.506000,92.506,2,True
PER,11,Red Bull Racing,33,HARD,26,True,0 days 00:01:32.564000,92.564,2,False
PER,11,Red Bull Racing,34,HARD,27,True,0 days 00:01:32.631000,92.631,2,False
PER,11,Red Bull Racing,35,HARD,28,True,0 days 00:01:32.418000,92.418,2,True
PER,11,Red Bull Racing,36,HARD,29,True,0 days 00:01:32.363000,92.363,2,True
PER,11,Red Bull Racing,37,HARD,30,True,0 days 00:01:32.273000,92.273,2,True
PER,11,Red Bull Racing,38,HARD,31,True,0 days 00:01:32.711000,92.711,2,False
PER,11,Red Bull Racing,39,HARD,32,True,0 days 00:01:32.350000,92.35,2,False
PER,11,Red Bull Racing,40,HARD,33,True,0 days 00:01:32.720000,92.72,2,False
PER,11,Red Bull Racing,41,HARD,34,True,0 days 00:01:32.480000,92.48,2,False
PER,11,Red Bull Racing,42,HARD,35,True,0 days 00:01:32.433000,92.433,2,False
PER,11,Red Bull Racing,43,HARD,36,True,0 days 00:01:32.392000,92.392,2,False
PER,11,Red Bull Racing,44,HARD,37,True,0 days 00:01:32.441000,92.441,2,False
PER,11,Red Bull Racing,45,HARD,38,True,0 days 00:01:32.562000,92.562,2,False
PER,11,Red Bull Racing,46,HARD,39,True,0 days 00:01:32.481000,92.481,2,False
