Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,0 days 00:01:40.765000,100.765,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:17.478000,77.478,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,0 days 00:01:40.009000,100.009,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:17.229000,77.229,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:02:02.174000,122.174,2,False
VER,1,Red Bull Racing,7,SOFT,7,False,0 days 00:01:54.099000,114.099,3,False
VER,1,Red Bull Racing,8,SOFT,8,False,0 days 00:01:16.819000,76.819,3,True
VER,1,Red Bull Racing,9,SOFT,9,False,NaT,,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,0 days 00:01:51.908000,111.908,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:16.387000,76.387,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:01:54.886000,114.886,4,False
VER,1,Red Bull Racing,13,SOFT,4,False,0 days 00:01:45.317000,105.317,5,False
VER,1,Red Bull Racing,14,SOFT,5,False,0 days 00:01:20.029000,80.029,5,False
VER,1,Red Bull Racing,15,SOFT,6,False,NaT,,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,0 days 00:01:48.800000,108.8,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:16.048000,76.048,6,True
VER,1,Red Bull Racing,18,SOFT,3,True,NaT,,6,False
VER,1,Red Bull Racing,19,SOFT,1,True,0 days 00:01:42.313000,102.313,7,False
VER,1,Red Bull Racing,20,SOFT,2,True,0 days 00:01:15.915000,75.915,7,True
VER,1,Red Bull Racing,21,SOFT,3,True,NaT,,7,False
SAI,55,Ferrari,1,SOFT,1,True,0 days 00:01:47.981000,107.981,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:01:17.289000,77.289,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:01:48.391000,108.391,1,False
SAI,55,Ferrari,4,SOFT,4,True,0 days 00:01:43.869000,103.869,1,False
SAI,55,Ferrari,5,SOFT,5,True,0 days 00:01:16.731000,76.731,1,True
SAI,55,Ferrari,6,SOFT,6,True,NaT,,1,False
SAI,55,Ferrari,7,SOFT,6,False,0 days 00:01:42.618000,102.618,2,False
