Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:27.458000,87.458,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:24.099000,84.099,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:23.115000,83.115,1,True
VER,1,Red Bull Racing,4,MEDIUM,4,True,NaT,,1,False
GAS,10,Alpine,1,MEDIUM,1,True,0 days 00:01:37.304000,97.304,1,False
GAS,10,Alpine,2,MEDIUM,2,True,0 days 00:01:24.649000,84.649,1,True
GAS,10,Alpine,3,MEDIUM,3,True,0 days 00:01:23.851000,83.851,1,True
GAS,10,Alpine,4,MEDIUM,4,True,0 days 00:01:23.700000,83.7,1,True
GAS,10,Alpine,5,MEDIUM,5,True,0 days 00:01:24.526000,84.526,1,False
GAS,10,Alpine,6,MEDIUM,6,True,0 days 00:01:23.912000,83.912,1,False
GAS,10,Alpine,7,MEDIUM,7,True,0 days 00:01:23.445000,83.445,1,True
GAS,10,Alpine,8,MEDIUM,8,True,0 days 00:01:23.879000,83.879,1,False
GAS,10,Alpine,9,MEDIUM,9,True,0 days 00:01:23.829000,83.829,1,False
GAS,10,Alpine,10,MEDIUM,10,True,0 days 00:01:23.856000,83.856,1,False
GAS,10,Alpine,11,MEDIUM,11,True,0 days 00:01:25.397000,85.397,1,False
GAS,10,Alpine,12,MEDIUM,12,True,0 days 00:01:24.625000,84.625,1,False
GAS,10,Alpine,13,MEDIUM,13,True,0 days 00:01:24.049000,84.049,1,False
GAS,10,Alpine,14,MEDIUM,14,True,0 days 00:01:24.104000,84.104,1,False
GAS,10,Alpine,15,MEDIUM,15,True,0 days 00:01:24.100000,84.1,1,False
GAS,10,Alpine,16,MEDIUM,16,True,0 days 00:01:25.367000,85.367,1,False
GAS,10,Alpine,17,MEDIUM,17,True,0 days 00:01:57.788000,117.788,1,False
GAS,10,Alpine,18,HARD,1,True,0 days 00:01:29.888000,89.888,2,False
GAS,10,Alpine,19,HARD,2,True,0 days 00:01:23.922000,83.922,2,False
GAS,10,Alpine,20,HARD,3,True,0 days 00:01:23.662000,83.662,2,False
GAS,10,Alpine,21,HARD,4,True,0 days 00:01:23.241000,83.241,2,True
GAS,10,Alpine,22,HARD,5,True,0 days 00:01:23.045000,83.045,2,True
GAS,10,Alpine,23,HARD,6,True,0 days 00:01:22.929000,82.929,2,True
GAS,10,Alpine,24,HARD,7,True,0 days 00:01:23.001000,83.001,2,False
GAS,10,Alpine,25,HARD,8,True,0 days 00:01:22.933000,82.933,2,False
GAS,10,Alpine,26,HARD,9,True,0 days 00:01:23.015000,83.015,2,False
GAS,10,Alpine,27,HARD,10,True,0 days 00:01:22.904000,82.904,2,True
GAS,10,Alpine,28,HARD,11,True,0 days 00:01:22.674000,82.674,2,True
GAS,10,Alpine,29,HARD,12,True,0 days 00:01:22.708000,82.708,2,False
GAS,10,Alpine,30,HARD,13,True,0 days 00:01:22.990000,82.99,2,False
GAS,10,Alpine,31,HARD,14,True,0 days 00:01:22.727000,82.727,2,False
GAS,10,Alpine,32,HARD,15,True,0 days 00:01:23.245000,83.245,2,False
GAS,10,Alpine,33,HARD,16,True,0 days 00:01:23.215000,83.215,2,False
GAS,10,Alpine,34,HARD,17,True,0 days 00:01:23.036000,83.036,2,False
GAS,10,Alpine,35,HARD,18,True,0 days 00:01:23.225000,83.225,2,False
GAS,10,Alpine,36,HARD,19,True,0 days 00:01:22.840000,82.84,2,False
GAS,10,Alpine,37,HARD,20,True,0 days 00:01:23.326000,83.326,2,False
GAS,10,Alpine,38,HARD,21,True,0 days 00:01:25.109000,85.109,2,False
GAS,10,Alpine,39,HARD,22,True,0 days 00:01:23.016000,83.016,2,False
GAS,10,Alpine,40,HARD,23,True,0 days 00:01:25.020000,85.02,2,False
GAS,10,Alpine,41,HARD,24,True,0 days 00:01:44.594000,104.594,2,False
GAS,10,Alpine,42,HARD,1,True,0 days 00:01:28.171000,88.171,3,False
GAS,10,Alpine,43,HARD,2,True,0 days 00:01:24.419000,84.419,3,False
GAS,10,Alpine,44,HARD,3,True,0 days 00:01:21.447000,81.447,3,True
GAS,10,Alpine,45,HARD,4,True,0 days 00:01:22.079000,82.079,3,False
GAS,10,Alpine,46,HARD,5,True,0 days 00:01:21.220000,81.22,3,True
GAS,10,Alpine,47,HARD,6,True,0 days 00:01:21.275000,81.275,3,False
GAS,10,Alpine,48,HARD,7,True,0 days 00:01:21.211000,81.211,3,True
GAS,10,Alpine,49,HARD,8,True,0 days 00:01:21.340000,81.34,3,False
GAS,10,Alpine,50,HARD,9,True,0 days 00:01:21.222000,81.222,3,False
GAS,10,Alpine,51,HARD,10,True,0 days 00:01:21.090000,81.09,3,True
GAS,10,Alpine,52,HARD,11,True,0 days 00:01:21.161000,81.161,3,False
GAS,10,Alpine,53,HARD,12,True,0 days 00:01:21.324000,81.324,3,False
GAS,10,Alpine,54,HARD,13,True,0 days 00:01:23.034000,83.034,3,False
GAS,10,Alpine,55,HARD,14,True,0 days 00:01:21.427000,81.427,3,False
GAS,10,Alpine,56,HARD,15,True,0 days 00:01:26.911000,86.911,3,False
GAS,10,Alpine,57,HARD,16,True,0 days 00:02:00.819000,120.819,3,False
PER,11,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:32.428000,92.428,1,False
PER,11,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:23.381000,83.381,1,True
PER,11,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:23.165000,83.165,1,True
PER,11,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:23.398000,83.398,1,False
PER,11,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:23.364000,83.364,1,False
PER,11,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:23.024000,83.024,1,True
PER,11,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:22.804000,82.804,1,True
PER,11,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:23.048000,83.048,1,False
PER,11,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:22.970000,82.97,1,False
PER,11,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:22.680000,82.68,1,True
PER,11,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:22.921000,82.921,1,False
PER,11,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:23.704000,83.704,1,False
PER,11,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:23.664000,83.664,1,False
PER,11,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:38.693000,98.693,1,False
PER,11,Red Bull Racing,15,HARD,1,True,0 days 00:01:27.909000,87.909,2,False
PER,11,Red Bull Racing,16,HARD,2,True,0 days 00:01:24.122000,84.122,2,False
PER,11,Red Bull Racing,17,HARD,3,True,0 days 00:01:43.836000,103.836,2,False
PER,11,Red Bull Racing,18,HARD,4,True,0 days 00:01:24.269000,84.269,2,False
PER,11,Red Bull Racing,19,HARD,5,True,0 days 00:01:21.840000,81.84,2,True
PER,11,Red Bull Racing,20,HARD,6,True,0 days 00:01:21.711000,81.711,2,True
PER,11,Red Bull Racing,21,HARD,7,True,0 days 00:01:22.051000,82.051,2,False
PER,11,Red Bull Racing,22,HARD,8,True,0 days 00:01:21.869000,81.869,2,False
PER,11,Red Bull Racing,23,HARD,9,True,0 days 00:01:21.849000,81.849,2,False
PER,11,Red Bull Racing,24,HARD,10,True,0 days 00:01:21.527000,81.527,2,True
PER,11,Red Bull Racing,25,HARD,11,True,0 days 00:01:21.495000,81.495,2,True
PER,11,Red Bull Racing,26,HARD,12,True,0 days 00:01:22.246000,82.246,2,False
PER,11,Red Bull Racing,27,HARD,13,True,0 days 00:01:21.557000,81.557,2,False
PER,11,Red Bull Racing,28,HARD,14,True,0 days 00:01:22.152000,82.152,2,False
PER,11,Red Bull Racing,29,HARD,15,True,0 days 00:01:22.126000,82.126,2,False
PER,11,Red Bull Racing,30,HARD,16,True,0 days 00:01:22.180000,82.18,2,False
PER,11,Red Bull Racing,31,HARD,17,True,0 days 00:01:22.359000,82.359,2,False
PER,11,Red Bull Racing,32,HARD,18,True,0 days 00:01:22.441000,82.441,2,False
PER,11,Red Bull Racing,33,HARD,19,True,0 days 00:01:22.566000,82.566,2,False
PER,11,Red Bull Racing,34,HARD,20,True,0 days 00:01:22.962000,82.962,2,False
PER,11,Red Bull Racing,35,HARD,21,True,0 days 00:01:39.440000,99.44,2,False
PER,11,Red Bull Racing,36,HARD,1,True,0 days 00:01:27.672000,87.672,3,False
PER,11,Red Bull Racing,37,HARD,2,True,0 days 00:01:21.218000,81.218,3,True
PER,11,Red Bull Racing,38,HARD,3,True,0 days 00:01:21.245000,81.245,3,False
PER,11,Red Bull Racing,39,HARD,4,True,0 days 00:01:21.448000,81.448,3,False
PER,11,Red Bull Racing,40,HARD,5,True,0 days 00:01:21.045000,81.045,3,True
PER,11,Red Bull Racing,41,HARD,6,True,0 days 00:01:20.998000,80.998,3,True
PER,11,Red Bull Racing,42,HARD,7,True,0 days 00:01:21.350000,81.35,3,False
PER,11,Red Bull Racing,43,HARD,8,True,0 days 00:01:20.798000,80.798,3,True
PER,11,Red Bull Racing,44,HARD,9,True,0 days 00:01:20.706000,80.706,3,True
PER,11,Red Bull Racing,45,HARD,10,True,0 days 00:01:20.769000,80.769,3,False
PER,11,Red Bull Racing,46,HARD,11,True,0 days 00:01:20.428000,80.428,3,True
