Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:30.265000,90.265,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:30.193000,90.193,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:02:03.318000,123.318,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,False,NaT,,2,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:30.374000,90.374,2,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:44.224000,104.224,2,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,NaT,,3,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:36.535000,96.535,3,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:36.964000,96.964,3,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:36.671000,96.671,3,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:36.738000,96.738,3,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:36.703000,96.703,3,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:37.399000,97.399,3,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:36.646000,96.646,3,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:40.953000,100.953,3,False
VER,1,Red Bull Racing,18,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,19,SOFT,2,True,0 days 00:01:29.563000,89.563,4,True
VER,1,Red Bull Racing,20,SOFT,3,True,0 days 00:02:06.376000,126.376,4,False
VER,1,Red Bull Racing,21,SOFT,4,False,NaT,,5,False
VER,1,Red Bull Racing,22,SOFT,5,False,0 days 00:02:03.600000,123.6,5,False
VER,1,Red Bull Racing,23,SOFT,6,False,0 days 00:02:13.009000,133.009,5,False
SAR,2,Williams,1,MEDIUM,1,True,NaT,,1,False
SAR,2,Williams,2,MEDIUM,2,True,0 days 00:01:33.258000,93.258,1,True
SAR,2,Williams,3,MEDIUM,3,True,0 days 00:02:21.026000,141.026,1,False
SAR,2,Williams,4,MEDIUM,4,True,0 days 00:01:32.126000,92.126,1,True
SAR,2,Williams,5,MEDIUM,5,True,0 days 00:02:26.236000,146.236,1,False
SAR,2,Williams,6,MEDIUM,6,True,0 days 00:01:40.310000,100.31,1,False
SAR,2,Williams,7,MEDIUM,7,False,NaT,,2,False
SAR,2,Williams,8,MEDIUM,8,False,0 days 00:01:36.913000,96.913,2,False
SAR,2,Williams,9,MEDIUM,9,False,0 days 00:01:39.653000,99.653,2,False
SAR,2,Williams,10,MEDIUM,10,False,0 days 00:01:36.169000,96.169,2,False
SAR,2,Williams,11,MEDIUM,11,False,0 days 00:01:36.152000,96.152,2,False
SAR,2,Williams,12,MEDIUM,12,False,0 days 00:01:39.836000,99.836,2,False
SAR,2,Williams,13,SOFT,1,True,NaT,,3,False
SAR,2,Williams,14,SOFT,2,True,0 days 00:01:31.452000,91.452,3,True
