Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:28.866000,88.866,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:01.685000,121.685,1,False
VER,1,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,True,0 days 00:01:28.740000,88.74,2,True
VER,1,Red Bull Racing,6,SOFT,3,True,0 days 00:01:54.937000,114.937,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:28.240000,88.24,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:50.480000,110.48,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:28.197000,88.197,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:01:59.610000,119.61,4,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:01:29.303000,89.303,1,True
PER,11,Red Bull Racing,3,SOFT,3,True,0 days 00:02:06.525000,126.525,1,False
PER,11,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
PER,11,Red Bull Racing,5,SOFT,2,True,0 days 00:01:28.752000,88.752,2,True
PER,11,Red Bull Racing,6,SOFT,3,True,0 days 00:02:03.487000,123.487,2,False
PER,11,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
PER,11,Red Bull Racing,8,SOFT,2,True,0 days 00:01:28.605000,88.605,3,True
PER,11,Red Bull Racing,9,SOFT,3,True,0 days 00:01:54.230000,114.23,3,False
PER,11,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,11,SOFT,2,True,0 days 00:01:28.263000,88.263,4,True
PER,11,Red Bull Racing,12,SOFT,3,True,0 days 00:02:05.625000,125.625,4,False
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:29.536000,89.536,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:54.506000,114.506,1,False
NOR,4,McLaren,4,SOFT,4,False,NaT,,2,False
NOR,4,McLaren,5,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,6,SOFT,2,True,0 days 00:01:28.940000,88.94,3,True
NOR,4,McLaren,7,SOFT,3,True,0 days 00:01:55.638000,115.638,3,False
NOR,4,McLaren,8,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,9,SOFT,2,True,0 days 00:01:28.489000,88.489,4,True
NOR,4,McLaren,10,SOFT,3,True,0 days 00:01:52.625000,112.625,4,False
NOR,4,McLaren,11,SOFT,1,True,NaT,,5,False
NOR,4,McLaren,12,SOFT,2,True,0 days 00:01:28.585000,88.585,5,False
NOR,4,McLaren,13,SOFT,3,True,0 days 00:02:04.647000,124.647,5,False
SAI,55,Ferrari,1,SOFT,1,True,NaT,,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:01:29.513000,89.513,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:02:01.238000,121.238,1,False
SAI,55,Ferrari,4,SOFT,1,True,NaT,,2,False
SAI,55,Ferrari,5,SOFT,2,True,0 days 00:01:29.099000,89.099,2,True
SAI,55,Ferrari,6,SOFT,3,True,0 days 00:01:54.626000,114.626,2,False
SAI,55,Ferrari,7,SOFT,1,True,NaT,,3,False
SAI,55,Ferrari,8,SOFT,2,True,0 days 00:01:28.682000,88.682,3,True
SAI,55,Ferrari,9,SOFT,3,True,0 days 00:01:55.903000,115.903,3,False
SAI,55,Ferrari,10,SOFT,1,True,NaT,,4,False
SAI,55,Ferrari,11,SOFT,2,True,0 days 00:01:28.810000,88.81,4,False
SAI,55,Ferrari,12,SOFT,3,True,0 days 00:02:06.673000,126.673,4,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:29.254000,89.254,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:02:07.288000,127.288,1,False
