Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:02:10.735000,130.735,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,False,NaT,,2,False
VER,1,Red Bull Racing,3,MEDIUM,3,False,NaT,,2,False
VER,1,Red Bull Racing,4,MEDIUM,4,False,0 days 00:01:36.472000,96.472,2,True
VER,1,Red Bull Racing,5,MEDIUM,5,False,0 days 00:01:36.437000,96.437,2,True
VER,1,Red Bull Racing,6,MEDIUM,6,False,0 days 00:01:36.855000,96.855,2,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:36.970000,96.97,2,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:37.329000,97.329,2,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:37.178000,97.178,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:37.590000,97.59,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:37.774000,97.774,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:37.753000,97.753,2,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:37.727000,97.727,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:37.910000,97.91,2,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:37.854000,97.854,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:40.272000,100.272,2,False
VER,1,Red Bull Racing,17,MEDIUM,1,True,0 days 00:01:56.478000,116.478,3,False
VER,1,Red Bull Racing,18,MEDIUM,2,True,0 days 00:01:36.822000,96.822,3,False
VER,1,Red Bull Racing,19,MEDIUM,3,True,0 days 00:01:36.252000,96.252,3,True
VER,1,Red Bull Racing,20,MEDIUM,4,True,0 days 00:01:36.402000,96.402,3,False
VER,1,Red Bull Racing,21,MEDIUM,5,True,0 days 00:01:35.617000,95.617,3,True
VER,1,Red Bull Racing,22,MEDIUM,6,True,0 days 00:01:36.384000,96.384,3,False
VER,1,Red Bull Racing,23,MEDIUM,7,True,0 days 00:01:36.205000,96.205,3,False
VER,1,Red Bull Racing,24,MEDIUM,8,True,0 days 00:01:36.532000,96.532,3,False
VER,1,Red Bull Racing,25,MEDIUM,9,True,0 days 00:01:36.337000,96.337,3,False
VER,1,Red Bull Racing,26,MEDIUM,10,True,0 days 00:01:36.437000,96.437,3,False
VER,1,Red Bull Racing,27,MEDIUM,11,True,0 days 00:01:36.654000,96.654,3,False
VER,1,Red Bull Racing,28,MEDIUM,12,True,0 days 00:01:36.496000,96.496,3,False
VER,1,Red Bull Racing,29,MEDIUM,13,True,0 days 00:01:36.655000,96.655,3,False
VER,1,Red Bull Racing,30,MEDIUM,14,True,0 days 00:01:36.849000,96.849,3,False
VER,1,Red Bull Racing,31,MEDIUM,15,True,0 days 00:01:36.761000,96.761,3,False
VER,1,Red Bull Racing,32,MEDIUM,16,True,0 days 00:01:36.920000,96.92,3,False
VER,1,Red Bull Racing,33,MEDIUM,17,True,0 days 00:01:37.048000,97.048,3,False
VER,1,Red Bull Racing,34,MEDIUM,18,True,0 days 00:01:39.226000,99.226,3,False
VER,1,Red Bull Racing,35,HARD,1,True,0 days 00:01:55.503000,115.503,4,False
VER,1,Red Bull Racing,36,HARD,2,True,0 days 00:01:34.619000,94.619,4,True
VER,1,Red Bull Racing,37,HARD,3,True,0 days 00:01:34.970000,94.97,4,False
VER,1,Red Bull Racing,38,HARD,4,True,0 days 00:01:34.986000,94.986,4,False
VER,1,Red Bull Racing,39,HARD,5,True,0 days 00:01:34.494000,94.494,4,True
VER,1,Red Bull Racing,40,HARD,6,True,0 days 00:01:34.343000,94.343,4,True
VER,1,Red Bull Racing,41,HARD,7,True,0 days 00:01:34.273000,94.273,4,True
VER,1,Red Bull Racing,42,HARD,8,True,0 days 00:01:34.965000,94.965,4,False
VER,1,Red Bull Racing,43,HARD,9,True,0 days 00:01:34.303000,94.303,4,False
VER,1,Red Bull Racing,44,HARD,10,True,0 days 00:01:34.455000,94.455,4,False
VER,1,Red Bull Racing,45,HARD,11,True,0 days 00:01:34.606000,94.606,4,False
VER,1,Red Bull Racing,46,HARD,12,True,0 days 00:01:34.610000,94.61,4,False
VER,1,Red Bull Racing,47,HARD,13,True,0 days 00:01:35.113000,95.113,4,False
VER,1,Red Bull Racing,48,HARD,14,True,0 days 00:01:35.750000,95.75,4,False
VER,1,Red Bull Racing,49,HARD,15,True,0 days 00:01:34.885000,94.885,4,False
VER,1,Red Bull Racing,50,HARD,16,True,0 days 00:01:33.706000,93.706,4,True
VER,1,Red Bull Racing,51,HARD,17,True,0 days 00:01:34.768000,94.768,4,False
VER,1,Red Bull Racing,52,HARD,18,True,0 days 00:01:34.970000,94.97,4,False
VER,1,Red Bull Racing,53,HARD,19,True,0 days 00:01:35.263000,95.263,4,False
PER,11,Red Bull Racing,1,MEDIUM,1,True,0 days 00:02:12.767000,132.767,1,False
PER,11,Red Bull Racing,2,MEDIUM,2,False,NaT,,2,False
PER,11,Red Bull Racing,3,MEDIUM,3,False,NaT,,2,False
PER,11,Red Bull Racing,4,MEDIUM,4,False,0 days 00:01:36.573000,96.573,2,True
PER,11,Red Bull Racing,5,MEDIUM,5,False,0 days 00:01:36.568000,96.568,2,True
PER,11,Red Bull Racing,6,MEDIUM,6,False,0 days 00:01:37.693000,97.693,2,False
PER,11,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:37.308000,97.308,2,False
PER,11,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:37.220000,97.22,2,False
PER,11,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:37.838000,97.838,2,False
PER,11,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:37.926000,97.926,2,False
PER,11,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:38.216000,98.216,2,False
PER,11,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:38.156000,98.156,2,False
PER,11,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:38.125000,98.125,2,False
PER,11,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:38.505000,98.505,2,False
PER,11,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:40.906000,100.906,2,False
PER,11,Red Bull Racing,16,MEDIUM,1,True,0 days 00:01:54.826000,114.826,3,False
PER,11,Red Bull Racing,17,MEDIUM,2,True,0 days 00:01:37.428000,97.428,3,False
PER,11,Red Bull Racing,18,MEDIUM,3,True,0 days 00:01:37.844000,97.844,3,False
PER,11,Red Bull Racing,19,MEDIUM,4,True,0 days 00:01:36.436000,96.436,3,True
PER,11,Red Bull Racing,20,MEDIUM,5,True,0 days 00:01:36.206000,96.206,3,True
PER,11,Red Bull Racing,21,MEDIUM,6,True,0 days 00:01:36.558000,96.558,3,False
PER,11,Red Bull Racing,22,MEDIUM,7,True,0 days 00:01:37.264000,97.264,3,False
PER,11,Red Bull Racing,23,MEDIUM,8,True,0 days 00:01:36.656000,96.656,3,False
PER,11,Red Bull Racing,24,MEDIUM,9,True,0 days 00:01:36.921000,96.921,3,False
PER,11,Red Bull Racing,25,MEDIUM,10,True,0 days 00:01:37.760000,97.76,3,False
PER,11,Red Bull Racing,26,MEDIUM,11,True,0 days 00:01:37.689000,97.689,3,False
PER,11,Red Bull Racing,27,MEDIUM,12,True,0 days 00:01:36.843000,96.843,3,False
PER,11,Red Bull Racing,28,MEDIUM,13,True,0 days 00:01:36.733000,96.733,3,False
PER,11,Red Bull Racing,29,MEDIUM,14,True,0 days 00:01:36.969000,96.969,3,False
PER,11,Red Bull Racing,30,MEDIUM,15,True,0 days 00:01:37.097000,97.097,3,False
PER,11,Red Bull Racing,31,MEDIUM,16,True,0 days 00:01:37.118000,97.118,3,False
PER,11,Red Bull Racing,32,MEDIUM,17,True,0 days 00:01:37.106000,97.106,3,False
PER,11,Red Bull Racing,33,MEDIUM,18,True,0 days 00:01:39.409000,99.409,3,False
PER,11,Red Bull Racing,34,HARD,1,True,0 days 00:01:54.946000,114.946,4,False
PER,11,Red Bull Racing,35,HARD,2,True,0 days 00:01:33.945000,93.945,4,True
PER,11,Red Bull Racing,36,HARD,3,True,0 days 00:01:34.479000,94.479,4,False
PER,11,Red Bull Racing,37,HARD,4,True,0 days 00:01:34.808000,94.808,4,False
PER,11,Red Bull Racing,38,HARD,5,True,0 days 00:01:35.245000,95.245,4,False
PER,11,Red Bull Racing,39,HARD,6,True,0 days 00:01:34.990000,94.99,4,False
PER,11,Red Bull Racing,40,HARD,7,True,0 days 00:01:34.738000,94.738,4,False
PER,11,Red Bull Racing,41,HARD,8,True,0 days 00:01:35.030000,95.03,4,False
PER,11,Red Bull Racing,42,HARD,9,True,0 days 00:01:35.433000,95.433,4,False
PER,11,Red Bull Racing,43,HARD,10,True,0 days 00:01:35.099000,95.099,4,False
PER,11,Red Bull Racing,44,HARD,11,True,0 days 00:01:34.701000,94.701,4,False
PER,11,Red Bull Racing,45,HARD,12,True,0 days 00:01:34.996000,94.996,4,False
PER,11,Red Bull Racing,46,HARD,13,True,0 days 00:01:34.750000,94.75,4,False
PER,11,Red Bull Racing,47,HARD,14,True,0 days 00:01:35.056000,95.056,4,False
PER,11,Red Bull Racing,48,HARD,15,True,0 days 00:01:35.383000,95.383,4,False
PER,11,Red Bull Racing,49,HARD,16,True,0 days 00:01:35.035000,95.035,4,False
PER,11,Red Bull Racing,50,HARD,17,True,0 days 00:01:35.244000,95.244,4,False
