Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:39.497000,99.497,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:22.158000,142.158,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:39.110000,99.11,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:38.498000,98.498,1,True
VER,1,Red Bull Racing,7,MEDIUM,7,True,NaT,,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,NaT,,2,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:42.280000,102.28,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:42.038000,102.038,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:42.277000,102.277,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:42.697000,102.697,2,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:42.128000,102.128,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:42.308000,102.308,2,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:42.961000,102.961,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:42.549000,102.549,2,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:57.345000,117.345,2,False
VER,1,Red Bull Racing,18,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,19,SOFT,2,True,0 days 00:01:36.660000,96.66,3,True
VER,1,Red Bull Racing,20,SOFT,3,True,NaT,,3,False
VER,1,Red Bull Racing,21,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,22,SOFT,5,False,0 days 00:01:36.687000,96.687,4,False
VER,1,Red Bull Racing,23,SOFT,6,False,0 days 00:02:01.594000,121.594,4,False
VER,1,Red Bull Racing,24,SOFT,7,False,0 days 00:02:16.184000,136.184,4,False
VER,1,Red Bull Racing,25,SOFT,8,False,0 days 00:02:26.610000,146.61,4,False
SAR,2,Williams,1,MEDIUM,1,True,NaT,,1,False
SAR,2,Williams,2,MEDIUM,2,True,0 days 00:01:44.457000,104.457,1,True
SAR,2,Williams,3,MEDIUM,3,True,0 days 00:02:14.421000,134.421,1,False
SAR,2,Williams,4,MEDIUM,4,True,0 days 00:01:40.862000,100.862,1,True
SAR,2,Williams,5,MEDIUM,5,True,NaT,,1,False
SAR,2,Williams,6,MEDIUM,6,False,NaT,,2,False
SAR,2,Williams,7,MEDIUM,7,False,0 days 00:01:43.128000,103.128,2,False
SAR,2,Williams,8,MEDIUM,8,False,0 days 00:01:42.268000,102.268,2,False
SAR,2,Williams,9,MEDIUM,9,False,0 days 00:01:42.918000,102.918,2,False
SAR,2,Williams,10,MEDIUM,10,False,0 days 00:01:42.813000,102.813,2,False
SAR,2,Williams,11,MEDIUM,11,False,0 days 00:01:43.821000,103.821,2,False
SAR,2,Williams,12,MEDIUM,12,False,0 days 00:01:43.636000,103.636,2,False
SAR,2,Williams,13,MEDIUM,13,False,0 days 00:01:49.057000,109.057,2,False
SAR,2,Williams,14,MEDIUM,14,False,0 days 00:02:06.197000,126.197,3,False
SAR,2,Williams,15,SOFT,1,True,NaT,,4,False
SAR,2,Williams,16,SOFT,2,True,0 days 00:01:38.317000,98.317,4,True
SAR,2,Williams,17,SOFT,3,True,0 days 00:02:20.511000,140.511,4,False
SAR,2,Williams,18,SOFT,4,True,0 days 00:02:21.890000,141.89,4,False
SAR,2,Williams,19,SOFT,5,True,0 days 00:01:38.286000,98.286,4,True
SAR,2,Williams,20,SOFT,6,True,0 days 00:01:54.715000,114.715,4,False
SAR,2,Williams,21,SOFT,7,False,NaT,,5,False
SAR,2,Williams,22,SOFT,8,False,0 days 00:02:19.775000,139.775,5,False
SAR,2,Williams,23,SOFT,9,False,NaT,,5,False
RIC,3,RB,1,HARD,1,True,NaT,,1,False
RIC,3,RB,2,HARD,2,True,0 days 00:01:43.994000,103.994,1,True
RIC,3,RB,3,HARD,3,True,0 days 00:01:41.871000,101.871,1,True
RIC,3,RB,4,HARD,4,True,0 days 00:02:26.322000,146.322,1,False
RIC,3,RB,5,HARD,5,True,0 days 00:01:41.257000,101.257,1,True
RIC,3,RB,6,HARD,6,True,NaT,,1,False
RIC,3,RB,7,HARD,7,False,NaT,,2,False
RIC,3,RB,8,HARD,8,False,0 days 00:01:40.455000,100.455,2,True
RIC,3,RB,9,HARD,9,False,0 days 00:02:21.656000,141.656,2,False
RIC,3,RB,10,HARD,10,False,0 days 00:01:40.049000,100.049,2,True
RIC,3,RB,11,HARD,11,False,NaT,,2,False
RIC,3,RB,12,HARD,12,False,0 days 00:01:40.134000,100.134,2,False
RIC,3,RB,13,HARD,13,False,0 days 00:01:52.538000,112.538,2,False
RIC,3,RB,14,HARD,14,False,0 days 00:01:41.979000,101.979,2,False
RIC,3,RB,15,HARD,15,False,0 days 00:01:41.870000,101.87,2,False
RIC,3,RB,16,HARD,16,False,0 days 00:01:41.839000,101.839,2,False
RIC,3,RB,17,HARD,17,False,0 days 00:01:50.935000,110.935,2,False
RIC,3,RB,18,SOFT,1,True,NaT,,3,False
RIC,3,RB,19,SOFT,2,True,0 days 00:01:37.238000,97.238,3,True
RIC,3,RB,20,SOFT,3,True,NaT,,3,False
