Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:35.171000,95.171,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:14.799000,134.799,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:34.742000,94.742,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:01:51.264000,111.264,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:33.946000,93.946,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,NaT,,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:33.794000,93.794,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:02:11.781000,131.781,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:33.977000,93.977,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:54.372000,114.372,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:33.660000,93.66,6,True
VER,1,Red Bull Racing,18,SOFT,3,True,0 days 00:02:23.790000,143.79,6,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:02:11.252000,131.252,1,False
PER,11,Red Bull Racing,3,SOFT,3,False,NaT,,2,False
PER,11,Red Bull Racing,4,SOFT,4,False,0 days 00:01:35.457000,95.457,2,True
PER,11,Red Bull Racing,5,SOFT,5,False,0 days 00:02:09.643000,129.643,2,False
PER,11,Red Bull Racing,6,SOFT,6,False,0 days 00:01:35.471000,95.471,2,False
PER,11,Red Bull Racing,7,SOFT,7,False,0 days 00:01:58.887000,118.887,2,False
PER,11,Red Bull Racing,8,SOFT,1,True,NaT,,3,False
PER,11,Red Bull Racing,9,SOFT,2,True,0 days 00:01:34.883000,94.883,3,True
PER,11,Red Bull Racing,10,SOFT,3,True,NaT,,3,False
PER,11,Red Bull Racing,11,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,12,SOFT,2,True,0 days 00:01:34.026000,94.026,4,True
PER,11,Red Bull Racing,13,SOFT,3,True,0 days 00:01:59.858000,119.858,4,False
PER,11,Red Bull Racing,14,SOFT,1,True,NaT,,5,False
PER,11,Red Bull Racing,15,SOFT,2,True,0 days 00:01:34.470000,94.47,5,True
PER,11,Red Bull Racing,16,SOFT,3,True,0 days 00:01:56.909000,116.909,5,False
PER,11,Red Bull Racing,17,SOFT,1,True,NaT,,6,False
PER,11,Red Bull Racing,18,SOFT,2,True,0 days 00:01:33.982000,93.982,6,True
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
