Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:41.528000,101.528,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:40.103000,100.103,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:40.494000,100.494,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:40.573000,100.573,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:40.919000,100.919,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:41.147000,101.147,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:41.118000,101.118,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:41.110000,101.11,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:41.155000,101.155,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:41.424000,101.424,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:41.401000,101.401,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:41.318000,101.318,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:46.526000,106.526,1,False
VER,1,Red Bull Racing,14,HARD,1,True,0 days 00:01:59.074000,119.074,2,False
VER,1,Red Bull Racing,15,HARD,2,True,0 days 00:01:39.591000,99.591,2,True
VER,1,Red Bull Racing,16,HARD,3,True,0 days 00:01:39.985000,99.985,2,False
VER,1,Red Bull Racing,17,HARD,4,True,0 days 00:01:39.519000,99.519,2,True
VER,1,Red Bull Racing,18,HARD,5,True,0 days 00:01:40.070000,100.07,2,False
VER,1,Red Bull Racing,19,HARD,6,True,0 days 00:01:40.139000,100.139,2,False
VER,1,Red Bull Racing,20,HARD,7,True,0 days 00:01:40.081000,100.081,2,False
VER,1,Red Bull Racing,21,HARD,8,True,0 days 00:01:40.490000,100.49,2,False
VER,1,Red Bull Racing,22,HARD,9,True,0 days 00:02:14.296000,134.296,2,False
VER,1,Red Bull Racing,23,HARD,10,True,0 days 00:02:17.938000,137.938,2,False
VER,1,Red Bull Racing,24,HARD,1,True,NaT,,3,False
VER,1,Red Bull Racing,25,HARD,2,True,0 days 00:02:25.050000,145.05,3,False
VER,1,Red Bull Racing,26,HARD,3,True,NaT,,3,False
VER,1,Red Bull Racing,27,HARD,4,True,0 days 00:01:47.123000,107.123,3,False
VER,1,Red Bull Racing,28,HARD,5,True,NaT,,3,False
VER,1,Red Bull Racing,29,HARD,6,True,0 days 00:02:26.570000,146.57,3,False
VER,1,Red Bull Racing,30,HARD,7,True,0 days 00:02:20.118000,140.118,3,False
VER,1,Red Bull Racing,31,HARD,8,True,0 days 00:02:28.770000,148.77,3,False
VER,1,Red Bull Racing,32,HARD,9,True,0 days 00:01:38.604000,98.604,3,True
VER,1,Red Bull Racing,33,HARD,10,True,0 days 00:01:38.406000,98.406,3,True
VER,1,Red Bull Racing,34,HARD,11,True,0 days 00:01:38.426000,98.426,3,False
VER,1,Red Bull Racing,35,HARD,12,True,0 days 00:01:38.765000,98.765,3,False
VER,1,Red Bull Racing,36,HARD,13,True,0 days 00:01:38.825000,98.825,3,False
VER,1,Red Bull Racing,37,HARD,14,True,0 days 00:01:38.801000,98.801,3,False
VER,1,Red Bull Racing,38,HARD,15,True,0 days 00:01:38.855000,98.855,3,False
VER,1,Red Bull Racing,39,HARD,16,True,0 days 00:01:38.742000,98.742,3,False
VER,1,Red Bull Racing,40,HARD,17,True,0 days 00:01:38.956000,98.956,3,False
VER,1,Red Bull Racing,41,HARD,18,True,0 days 00:01:39.067000,99.067,3,False
VER,1,Red Bull Racing,42,HARD,19,True,0 days 00:01:39.227000,99.227,3,False
VER,1,Red Bull Racing,43,HARD,20,True,0 days 00:01:39.224000,99.224,3,False
VER,1,Red Bull Racing,44,HARD,21,True,0 days 00:01:39.305000,99.305,3,False
VER,1,Red Bull Racing,45,HARD,22,True,0 days 00:01:39.216000,99.216,3,False
VER,1,Red Bull Racing,46,HARD,23,True,0 days 00:01:39.433000,99.433,3,False
VER,1,Red Bull Racing,47,HARD,24,True,0 days 00:01:39.422000,99.422,3,False
VER,1,Red Bull Racing,48,HARD,25,True,0 days 00:01:39.325000,99.325,3,False
VER,1,Red Bull Racing,49,HARD,26,True,0 days 00:01:39.350000,99.35,3,False
