Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:31.071000,91.071,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,NaT,,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,False,NaT,,2,False
VER,1,Red Bull Racing,6,MEDIUM,6,False,0 days 00:01:38.217000,98.217,2,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,0 days 00:01:32.925000,92.925,2,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:32.819000,92.819,2,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:33.050000,93.05,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:32.938000,92.938,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:32.521000,92.521,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:35.252000,95.252,2,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:32.764000,92.764,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:32.489000,92.489,2,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:32.678000,92.678,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:32.508000,92.508,2,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:41.612000,101.612,2,False
VER,1,Red Bull Racing,18,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,19,SOFT,2,True,0 days 00:02:09.184000,129.184,3,False
VER,1,Red Bull Racing,20,SOFT,3,True,NaT,,3,False
VER,1,Red Bull Racing,21,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,22,SOFT,5,False,0 days 00:01:28.595000,88.595,4,True
VER,1,Red Bull Racing,23,SOFT,6,False,0 days 00:02:04.162000,124.162,4,False
VER,1,Red Bull Racing,24,SOFT,7,False,0 days 00:02:08.107000,128.107,4,False
VER,1,Red Bull Racing,25,SOFT,8,False,0 days 00:02:04.695000,124.695,4,False
SAR,2,Williams,1,HARD,1,True,NaT,,1,False
SAR,2,Williams,2,HARD,2,True,NaT,,1,False
SAR,2,Williams,3,HARD,3,False,NaT,,2,False
SAR,2,Williams,4,HARD,4,False,0 days 00:01:32.736000,92.736,2,True
SAR,2,Williams,5,HARD,5,False,0 days 00:01:31.502000,91.502,2,True
SAR,2,Williams,6,HARD,6,False,0 days 00:02:06.954000,126.954,2,False
SAR,2,Williams,7,HARD,7,False,0 days 00:02:02.132000,122.132,3,False
SAR,2,Williams,8,HARD,8,False,0 days 00:01:32.680000,92.68,3,False
SAR,2,Williams,9,HARD,9,False,0 days 00:01:32.680000,92.68,3,False
SAR,2,Williams,10,HARD,10,False,0 days 00:01:32.610000,92.61,3,False
SAR,2,Williams,11,HARD,11,False,0 days 00:01:32.587000,92.587,3,False
SAR,2,Williams,12,HARD,12,False,0 days 00:01:35.160000,95.16,3,False
SAR,2,Williams,13,HARD,13,False,0 days 00:01:33.492000,93.492,3,False
SAR,2,Williams,14,HARD,14,False,0 days 00:01:56.756000,116.756,3,False
SAR,2,Williams,15,MEDIUM,1,True,NaT,,4,False
SAR,2,Williams,16,MEDIUM,2,True,0 days 00:01:30.151000,90.151,4,True
SAR,2,Williams,17,MEDIUM,3,True,0 days 00:02:08.429000,128.429,4,False
SAR,2,Williams,18,MEDIUM,4,True,0 days 00:02:06.095000,126.095,4,False
SAR,2,Williams,19,MEDIUM,5,True,0 days 00:01:29.891000,89.891,4,True
SAR,2,Williams,20,MEDIUM,6,True,0 days 00:01:56.821000,116.821,4,False
SAR,2,Williams,21,MEDIUM,7,False,NaT,,5,False
SAR,2,Williams,22,MEDIUM,8,False,0 days 00:02:06.797000,126.797,5,False
SAR,2,Williams,23,MEDIUM,9,False,0 days 00:02:13.670000,133.67,5,False
RIC,3,RB,1,HARD,1,True,NaT,,1,False
RIC,3,RB,2,HARD,2,True,0 days 00:01:34.167000,94.167,1,True
RIC,3,RB,3,HARD,3,True,0 days 00:01:32.749000,92.749,1,True
RIC,3,RB,4,HARD,4,True,NaT,,1,False
RIC,3,RB,5,HARD,5,False,NaT,,2,False
RIC,3,RB,6,HARD,6,False,0 days 00:01:31.604000,91.604,2,True
RIC,3,RB,7,HARD,7,False,0 days 00:02:24.586000,144.586,2,False
RIC,3,RB,8,HARD,8,False,0 days 00:01:31.115000,91.115,2,True
RIC,3,RB,9,HARD,9,False,0 days 00:02:23.489000,143.489,2,False
RIC,3,RB,10,HARD,10,False,0 days 00:01:30.736000,90.736,2,True
RIC,3,RB,11,HARD,11,False,0 days 00:02:18.539000,138.539,2,False
RIC,3,RB,12,HARD,12,False,0 days 00:01:51.923000,111.923,2,False
RIC,3,RB,13,HARD,13,False,0 days 00:01:44.685000,104.685,2,False
RIC,3,RB,14,HARD,14,False,0 days 00:01:32.634000,92.634,2,False
RIC,3,RB,15,HARD,15,False,0 days 00:01:32.201000,92.201,2,False
RIC,3,RB,16,HARD,16,False,0 days 00:01:32.323000,92.323,2,False
RIC,3,RB,17,HARD,17,False,0 days 00:01:32.365000,92.365,2,False
RIC,3,RB,18,HARD,18,False,0 days 00:01:49.605000,109.605,2,False
RIC,3,RB,19,HARD,19,False,0 days 00:02:09.616000,129.616,3,False
RIC,3,RB,20,MEDIUM,1,True,NaT,,4,False
RIC,3,RB,21,MEDIUM,2,True,0 days 00:01:29.533000,89.533,4,True
RIC,3,RB,22,MEDIUM,3,True,0 days 00:01:59.447000,119.447,4,False
RIC,3,RB,23,MEDIUM,4,True,0 days 00:02:04.263000,124.263,4,False
RIC,3,RB,24,MEDIUM,5,True,0 days 00:01:29.178000,89.178,4,True
RIC,3,RB,25,MEDIUM,6,True,0 days 00:01:52.409000,112.409,4,False
RIC,3,RB,26,MEDIUM,7,True,0 days 00:02:08.787000,128.787,4,False
RIC,3,RB,27,MEDIUM,8,True,0 days 00:02:11.585000,131.585,4,False
NOR,4,McLaren,1,HARD,1,True,NaT,,1,False
NOR,4,McLaren,2,HARD,2,False,NaT,,2,False
NOR,4,McLaren,3,HARD,3,False,0 days 00:01:32.555000,92.555,2,True
NOR,4,McLaren,4,HARD,4,False,0 days 00:02:08.233000,128.233,2,False
NOR,4,McLaren,5,HARD,5,False,0 days 00:01:30.788000,90.788,2,True
NOR,4,McLaren,6,HARD,6,False,0 days 00:01:57.398000,117.398,2,False
NOR,4,McLaren,7,HARD,7,False,NaT,,3,False
NOR,4,McLaren,8,HARD,8,False,0 days 00:01:29.798000,89.798,3,True
NOR,4,McLaren,9,HARD,9,False,0 days 00:02:09.096000,129.096,3,False
NOR,4,McLaren,10,HARD,10,False,0 days 00:01:29.495000,89.495,3,True
NOR,4,McLaren,11,HARD,11,False,0 days 00:01:39.901000,99.901,3,False
NOR,4,McLaren,12,HARD,12,False,0 days 00:01:31.001000,91.001,3,False
NOR,4,McLaren,13,HARD,13,False,0 days 00:01:31.486000,91.486,3,False
NOR,4,McLaren,14,HARD,14,False,0 days 00:01:31.623000,91.623,3,False
NOR,4,McLaren,15,HARD,15,False,0 days 00:01:31.974000,91.974,3,False
NOR,4,McLaren,16,HARD,16,False,0 days 00:01:36.818000,96.818,3,False
NOR,4,McLaren,17,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,18,SOFT,2,True,0 days 00:01:36.398000,96.398,4,False
NOR,4,McLaren,19,HARD,17,False,0 days 00:01:58.734000,118.734,5,False
NOR,4,McLaren,20,HARD,18,False,0 days 00:02:06.174000,126.174,5,False
NOR,4,McLaren,21,HARD,19,False,0 days 00:02:24.745000,144.745,5,False
GAS,10,Alpine,1,HARD,1,True,NaT,,1,False
GAS,10,Alpine,2,HARD,2,True,0 days 00:01:32.220000,92.22,1,True
GAS,10,Alpine,3,HARD,3,True,0 days 00:02:22.720000,142.72,1,False
GAS,10,Alpine,4,HARD,4,True,0 days 00:02:06.625000,126.625,1,False
GAS,10,Alpine,5,HARD,5,True,NaT,,1,False
