Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,4,False,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,5,False,0 days 00:01:28.023000,88.023,1,True
VER,1,Red Bull Racing,3,SOFT,6,False,NaT,,1,False
VER,1,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,True,0 days 00:01:27.689000,87.689,2,True
VER,1,Red Bull Racing,6,SOFT,3,True,0 days 00:01:59.875000,119.875,2,False
VER,1,Red Bull Racing,7,SOFT,4,False,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,5,False,0 days 00:01:27.972000,87.972,3,True
VER,1,Red Bull Racing,9,SOFT,6,False,0 days 00:01:43.537000,103.537,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:27.566000,87.566,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:01:50.093000,110.093,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:27.241000,87.241,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:45.978000,105.978,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:27.430000,87.43,6,False
VER,1,Red Bull Racing,18,SOFT,3,True,NaT,,6,False
LEC,16,Ferrari,1,SOFT,3,False,NaT,,1,False
LEC,16,Ferrari,2,SOFT,4,False,0 days 00:01:28.183000,88.183,1,True
LEC,16,Ferrari,3,SOFT,5,False,0 days 00:01:45.898000,105.898,1,False
LEC,16,Ferrari,4,SOFT,1,True,NaT,,2,False
LEC,16,Ferrari,5,SOFT,2,True,0 days 00:01:28.097000,88.097,2,True
LEC,16,Ferrari,6,SOFT,3,True,0 days 00:02:03.963000,123.963,2,False
LEC,16,Ferrari,7,SOFT,4,False,0 days 00:02:14.392000,134.392,3,False
LEC,16,Ferrari,8,SOFT,5,False,0 days 00:01:28.081000,88.081,3,True
LEC,16,Ferrari,9,SOFT,6,False,0 days 00:02:07.771000,127.771,3,False
LEC,16,Ferrari,10,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,11,SOFT,2,True,0 days 00:01:27.533000,87.533,4,True
LEC,16,Ferrari,12,SOFT,3,True,0 days 00:01:52.571000,112.571,4,False
LEC,16,Ferrari,13,SOFT,1,True,NaT,,5,False
LEC,16,Ferrari,14,SOFT,2,True,0 days 00:01:27.880000,87.88,5,False
LEC,16,Ferrari,15,SOFT,3,True,0 days 00:01:55.414000,115.414,5,False
LEC,16,Ferrari,16,SOFT,1,True,NaT,,6,False
LEC,16,Ferrari,17,SOFT,2,True,0 days 00:01:27.382000,87.382,6,True
LEC,16,Ferrari,18,SOFT,3,True,0 days 00:01:49.632000,109.632,6,False
LEC,16,Ferrari,19,SOFT,1,True,NaT,,7,False
LEC,16,Ferrari,20,SOFT,2,True,0 days 00:01:27.799000,87.799,7,False
LEC,16,Ferrari,21,SOFT,3,True,NaT,,7,False
SAI,55,Ferrari,1,SOFT,9,False,NaT,,1,False
SAI,55,Ferrari,2,SOFT,10,False,0 days 00:01:28.159000,88.159,1,True
SAI,55,Ferrari,3,SOFT,11,False,0 days 00:01:49.954000,109.954,1,False
SAI,55,Ferrari,4,SOFT,3,False,NaT,,2,False
SAI,55,Ferrari,5,SOFT,4,False,0 days 00:01:27.937000,87.937,2,True
SAI,55,Ferrari,6,SOFT,5,False,NaT,,2,False
SAI,55,Ferrari,7,SOFT,6,False,NaT,,3,False
SAI,55,Ferrari,8,SOFT,7,False,0 days 00:01:28.168000,88.168,3,False
SAI,55,Ferrari,9,SOFT,8,False,0 days 00:02:02.677000,122.677,3,False
SAI,55,Ferrari,10,SOFT,1,True,NaT,,4,False
SAI,55,Ferrari,11,SOFT,2,True,0 days 00:01:27.941000,87.941,4,True
SAI,55,Ferrari,12,SOFT,3,True,0 days 00:01:54.046000,114.046,4,False
SAI,55,Ferrari,13,SOFT,1,True,NaT,,5,False
SAI,55,Ferrari,14,SOFT,2,True,0 days 00:01:28.321000,88.321,5,False
SAI,55,Ferrari,15,SOFT,3,True,0 days 00:02:01.826000,121.826,5,False
SAI,55,Ferrari,16,SOFT,1,True,NaT,,6,False
SAI,55,Ferrari,17,SOFT,2,True,0 days 00:01:27.455000,87.455,6,True
SAI,55,Ferrari,18,SOFT,3,True,0 days 00:01:52.518000,112.518,6,False
SAI,55,Ferrari,19,SOFT,1,True,NaT,,7,False
SAI,55,Ferrari,20,SOFT,2,True,0 days 00:01:27.786000,87.786,7,False
SAI,55,Ferrari,21,SOFT,3,True,NaT,,7,False
PER,11,Red Bull Racing,1,SOFT,4,False,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,5,False,0 days 00:01:28.288000,88.288,1,True
PER,11,Red Bull Racing,3,SOFT,6,False,0 days 00:01:57.199000,117.199,1,False
PER,11,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
PER,11,Red Bull Racing,5,SOFT,2,True,0 days 00:01:27.772000,87.772,2,True
PER,11,Red Bull Racing,6,SOFT,3,True,0 days 00:01:55.734000,115.734,2,False
PER,11,Red Bull Racing,7,SOFT,4,False,NaT,,3,False
PER,11,Red Bull Racing,8,SOFT,5,False,0 days 00:01:28.239000,88.239,3,True
PER,11,Red Bull Racing,9,SOFT,6,False,0 days 00:01:59.255000,119.255,3,False
PER,11,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,11,SOFT,2,True,0 days 00:01:27.839000,87.839,4,True
PER,11,Red Bull Racing,12,SOFT,3,True,0 days 00:01:56.892000,116.892,4,False
PER,11,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
PER,11,Red Bull Racing,14,SOFT,2,True,0 days 00:01:27.754000,87.754,5,True
PER,11,Red Bull Racing,15,SOFT,3,True,0 days 00:01:54.214000,114.214,5,False
PER,11,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
PER,11,Red Bull Racing,17,SOFT,2,True,0 days 00:01:27.460000,87.46,6,True
PER,11,Red Bull Racing,18,SOFT,3,True,NaT,,6,False
NOR,4,McLaren,1,SOFT,3,False,NaT,,1,False
NOR,4,McLaren,2,SOFT,4,False,0 days 00:01:28.624000,88.624,1,True
NOR,4,McLaren,3,SOFT,5,False,0 days 00:01:49.755000,109.755,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:28.017000,88.017,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:01:57.432000,117.432,2,False
NOR,4,McLaren,7,SOFT,4,True,0 days 00:01:59.714000,119.714,2,False
NOR,4,McLaren,8,SOFT,5,True,0 days 00:01:27.913000,87.913,2,True
NOR,4,McLaren,9,SOFT,6,True,0 days 00:01:56.795000,116.795,2,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:27.871000,87.871,3,True
NOR,4,McLaren,12,SOFT,3,True,0 days 00:01:56.360000,116.36,3,False
NOR,4,McLaren,13,MEDIUM,4,False,NaT,,4,False
NOR,4,McLaren,14,MEDIUM,5,False,0 days 00:01:28.057000,88.057,4,False
NOR,4,McLaren,15,MEDIUM,6,False,0 days 00:01:48.821000,108.821,4,False
NOR,4,McLaren,16,MEDIUM,1,True,NaT,,5,False
NOR,4,McLaren,17,MEDIUM,2,True,0 days 00:01:27.822000,87.822,5,True
NOR,4,McLaren,18,MEDIUM,3,True,0 days 00:01:53.742000,113.742,5,False
NOR,4,McLaren,19,SOFT,1,True,NaT,,6,False
NOR,4,McLaren,20,SOFT,2,True,0 days 00:01:27.594000,87.594,6,True
NOR,4,McLaren,21,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,1,SOFT,6,False,NaT,,1,False
PIA,81,McLaren,2,SOFT,7,False,0 days 00:01:28.569000,88.569,1,True
PIA,81,McLaren,3,SOFT,8,False,NaT,,1,False
PIA,81,McLaren,4,SOFT,1,True,0 days 00:02:26.813000,146.813,2,False
PIA,81,McLaren,5,SOFT,2,True,0 days 00:01:28.032000,88.032,2,True
PIA,81,McLaren,6,SOFT,3,True,0 days 00:01:59.135000,119.135,2,False
PIA,81,McLaren,7,SOFT,4,False,NaT,,3,False
