Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:34.338000,94.338,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:33.093000,93.093,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:33.137000,93.137,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:33.504000,93.504,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:32.834000,92.834,1,True
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:32.939000,92.939,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:32.895000,92.895,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:32.838000,92.838,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:33.289000,93.289,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:33.267000,93.267,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:33.501000,93.501,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:33.097000,93.097,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:33.129000,93.129,1,False
VER,1,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:32.918000,92.918,1,False
VER,1,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:32.807000,92.807,1,True
VER,1,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:32.749000,92.749,1,True
VER,1,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:32.920000,92.92,1,False
VER,1,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:33.022000,93.022,1,False
VER,1,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:32.668000,92.668,1,True
VER,1,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:32.530000,92.53,1,True
VER,1,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:32.926000,92.926,1,False
VER,1,Red Bull Racing,22,MEDIUM,22,True,0 days 00:01:32.906000,92.906,1,False
VER,1,Red Bull Racing,23,MEDIUM,23,True,0 days 00:01:51.938000,111.938,1,False
VER,1,Red Bull Racing,24,HARD,1,True,0 days 00:01:47.087000,107.087,2,False
VER,1,Red Bull Racing,25,HARD,2,True,0 days 00:01:32.298000,92.298,2,True
VER,1,Red Bull Racing,26,HARD,3,True,0 days 00:01:32.410000,92.41,2,False
