Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,12,False,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,13,False,0 days 00:01:20.085000,80.085,1,True
VER,1,Red Bull Racing,3,SOFT,14,False,0 days 00:02:04.902000,124.902,1,False
VER,1,Red Bull Racing,4,SOFT,15,False,0 days 00:01:52.357000,112.357,1,False
VER,1,Red Bull Racing,5,SOFT,16,False,0 days 00:01:18.606000,78.606,1,True
VER,1,Red Bull Racing,6,SOFT,17,False,0 days 00:01:58.032000,118.032,1,False
VER,1,Red Bull Racing,7,SOFT,7,False,NaT,,2,False
VER,1,Red Bull Racing,8,SOFT,8,False,0 days 00:01:18.050000,78.05,2,True
VER,1,Red Bull Racing,9,SOFT,9,False,0 days 00:01:54.615000,114.615,2,False
VER,1,Red Bull Racing,10,SOFT,10,False,NaT,,3,False
VER,1,Red Bull Racing,11,SOFT,11,False,0 days 00:01:18.055000,78.055,3,False
VER,1,Red Bull Racing,12,SOFT,12,False,0 days 00:01:35.406000,95.406,3,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,14,SOFT,2,False,0 days 00:02:12.008000,132.008,5,False
VER,1,Red Bull Racing,15,SOFT,3,False,0 days 00:01:17.240000,77.24,5,True
VER,1,Red Bull Racing,16,SOFT,4,False,0 days 00:02:26.954000,146.954,5,False
VER,1,Red Bull Racing,17,SOFT,5,False,NaT,,6,False
VER,1,Red Bull Racing,18,SOFT,6,False,0 days 00:01:44.933000,104.933,6,False
VER,1,Red Bull Racing,19,SOFT,7,False,NaT,,6,False
VER,1,Red Bull Racing,20,SOFT,8,False,0 days 00:02:14.878000,134.878,6,False
VER,1,Red Bull Racing,21,SOFT,9,False,0 days 00:01:48.764000,108.764,6,False
SAR,2,Williams,1,MEDIUM,9,False,NaT,,1,False
SAR,2,Williams,2,None,2,False,NaT,,2,False
SAR,2,Williams,3,None,3,False,0 days 00:01:22.720000,82.72,2,True
SAR,2,Williams,4,None,4,False,0 days 00:01:52.814000,112.814,2,False
SAR,2,Williams,5,None,5,False,0 days 00:01:20.559000,80.559,2,True
SAR,2,Williams,6,None,6,False,0 days 00:01:56.351000,116.351,2,False
SAR,2,Williams,7,None,7,False,0 days 00:01:19.901000,79.901,2,True
SAR,2,Williams,8,None,8,False,NaT,,2,False
SAR,2,Williams,9,SOFT,1,True,NaT,,3,False
SAR,2,Williams,10,SOFT,2,True,0 days 00:01:20.215000,80.215,3,False
SAR,2,Williams,11,SOFT,3,True,0 days 00:02:15.158000,135.158,3,False
SAR,2,Williams,12,SOFT,4,True,0 days 00:01:56.471000,116.471,3,False
SAR,2,Williams,13,SOFT,5,True,0 days 00:01:28.600000,88.6,3,False
SAR,2,Williams,14,MEDIUM,9,False,NaT,,4,False
SAR,2,Williams,15,MEDIUM,10,False,0 days 00:01:22.415000,82.415,4,False
SAR,2,Williams,16,MEDIUM,11,False,0 days 00:01:21.579000,81.579,4,False
SAR,2,Williams,17,MEDIUM,12,False,0 days 00:01:21.721000,81.721,4,False
