Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:16.013000,76.013,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:49.752000,109.752,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:15.762000,75.762,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:01:34.157000,94.157,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:15.386000,75.386,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:46.731000,106.731,3,False
VER,1,Red Bull Racing,10,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,5,False,0 days 00:01:15.176000,75.176,4,True
VER,1,Red Bull Racing,12,SOFT,6,False,0 days 00:01:33.486000,93.486,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:14.869000,74.869,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:32.084000,92.084,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:14.746000,74.746,6,True
VER,1,Red Bull Racing,18,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:15.940000,75.94,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:43.903000,103.903,1,False
PIA,81,McLaren,4,SOFT,4,False,NaT,,2,False
PIA,81,McLaren,5,SOFT,1,True,NaT,,3,False
PIA,81,McLaren,6,SOFT,2,True,0 days 00:01:15.407000,75.407,3,True
PIA,81,McLaren,7,SOFT,3,True,0 days 00:01:43.554000,103.554,3,False
PIA,81,McLaren,8,SOFT,5,False,NaT,,4,False
PIA,81,McLaren,9,SOFT,6,False,0 days 00:01:29.141000,89.141,4,False
PIA,81,McLaren,10,SOFT,1,True,NaT,,5,False
PIA,81,McLaren,11,SOFT,2,True,0 days 00:01:15.148000,75.148,5,True
PIA,81,McLaren,12,SOFT,3,True,0 days 00:01:39.349000,99.349,5,False
PIA,81,McLaren,13,SOFT,1,True,NaT,,6,False
PIA,81,McLaren,14,SOFT,2,True,0 days 00:01:14.820000,74.82,6,True
PIA,81,McLaren,15,SOFT,3,True,NaT,,6,False
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:16.194000,76.194,1,True
