Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:22.881000,82.881,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:20.596000,80.596,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:20.872000,80.872,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:20.671000,80.671,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:20.734000,80.734,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:20.868000,80.868,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:20.868000,80.868,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:20.762000,80.762,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:20.543000,80.543,1,True
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:21.093000,81.093,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:20.885000,80.885,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:21.287000,81.287,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:21.073000,81.073,1,False
VER,1,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:20.982000,80.982,1,False
VER,1,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:21.323000,81.323,1,False
VER,1,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:21.362000,81.362,1,False
VER,1,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:21.328000,81.328,1,False
VER,1,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:21.411000,81.411,1,False
VER,1,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:21.517000,81.517,1,False
VER,1,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:21.550000,81.55,1,False
VER,1,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:21.608000,81.608,1,False
VER,1,Red Bull Racing,22,MEDIUM,22,True,0 days 00:01:21.763000,81.763,1,False
VER,1,Red Bull Racing,23,MEDIUM,23,True,0 days 00:01:21.988000,81.988,1,False
VER,1,Red Bull Racing,24,MEDIUM,24,True,0 days 00:01:26.212000,86.212,1,False
VER,1,Red Bull Racing,25,HARD,1,True,0 days 00:01:43.602000,103.602,2,False
VER,1,Red Bull Racing,26,HARD,2,True,0 days 00:01:20.482000,80.482,2,True
VER,1,Red Bull Racing,27,HARD,3,True,0 days 00:01:20.943000,80.943,2,False
VER,1,Red Bull Racing,28,HARD,4,True,0 days 00:01:20.709000,80.709,2,False
VER,1,Red Bull Racing,29,HARD,5,True,0 days 00:01:20.615000,80.615,2,False
VER,1,Red Bull Racing,30,HARD,6,True,0 days 00:01:20.571000,80.571,2,False
VER,1,Red Bull Racing,31,HARD,7,True,0 days 00:01:20.545000,80.545,2,False
VER,1,Red Bull Racing,32,HARD,8,True,0 days 00:01:20.713000,80.713,2,False
VER,1,Red Bull Racing,33,HARD,9,True,0 days 00:01:21.141000,81.141,2,False
VER,1,Red Bull Racing,34,HARD,10,True,0 days 00:01:20.760000,80.76,2,False
VER,1,Red Bull Racing,35,HARD,11,True,0 days 00:01:20.800000,80.8,2,False
VER,1,Red Bull Racing,36,HARD,12,True,0 days 00:01:20.704000,80.704,2,False
VER,1,Red Bull Racing,37,HARD,13,True,0 days 00:01:20.484000,80.484,2,False
VER,1,Red Bull Racing,38,HARD,14,True,0 days 00:01:20.366000,80.366,2,True
VER,1,Red Bull Racing,39,HARD,15,True,0 days 00:01:20.547000,80.547,2,False
VER,1,Red Bull Racing,40,HARD,16,True,0 days 00:01:20.645000,80.645,2,False
VER,1,Red Bull Racing,41,HARD,17,True,0 days 00:01:20.675000,80.675,2,False
VER,1,Red Bull Racing,42,HARD,18,True,0 days 00:01:20.832000,80.832,2,False
VER,1,Red Bull Racing,43,HARD,19,True,0 days 00:01:20.757000,80.757,2,False
VER,1,Red Bull Racing,44,HARD,20,True,0 days 00:01:20.834000,80.834,2,False
VER,1,Red Bull Racing,45,HARD,21,True,0 days 00:01:21.364000,81.364,2,False
VER,1,Red Bull Racing,46,HARD,22,True,0 days 00:01:20.700000,80.7,2,False
VER,1,Red Bull Racing,47,HARD,23,True,0 days 00:01:20.909000,80.909,2,False
VER,1,Red Bull Racing,48,HARD,24,True,0 days 00:01:20.923000,80.923,2,False
VER,1,Red Bull Racing,49,HARD,25,True,0 days 00:01:20.823000,80.823,2,False
VER,1,Red Bull Racing,50,HARD,26,True,0 days 00:01:20.817000,80.817,2,False
VER,1,Red Bull Racing,51,HARD,27,True,0 days 00:01:20.736000,80.736,2,False
VER,1,Red Bull Racing,52,HARD,28,True,0 days 00:01:20.556000,80.556,2,False
VER,1,Red Bull Racing,53,HARD,29,True,0 days 00:01:20.638000,80.638,2,False
VER,1,Red Bull Racing,54,HARD,30,True,0 days 00:01:20.918000,80.918,2,False
VER,1,Red Bull Racing,55,HARD,31,True,0 days 00:01:20.962000,80.962,2,False
VER,1,Red Bull Racing,56,HARD,32,True,0 days 00:01:20.490000,80.49,2,False
VER,1,Red Bull Racing,57,HARD,33,True,0 days 00:01:20.511000,80.511,2,False
VER,1,Red Bull Racing,58,HARD,34,True,0 days 00:01:20.513000,80.513,2,False
VER,1,Red Bull Racing,59,HARD,35,True,0 days 00:01:20.367000,80.367,2,False
VER,1,Red Bull Racing,60,HARD,36,True,0 days 00:01:20.637000,80.637,2,False
VER,1,Red Bull Racing,61,HARD,37,True,0 days 00:01:20.698000,80.698,2,False
VER,1,Red Bull Racing,62,HARD,38,True,0 days 00:01:20.753000,80.753,2,False
VER,1,Red Bull Racing,63,HARD,39,True,0 days 00:01:21.035000,81.035,2,False
NOR,4,McLaren,1,MEDIUM,1,True,0 days 00:01:23.764000,83.764,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:20.673000,80.673,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:20.884000,80.884,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:21.205000,81.205,1,False
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:01:21.046000,81.046,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:20.909000,80.909,1,False
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:20.923000,80.923,1,False
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:20.997000,80.997,1,False
NOR,4,McLaren,9,MEDIUM,9,True,0 days 00:01:21.052000,81.052,1,False
NOR,4,McLaren,10,MEDIUM,10,True,0 days 00:01:21.272000,81.272,1,False
NOR,4,McLaren,11,MEDIUM,11,True,0 days 00:01:21.201000,81.201,1,False
NOR,4,McLaren,12,MEDIUM,12,True,0 days 00:01:21.438000,81.438,1,False
NOR,4,McLaren,13,MEDIUM,13,True,0 days 00:01:21.735000,81.735,1,False
NOR,4,McLaren,14,MEDIUM,14,True,0 days 00:01:21.716000,81.716,1,False
NOR,4,McLaren,15,MEDIUM,15,True,0 days 00:01:21.666000,81.666,1,False
NOR,4,McLaren,16,MEDIUM,16,True,0 days 00:01:21.523000,81.523,1,False
NOR,4,McLaren,17,MEDIUM,17,True,0 days 00:01:21.565000,81.565,1,False
NOR,4,McLaren,18,MEDIUM,18,True,0 days 00:01:21.617000,81.617,1,False
NOR,4,McLaren,19,MEDIUM,19,True,0 days 00:01:21.793000,81.793,1,False
NOR,4,McLaren,20,MEDIUM,20,True,0 days 00:01:21.883000,81.883,1,False
NOR,4,McLaren,21,MEDIUM,21,True,0 days 00:01:21.855000,81.855,1,False
