Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:42.030000,102.03,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:18.049000,78.049,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:40.449000,100.449,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:15.625000,75.625,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:37.846000,97.846,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:14.833000,74.833,1,True
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:45.566000,105.566,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:13.974000,73.974,1,True
VER,1,Red Bull Racing,9,MEDIUM,9,True,NaT,,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:28.097000,88.097,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:24.463000,84.463,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:13.762000,73.762,2,True
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:32.923000,92.923,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:13.476000,73.476,2,True
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:43.180000,103.18,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:53.637000,113.637,2,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:28.863000,88.863,3,False
VER,1,Red Bull Racing,18,MEDIUM,18,False,0 days 00:01:13.516000,73.516,3,False
VER,1,Red Bull Racing,19,MEDIUM,19,False,NaT,,3,False
VER,1,Red Bull Racing,20,MEDIUM,1,True,NaT,,4,False
VER,1,Red Bull Racing,21,MEDIUM,1,False,0 days 00:01:32.945000,92.945,5,False
VER,1,Red Bull Racing,22,MEDIUM,2,False,0 days 00:01:24.837000,84.837,5,False
VER,1,Red Bull Racing,23,MEDIUM,3,False,0 days 00:01:12.984000,72.984,5,True
VER,1,Red Bull Racing,24,MEDIUM,4,False,0 days 00:01:40.807000,100.807,5,False
VER,1,Red Bull Racing,25,MEDIUM,5,False,0 days 00:01:21.521000,81.521,5,False
VER,1,Red Bull Racing,26,MEDIUM,6,False,0 days 00:01:35.037000,95.037,5,False
VER,1,Red Bull Racing,27,MEDIUM,7,False,0 days 00:01:23.439000,83.439,5,False
VER,1,Red Bull Racing,28,MEDIUM,8,False,0 days 00:01:59.203000,119.203,5,False
VER,1,Red Bull Racing,29,MEDIUM,9,False,NaT,,5,False
SAR,2,Williams,1,HARD,1,True,0 days 00:01:37.927000,97.927,1,False
SAR,2,Williams,2,HARD,2,True,0 days 00:01:20.371000,80.371,1,True
SAR,2,Williams,3,HARD,3,True,0 days 00:01:23.174000,83.174,1,False
SAR,2,Williams,4,HARD,4,True,0 days 00:01:17.557000,77.557,1,True
SAR,2,Williams,5,HARD,5,True,0 days 00:01:16.493000,76.493,1,True
SAR,2,Williams,6,HARD,6,True,0 days 00:01:44.236000,104.236,1,False
SAR,2,Williams,7,HARD,7,True,0 days 00:01:16.240000,76.24,1,True
SAR,2,Williams,8,HARD,8,True,0 days 00:01:43.364000,103.364,1,False
