Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
LEC,16,Ferrari,1,SOFT,1,True,0 days 00:01:47.009000,107.009,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:12.839000,72.839,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:01:37.033000,97.033,1,False
LEC,16,Ferrari,4,SOFT,4,True,0 days 00:01:12.452000,72.452,1,True
LEC,16,Ferrari,5,SOFT,5,True,0 days 00:01:56.238000,116.238,1,False
LEC,16,Ferrari,6,SOFT,6,False,0 days 00:01:42.528000,102.528,2,False
LEC,16,Ferrari,7,SOFT,7,False,0 days 00:01:11.653000,71.653,2,True
LEC,16,Ferrari,8,SOFT,8,False,0 days 00:01:39.792000,99.792,2,False
LEC,16,Ferrari,9,SOFT,9,False,0 days 00:01:11.584000,71.584,2,True
LEC,16,Ferrari,10,SOFT,10,False,NaT,,2,False
LEC,16,Ferrari,11,SOFT,1,True,0 days 00:01:36.347000,96.347,3,False
LEC,16,Ferrari,12,SOFT,2,True,0 days 00:01:11.356000,71.356,3,True
LEC,16,Ferrari,13,SOFT,3,True,0 days 00:01:35.734000,95.734,3,False
LEC,16,Ferrari,14,SOFT,4,True,0 days 00:01:11.289000,71.289,3,True
LEC,16,Ferrari,15,SOFT,5,True,NaT,,3,False
LEC,16,Ferrari,16,SOFT,1,True,0 days 00:01:23.239000,83.239,4,False
LEC,16,Ferrari,17,SOFT,2,True,0 days 00:01:10.825000,70.825,4,True
LEC,16,Ferrari,18,SOFT,3,True,0 days 00:01:30.654000,90.654,4,False
LEC,16,Ferrari,19,SOFT,4,True,0 days 00:01:11.074000,71.074,4,False
LEC,16,Ferrari,20,SOFT,5,True,NaT,,4,False
LEC,16,Ferrari,21,SOFT,1,True,0 days 00:01:32.957000,92.957,5,False
LEC,16,Ferrari,22,SOFT,2,True,0 days 00:01:10.418000,70.418,5,True
LEC,16,Ferrari,23,SOFT,3,True,NaT,,5,False
LEC,16,Ferrari,24,SOFT,1,True,0 days 00:01:35.143000,95.143,6,False
LEC,16,Ferrari,25,SOFT,2,True,0 days 00:01:10.270000,70.27,6,True
LEC,16,Ferrari,26,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,1,SOFT,1,True,0 days 00:01:36.193000,96.193,1,False
