Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
LEC,16,Ferrari,1,MEDIUM,1,True,0 days 00:40:56.330000,2456.33,1,False
LEC,16,Ferrari,2,HARD,1,True,NaT,,2,False
LEC,16,Ferrari,3,HARD,2,True,0 days 00:01:24.624000,84.624,2,True
LEC,16,Ferrari,4,HARD,3,True,0 days 00:01:22.625000,82.625,2,True
LEC,16,Ferrari,5,HARD,4,True,0 days 00:01:21.795000,81.795,2,True
LEC,16,Ferrari,6,HARD,5,True,0 days 00:01:21.145000,81.145,2,True
LEC,16,Ferrari,7,HARD,6,True,0 days 00:01:20.980000,80.98,2,True
LEC,16,Ferrari,8,HARD,7,True,0 days 00:01:21.030000,81.03,2,False
LEC,16,Ferrari,9,HARD,8,True,0 days 00:01:20.114000,80.114,2,True
LEC,16,Ferrari,10,HARD,9,True,0 days 00:01:20.775000,80.775,2,False
LEC,16,Ferrari,11,HARD,10,True,0 days 00:01:21.046000,81.046,2,False
LEC,16,Ferrari,12,HARD,11,True,0 days 00:01:20.252000,80.252,2,False
LEC,16,Ferrari,13,HARD,12,True,0 days 00:01:19.017000,79.017,2,True
LEC,16,Ferrari,14,HARD,13,True,0 days 00:01:19.913000,79.913,2,False
LEC,16,Ferrari,15,HARD,14,True,0 days 00:01:19.838000,79.838,2,False
LEC,16,Ferrari,16,HARD,15,True,0 days 00:01:20.156000,80.156,2,False
LEC,16,Ferrari,17,HARD,16,True,0 days 00:01:20.279000,80.279,2,False
LEC,16,Ferrari,18,HARD,17,True,0 days 00:01:19.580000,79.58,2,False
LEC,16,Ferrari,19,HARD,18,True,0 days 00:01:18.842000,78.842,2,True
LEC,16,Ferrari,20,HARD,19,True,0 days 00:01:18.724000,78.724,2,True
LEC,16,Ferrari,21,HARD,20,True,0 days 00:01:18.472000,78.472,2,True
LEC,16,Ferrari,22,HARD,21,True,0 days 00:01:18.620000,78.62,2,False
LEC,16,Ferrari,23,HARD,22,True,0 days 00:01:18.458000,78.458,2,True
LEC,16,Ferrari,24,HARD,23,True,0 days 00:01:18.725000,78.725,2,False
LEC,16,Ferrari,25,HARD,24,True,0 days 00:01:18.973000,78.973,2,False
LEC,16,Ferrari,26,HARD,25,True,0 days 00:01:18.445000,78.445,2,True
LEC,16,Ferrari,27,HARD,26,True,0 days 00:01:18.351000,78.351,2,True
LEC,16,Ferrari,28,HARD,27,True,0 days 00:01:18.710000,78.71,2,False
LEC,16,Ferrari,29,HARD,28,True,0 days 00:01:19.053000,79.053,2,False
LEC,16,Ferrari,30,HARD,29,True,0 days 00:01:19.935000,79.935,2,False
LEC,16,Ferrari,31,HARD,30,True,0 days 00:01:18.393000,78.393,2,False
LEC,16,Ferrari,32,HARD,31,True,0 days 00:01:19.125000,79.125,2,False
LEC,16,Ferrari,33,HARD,32,True,0 days 00:01:18.494000,78.494,2,False
