Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,False,0 days 00:01:28.131000,88.131,2,False
VER,1,Red Bull Racing,3,SOFT,3,False,0 days 00:01:19.311000,79.311,2,True
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
SAR,2,Williams,1,SOFT,1,True,0 days 00:01:38.895000,98.895,1,False
SAR,2,Williams,2,SOFT,2,True,0 days 00:01:25.944000,85.944,1,True
SAR,2,Williams,3,SOFT,3,True,0 days 00:01:21.634000,81.634,1,True
SAR,2,Williams,4,SOFT,4,True,0 days 00:01:22.386000,82.386,1,False
SAR,2,Williams,5,SOFT,5,True,0 days 00:01:19.914000,79.914,1,True
SAR,2,Williams,6,SOFT,6,True,0 days 00:01:25.882000,85.882,1,False
SAR,2,Williams,7,SOFT,7,True,0 days 00:01:21.019000,81.019,1,False
SAR,2,Williams,8,SOFT,8,True,0 days 00:01:18.222000,78.222,1,True
SAR,2,Williams,9,SOFT,9,True,0 days 00:01:28.448000,88.448,1,False
SAR,2,Williams,10,SOFT,10,True,0 days 00:01:17.496000,77.496,1,True
SAR,2,Williams,11,SOFT,11,True,0 days 00:01:24.068000,84.068,1,False
SAR,2,Williams,12,SOFT,12,True,NaT,,1,False
SAR,2,Williams,13,INTERMEDIATE,1,True,0 days 00:01:39.762000,99.762,2,False
SAR,2,Williams,14,INTERMEDIATE,2,True,0 days 00:01:30.633000,90.633,2,False
SAR,2,Williams,15,INTERMEDIATE,3,True,0 days 00:01:28.430000,88.43,2,False
SAR,2,Williams,16,INTERMEDIATE,4,True,0 days 00:01:28.198000,88.198,2,False
SAR,2,Williams,17,INTERMEDIATE,5,True,0 days 00:01:45.623000,105.623,2,False
SAR,2,Williams,18,INTERMEDIATE,6,True,0 days 00:01:26.838000,86.838,2,False
SAR,2,Williams,19,INTERMEDIATE,7,True,NaT,,2,False
SAR,2,Williams,20,INTERMEDIATE,8,False,0 days 00:01:59.537000,119.537,3,False
SAR,2,Williams,21,INTERMEDIATE,9,False,NaT,,3,False
SAR,2,Williams,22,INTERMEDIATE,10,False,NaT,,3,False
RIC,3,RB,1,SOFT,1,True,0 days 00:01:32.526000,92.526,1,False
RIC,3,RB,2,SOFT,2,True,0 days 00:01:22.151000,82.151,1,True
RIC,3,RB,3,SOFT,3,True,0 days 00:01:20.704000,80.704,1,True
RIC,3,RB,4,SOFT,4,True,NaT,,1,False
RIC,3,RB,5,SOFT,5,False,0 days 00:01:31.755000,91.755,2,False
RIC,3,RB,6,SOFT,6,False,0 days 00:01:21.434000,81.434,2,False
RIC,3,RB,7,SOFT,7,False,0 days 00:01:18.074000,78.074,2,True
RIC,3,RB,8,SOFT,8,False,0 days 00:01:21.290000,81.29,2,False
RIC,3,RB,9,SOFT,9,False,0 days 00:01:25.476000,85.476,2,False
RIC,3,RB,10,SOFT,10,False,0 days 00:01:16.731000,76.731,2,True
RIC,3,RB,11,SOFT,11,False,NaT,,2,False
RIC,3,RB,12,INTERMEDIATE,6,False,0 days 00:01:41.532000,101.532,3,False
RIC,3,RB,13,INTERMEDIATE,7,False,0 days 00:01:31.641000,91.641,3,False
RIC,3,RB,14,INTERMEDIATE,8,False,0 days 00:01:27.249000,87.249,3,False
RIC,3,RB,15,INTERMEDIATE,9,False,0 days 00:01:30.296000,90.296,3,False
RIC,3,RB,16,INTERMEDIATE,10,False,0 days 00:01:26.256000,86.256,3,False
RIC,3,RB,17,INTERMEDIATE,11,False,0 days 00:01:25.509000,85.509,3,False
RIC,3,RB,18,INTERMEDIATE,12,False,0 days 00:01:55.161000,115.161,3,False
RIC,3,RB,19,INTERMEDIATE,13,False,0 days 00:01:28.172000,88.172,3,False
RIC,3,RB,20,INTERMEDIATE,14,False,0 days 00:01:32.632000,92.632,3,False
RIC,3,RB,21,INTERMEDIATE,15,False,0 days 00:01:25.889000,85.889,3,False
RIC,3,RB,22,INTERMEDIATE,16,False,0 days 00:02:08.715000,128.715,3,False
RIC,3,RB,23,INTERMEDIATE,17,False,NaT,,3,False
NOR,4,McLaren,1,MEDIUM,1,True,0 days 00:01:30.662000,90.662,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:24.194000,84.194,1,True
NOR,4,McLaren,3,MEDIUM,3,True,NaT,,1,False
NOR,4,McLaren,4,MEDIUM,4,False,0 days 00:01:36.068000,96.068,2,False
NOR,4,McLaren,5,MEDIUM,5,False,0 days 00:01:20.843000,80.843,2,True
NOR,4,McLaren,6,MEDIUM,6,False,0 days 00:01:28.690000,88.69,2,False
NOR,4,McLaren,7,MEDIUM,7,False,NaT,,2,False
NOR,4,McLaren,8,INTERMEDIATE,2,False,0 days 00:01:40.246000,100.246,3,False
NOR,4,McLaren,9,INTERMEDIATE,3,False,0 days 00:01:31.077000,91.077,3,False
NOR,4,McLaren,10,INTERMEDIATE,4,False,0 days 00:01:29.034000,89.034,3,False
NOR,4,McLaren,11,INTERMEDIATE,5,False,0 days 00:01:31.893000,91.893,3,False
NOR,4,McLaren,12,INTERMEDIATE,6,False,0 days 00:01:27.172000,87.172,3,False
NOR,4,McLaren,13,INTERMEDIATE,7,False,0 days 00:01:30.425000,90.425,3,False
NOR,4,McLaren,14,INTERMEDIATE,8,False,0 days 00:01:26.421000,86.421,3,False
NOR,4,McLaren,15,INTERMEDIATE,9,False,0 days 00:01:47.506000,107.506,3,False
NOR,4,McLaren,16,INTERMEDIATE,10,False,0 days 00:01:24.794000,84.794,3,False
NOR,4,McLaren,17,INTERMEDIATE,11,False,0 days 00:01:43.837000,103.837,3,False
NOR,4,McLaren,18,INTERMEDIATE,12,False,0 days 00:01:33.750000,93.75,3,False
NOR,4,McLaren,19,INTERMEDIATE,13,False,0 days 00:01:30.601000,90.601,3,False
NOR,4,McLaren,20,INTERMEDIATE,14,False,0 days 00:02:22.916000,142.916,3,False
NOR,4,McLaren,21,INTERMEDIATE,15,False,NaT,,3,False
GAS,10,Alpine,1,SOFT,1,True,0 days 00:01:45.956000,105.956,1,False
GAS,10,Alpine,2,SOFT,2,True,0 days 00:01:39.672000,99.672,1,True
GAS,10,Alpine,3,SOFT,3,True,0 days 00:01:35.997000,95.997,1,True
GAS,10,Alpine,4,SOFT,4,True,0 days 00:01:29.007000,89.007,1,True
GAS,10,Alpine,5,SOFT,5,True,0 days 00:01:24.389000,84.389,1,True
GAS,10,Alpine,6,SOFT,6,True,0 days 00:01:22.589000,82.589,1,True
GAS,10,Alpine,7,SOFT,7,True,0 days 00:01:20.789000,80.789,1,True
GAS,10,Alpine,8,SOFT,8,True,0 days 00:01:26.107000,86.107,1,False
GAS,10,Alpine,9,SOFT,9,True,NaT,,1,False
GAS,10,Alpine,10,SOFT,10,False,0 days 00:01:30.926000,90.926,2,False
GAS,10,Alpine,11,SOFT,11,False,0 days 00:01:24.423000,84.423,2,False
GAS,10,Alpine,12,SOFT,12,False,0 days 00:01:23.022000,83.022,2,False
GAS,10,Alpine,13,SOFT,13,False,NaT,,2,False
GAS,10,Alpine,14,INTERMEDIATE,5,False,0 days 00:01:40.839000,100.839,3,False
GAS,10,Alpine,15,INTERMEDIATE,6,False,0 days 00:01:32.331000,92.331,3,False
GAS,10,Alpine,16,INTERMEDIATE,7,False,0 days 00:01:29.477000,89.477,3,False
GAS,10,Alpine,17,INTERMEDIATE,8,False,0 days 00:01:28.445000,88.445,3,False
GAS,10,Alpine,18,INTERMEDIATE,9,False,0 days 00:01:27.745000,87.745,3,False
GAS,10,Alpine,19,INTERMEDIATE,10,False,0 days 00:01:31.784000,91.784,3,False
GAS,10,Alpine,20,INTERMEDIATE,11,False,0 days 00:01:27.256000,87.256,3,False
GAS,10,Alpine,21,INTERMEDIATE,12,False,0 days 00:01:31.743000,91.743,3,False
GAS,10,Alpine,22,INTERMEDIATE,13,False,0 days 00:01:26.541000,86.541,3,False
GAS,10,Alpine,23,INTERMEDIATE,14,False,0 days 00:01:33.877000,93.877,3,False
GAS,10,Alpine,24,INTERMEDIATE,15,False,0 days 00:01:27.040000,87.04,3,False
GAS,10,Alpine,25,INTERMEDIATE,16,False,0 days 00:02:20.625000,140.625,3,False
GAS,10,Alpine,26,INTERMEDIATE,17,False,NaT,,3,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,False,0 days 00:01:30.486000,90.486,2,False
PER,11,Red Bull Racing,3,SOFT,3,False,NaT,,2,False
PER,11,Red Bull Racing,4,SOFT,4,False,0 days 00:01:26.819000,86.819,3,False
PER,11,Red Bull Racing,5,SOFT,5,False,0 days 00:01:22.589000,82.589,3,True
PER,11,Red Bull Racing,6,SOFT,6,False,0 days 00:01:18.646000,78.646,3,True
PER,11,Red Bull Racing,7,SOFT,7,False,0 days 00:01:17.041000,77.041,3,True
PER,11,Red Bull Racing,8,SOFT,8,False,0 days 00:01:42.128000,102.128,3,False
PER,11,Red Bull Racing,9,SOFT,9,False,NaT,,3,False
PER,11,Red Bull Racing,10,INTERMEDIATE,7,False,0 days 00:01:37.210000,97.21,4,False
PER,11,Red Bull Racing,11,INTERMEDIATE,8,False,0 days 00:01:35.519000,95.519,4,False
PER,11,Red Bull Racing,12,INTERMEDIATE,9,False,0 days 00:01:27.627000,87.627,4,False
PER,11,Red Bull Racing,13,INTERMEDIATE,10,False,0 days 00:01:26.584000,86.584,4,False
PER,11,Red Bull Racing,14,INTERMEDIATE,11,False,0 days 00:01:45.466000,105.466,4,False
PER,11,Red Bull Racing,15,INTERMEDIATE,12,False,0 days 00:01:25.769000,85.769,4,False
PER,11,Red Bull Racing,16,INTERMEDIATE,13,False,0 days 00:01:46.146000,106.146,4,False
PER,11,Red Bull Racing,17,INTERMEDIATE,14,False,0 days 00:01:29.296000,89.296,4,False
PER,11,Red Bull Racing,18,INTERMEDIATE,15,False,0 days 00:02:11.686000,131.686,4,False
PER,11,Red Bull Racing,19,INTERMEDIATE,16,False,NaT,,4,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,False,0 days 00:01:34.957000,94.957,2,False
