Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
RUS,63,Mercedes,1,SOFT,1,True,0 days 00:01:36.779000,96.779,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:14.012000,74.012,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:01:43.785000,103.785,1,False
RUS,63,Mercedes,4,SOFT,4,True,0 days 00:01:27.779000,87.779,1,False
RUS,63,Mercedes,5,SOFT,5,True,0 days 00:01:13.242000,73.242,1,True
RUS,63,Mercedes,6,SOFT,6,True,NaT,,1,False
RUS,63,Mercedes,7,SOFT,7,False,0 days 00:01:26.396000,86.396,2,False
RUS,63,Mercedes,8,SOFT,8,False,0 days 00:01:13.013000,73.013,2,True
RUS,63,Mercedes,9,SOFT,9,False,NaT,,2,False
RUS,63,Mercedes,10,SOFT,1,True,NaT,,3,False
RUS,63,Mercedes,11,SOFT,2,True,0 days 00:01:13.121000,73.121,3,True
RUS,63,Mercedes,12,SOFT,3,True,0 days 00:01:28.211000,88.211,3,False
RUS,63,Mercedes,13,SOFT,4,True,0 days 00:01:12.323000,72.323,3,True
RUS,63,Mercedes,14,SOFT,5,True,0 days 00:01:40.606000,100.606,3,False
RUS,63,Mercedes,15,SOFT,6,True,0 days 00:01:37.876000,97.876,3,False
RUS,63,Mercedes,16,SOFT,7,True,0 days 00:01:27.544000,87.544,3,False
RUS,63,Mercedes,17,SOFT,8,True,0 days 00:02:03.331000,123.331,3,False
RUS,63,Mercedes,18,SOFT,1,True,0 days 00:01:24.842000,84.842,4,False
RUS,63,Mercedes,19,SOFT,2,True,0 days 00:01:11.742000,71.742,4,True
RUS,63,Mercedes,20,SOFT,3,True,NaT,,4,False
RUS,63,Mercedes,21,SOFT,4,False,0 days 00:01:25.701000,85.701,5,False
RUS,63,Mercedes,22,SOFT,5,False,0 days 00:01:12,72.0,5,True
RUS,63,Mercedes,23,SOFT,6,False,NaT,,5,False
RUS,63,Mercedes,24,SOFT,1,True,0 days 00:01:22.880000,82.88,6,False
RUS,63,Mercedes,25,SOFT,2,True,0 days 00:01:12.026000,72.026,6,False
RUS,63,Mercedes,26,SOFT,3,True,0 days 00:02:05.475000,125.475,6,False
VER,1,Red Bull Racing,1,SOFT,1,True,0 days 00:01:42.863000,102.863,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:15.194000,75.194,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:44.727000,104.727,1,False
VER,1,Red Bull Racing,4,SOFT,4,True,0 days 00:01:38.085000,98.085,1,False
VER,1,Red Bull Racing,5,SOFT,5,True,0 days 00:01:13.368000,73.368,1,True
VER,1,Red Bull Racing,6,SOFT,6,True,0 days 00:01:43.806000,103.806,1,False
VER,1,Red Bull Racing,7,SOFT,7,True,0 days 00:01:44.735000,104.735,1,False
VER,1,Red Bull Racing,8,SOFT,8,True,NaT,,1,False
VER,1,Red Bull Racing,9,SOFT,1,True,0 days 00:01:31.436000,91.436,2,False
VER,1,Red Bull Racing,10,SOFT,2,True,0 days 00:01:12.360000,72.36,2,True
VER,1,Red Bull Racing,11,SOFT,3,True,NaT,,2,False
VER,1,Red Bull Racing,12,SOFT,2,False,0 days 00:01:39.036000,99.036,3,False
VER,1,Red Bull Racing,13,SOFT,3,False,0 days 00:01:13.084000,73.084,3,True
VER,1,Red Bull Racing,14,SOFT,4,False,0 days 00:01:42.950000,102.95,3,False
VER,1,Red Bull Racing,15,SOFT,5,False,0 days 00:01:37.752000,97.752,3,False
VER,1,Red Bull Racing,16,SOFT,6,False,0 days 00:01:12.940000,72.94,3,True
VER,1,Red Bull Racing,17,SOFT,7,False,NaT,,3,False
VER,1,Red Bull Racing,18,SOFT,1,True,0 days 00:01:23.116000,83.116,4,False
VER,1,Red Bull Racing,19,SOFT,2,True,0 days 00:01:12.549000,72.549,4,True
VER,1,Red Bull Racing,20,SOFT,3,True,NaT,,4,False
VER,1,Red Bull Racing,21,SOFT,3,False,0 days 00:02:00.460000,120.46,5,False
VER,1,Red Bull Racing,22,SOFT,4,False,0 days 00:01:12.358000,72.358,5,True
VER,1,Red Bull Racing,23,SOFT,5,False,0 days 00:01:38.003000,98.003,5,False
VER,1,Red Bull Racing,24,SOFT,6,False,NaT,,5,False
VER,1,Red Bull Racing,25,SOFT,1,True,0 days 00:01:24.408000,84.408,6,False
VER,1,Red Bull Racing,26,SOFT,2,True,0 days 00:01:12,72.0,6,True
VER,1,Red Bull Racing,27,SOFT,3,True,0 days 00:01:58.990000,118.99,6,False
NOR,4,McLaren,1,SOFT,1,True,0 days 00:01:34.812000,94.812,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:14.585000,74.585,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:35.666000,95.666,1,False
NOR,4,McLaren,4,SOFT,4,True,0 days 00:01:13.541000,73.541,1,True
NOR,4,McLaren,5,SOFT,5,True,0 days 00:01:39.841000,99.841,1,False
NOR,4,McLaren,6,SOFT,6,True,NaT,,1,False
NOR,4,McLaren,7,SOFT,1,True,0 days 00:01:34.757000,94.757,2,False
NOR,4,McLaren,8,SOFT,2,True,0 days 00:01:12.959000,72.959,2,True
NOR,4,McLaren,9,SOFT,3,True,NaT,,2,False
NOR,4,McLaren,10,SOFT,1,True,0 days 00:01:35.374000,95.374,3,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:13.207000,73.207,3,True
NOR,4,McLaren,12,SOFT,3,True,0 days 00:01:32.220000,92.22,3,False
NOR,4,McLaren,13,SOFT,4,True,0 days 00:01:12.692000,72.692,3,True
NOR,4,McLaren,14,SOFT,5,True,NaT,,3,False
NOR,4,McLaren,15,SOFT,4,False,0 days 00:01:37.990000,97.99,4,False
NOR,4,McLaren,16,SOFT,5,False,0 days 00:01:12.201000,72.201,4,True
NOR,4,McLaren,17,SOFT,6,False,NaT,,4,False
NOR,4,McLaren,18,SOFT,6,False,0 days 00:01:29.324000,89.324,5,False
NOR,4,McLaren,19,SOFT,7,False,0 days 00:01:13.370000,73.37,5,True
NOR,4,McLaren,20,SOFT,8,False,NaT,,5,False
NOR,4,McLaren,21,SOFT,1,True,0 days 00:01:23.101000,83.101,6,False
NOR,4,McLaren,22,SOFT,2,True,0 days 00:01:12.021000,72.021,6,True
NOR,4,McLaren,23,SOFT,3,True,0 days 00:01:30.547000,90.547,6,False
NOR,4,McLaren,24,SOFT,4,True,0 days 00:01:12.333000,72.333,6,False
NOR,4,McLaren,25,SOFT,5,True,0 days 00:01:55.719000,115.719,6,False
PIA,81,McLaren,1,SOFT,1,True,0 days 00:01:47.406000,107.406,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:24.434000,84.434,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:14.318000,74.318,1,True
PIA,81,McLaren,4,SOFT,4,True,0 days 00:01:45.579000,105.579,1,False
PIA,81,McLaren,5,SOFT,5,True,NaT,,1,False
PIA,81,McLaren,6,SOFT,1,True,0 days 00:01:47.676000,107.676,2,False
PIA,81,McLaren,7,SOFT,2,True,0 days 00:01:13.807000,73.807,2,True
PIA,81,McLaren,8,SOFT,3,True,0 days 00:01:44.954000,104.954,2,False
PIA,81,McLaren,9,SOFT,4,True,0 days 00:01:12.907000,72.907,2,True
PIA,81,McLaren,10,SOFT,5,True,NaT,,2,False
PIA,81,McLaren,11,SOFT,1,True,0 days 00:01:38.605000,98.605,3,False
PIA,81,McLaren,12,SOFT,2,True,0 days 00:01:12.462000,72.462,3,True
PIA,81,McLaren,13,SOFT,3,True,0 days 00:01:33.462000,93.462,3,False
PIA,81,McLaren,14,SOFT,4,True,0 days 00:01:12.466000,72.466,3,False
PIA,81,McLaren,15,SOFT,5,True,NaT,,3,False
PIA,81,McLaren,16,SOFT,6,False,0 days 00:01:30.319000,90.319,4,False
PIA,81,McLaren,17,SOFT,7,False,0 days 00:01:12.691000,72.691,4,False
PIA,81,McLaren,18,SOFT,8,False,0 days 00:01:34.764000,94.764,4,False
PIA,81,McLaren,19,SOFT,9,False,0 days 00:01:12.821000,72.821,4,False
PIA,81,McLaren,20,SOFT,10,False,NaT,,4,False
