Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,INTERMEDIATE,1,True,0 days 00:01:44.993000,104.993,1,False
VER,1,Red Bull Racing,2,INTERMEDIATE,2,True,0 days 00:01:37.672000,97.672,1,True
VER,1,Red Bull Racing,3,INTERMEDIATE,3,True,0 days 00:01:36.443000,96.443,1,True
VER,1,Red Bull Racing,4,INTERMEDIATE,4,True,0 days 00:01:35.105000,95.105,1,True
VER,1,Red Bull Racing,5,INTERMEDIATE,5,True,0 days 00:01:33.859000,93.859,1,True
VER,1,Red Bull Racing,6,INTERMEDIATE,6,True,0 days 00:01:32.634000,92.634,1,True
VER,1,Red Bull Racing,7,INTERMEDIATE,7,True,0 days 00:01:31.258000,91.258,1,True
VER,1,Red Bull Racing,8,INTERMEDIATE,8,True,0 days 00:01:30.766000,90.766,1,True
VER,1,Red Bull Racing,9,INTERMEDIATE,9,True,0 days 00:01:30.159000,90.159,1,True
VER,1,Red Bull Racing,10,INTERMEDIATE,10,True,0 days 00:01:29.295000,89.295,1,True
VER,1,Red Bull Racing,11,INTERMEDIATE,11,True,0 days 00:01:29.700000,89.7,1,False
VER,1,Red Bull Racing,12,INTERMEDIATE,12,True,0 days 00:01:28.991000,88.991,1,True
VER,1,Red Bull Racing,13,INTERMEDIATE,13,True,0 days 00:01:28.532000,88.532,1,True
VER,1,Red Bull Racing,14,INTERMEDIATE,14,True,0 days 00:01:28.527000,88.527,1,True
VER,1,Red Bull Racing,15,INTERMEDIATE,15,True,0 days 00:01:28.637000,88.637,1,False
VER,1,Red Bull Racing,16,INTERMEDIATE,16,True,0 days 00:01:28.138000,88.138,1,True
VER,1,Red Bull Racing,17,INTERMEDIATE,17,True,0 days 00:01:29.256000,89.256,1,False
VER,1,Red Bull Racing,18,INTERMEDIATE,18,True,0 days 00:01:26.436000,86.436,1,True
VER,1,Red Bull Racing,19,INTERMEDIATE,19,True,0 days 00:01:26.001000,86.001,1,True
VER,1,Red Bull Racing,20,INTERMEDIATE,20,True,0 days 00:01:26.265000,86.265,1,False
VER,1,Red Bull Racing,21,INTERMEDIATE,21,True,0 days 00:01:26.578000,86.578,1,False
VER,1,Red Bull Racing,22,INTERMEDIATE,22,True,0 days 00:01:26.590000,86.59,1,False
VER,1,Red Bull Racing,23,INTERMEDIATE,23,True,0 days 00:01:26.591000,86.591,1,False
VER,1,Red Bull Racing,24,INTERMEDIATE,24,True,0 days 00:01:27.034000,87.034,1,False
VER,1,Red Bull Racing,25,INTERMEDIATE,25,True,0 days 00:01:53.896000,113.896,1,False
VER,1,Red Bull Racing,26,INTERMEDIATE,1,True,0 days 00:01:49.849000,109.849,2,False
VER,1,Red Bull Racing,27,INTERMEDIATE,2,True,0 days 00:02:10.108000,130.108,2,False
VER,1,Red Bull Racing,28,INTERMEDIATE,3,True,0 days 00:02:08.316000,128.316,2,False
VER,1,Red Bull Racing,29,INTERMEDIATE,4,True,0 days 00:02:13.946000,133.946,2,False
VER,1,Red Bull Racing,30,INTERMEDIATE,5,True,0 days 00:01:26.187000,86.187,2,False
VER,1,Red Bull Racing,31,INTERMEDIATE,6,True,0 days 00:01:29.219000,89.219,2,False
VER,1,Red Bull Racing,32,INTERMEDIATE,7,True,0 days 00:01:30.715000,90.715,2,False
VER,1,Red Bull Racing,33,INTERMEDIATE,8,True,0 days 00:01:29.528000,89.528,2,False
VER,1,Red Bull Racing,34,INTERMEDIATE,9,True,0 days 00:01:27.754000,87.754,2,False
VER,1,Red Bull Racing,35,INTERMEDIATE,10,True,0 days 00:01:26.792000,86.792,2,False
VER,1,Red Bull Racing,36,INTERMEDIATE,11,True,0 days 00:01:26.269000,86.269,2,False
VER,1,Red Bull Racing,37,INTERMEDIATE,12,True,0 days 00:01:25.748000,85.748,2,True
VER,1,Red Bull Racing,38,INTERMEDIATE,13,True,0 days 00:01:25.386000,85.386,2,True
VER,1,Red Bull Racing,39,INTERMEDIATE,14,True,0 days 00:01:24.859000,84.859,2,True
VER,1,Red Bull Racing,40,INTERMEDIATE,15,True,0 days 00:01:24.711000,84.711,2,True
VER,1,Red Bull Racing,41,INTERMEDIATE,16,True,0 days 00:01:24.159000,84.159,2,True
VER,1,Red Bull Racing,42,INTERMEDIATE,17,True,0 days 00:01:24.079000,84.079,2,True
VER,1,Red Bull Racing,43,INTERMEDIATE,18,True,0 days 00:01:24.292000,84.292,2,False
VER,1,Red Bull Racing,44,INTERMEDIATE,19,True,0 days 00:01:24.381000,84.381,2,False
