Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:14.237000,74.237,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:14.416000,134.416,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:02:03.885000,123.885,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:14.342000,74.342,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:29.144000,89.144,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,False,NaT,,2,False
VER,1,Red Bull Racing,8,MEDIUM,8,False,0 days 00:01:20.719000,80.719,2,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:20.538000,80.538,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:20.812000,80.812,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:20.599000,80.599,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:20.372000,80.372,2,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:20.274000,80.274,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:20.225000,80.225,2,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:20.174000,80.174,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:20.007000,80.007,2,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:27.240000,87.24,2,False
VER,1,Red Bull Racing,18,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,19,SOFT,2,True,0 days 00:01:13.087000,73.087,3,True
VER,1,Red Bull Racing,20,SOFT,3,True,0 days 00:01:38.250000,98.25,3,False
VER,1,Red Bull Racing,21,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,22,SOFT,5,False,0 days 00:01:42.181000,102.181,4,False
VER,1,Red Bull Racing,23,SOFT,6,False,0 days 00:02:14.784000,134.784,4,False
VER,1,Red Bull Racing,24,SOFT,7,False,0 days 00:01:51.190000,111.19,4,False
SAR,2,Williams,1,SOFT,1,True,NaT,,1,False
SAR,2,Williams,2,SOFT,2,True,0 days 00:01:15.086000,75.086,1,True
SAR,2,Williams,3,SOFT,3,True,0 days 00:02:10.289000,130.289,1,False
SAR,2,Williams,4,SOFT,1,True,NaT,,2,False
SAR,2,Williams,5,SOFT,2,True,0 days 00:01:14.729000,74.729,2,True
SAR,2,Williams,6,SOFT,3,True,0 days 00:02:13.743000,133.743,2,False
SAR,2,Williams,7,SOFT,4,False,0 days 00:02:26.780000,146.78,3,False
SAR,2,Williams,8,SOFT,5,False,0 days 00:01:15.279000,75.279,3,False
SAR,2,Williams,9,SOFT,6,False,0 days 00:01:42.633000,102.633,3,False
SAR,2,Williams,10,SOFT,4,False,NaT,,4,False
SAR,2,Williams,11,SOFT,5,False,0 days 00:01:49.981000,109.981,4,False
SAR,2,Williams,12,SOFT,6,False,0 days 00:01:53.191000,113.191,4,False
RIC,3,RB,1,MEDIUM,1,True,NaT,,1,False
RIC,3,RB,2,MEDIUM,2,True,0 days 00:01:15.178000,75.178,1,True
