Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:12.386000,72.386,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:40.092000,100.092,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:11.872000,71.872,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:02:10.664000,130.664,2,False
NOR,4,McLaren,7,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,8,SOFT,2,True,0 days 00:01:11.796000,71.796,3,True
NOR,4,McLaren,9,SOFT,3,True,0 days 00:01:36.560000,96.56,3,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:11.383000,71.383,4,True
NOR,4,McLaren,12,SOFT,3,True,0 days 00:01:51.195000,111.195,4,False
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:12.306000,72.306,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:42.809000,102.809,1,False
VER,1,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,True,0 days 00:01:11.653000,71.653,2,True
VER,1,Red Bull Racing,6,SOFT,3,True,0 days 00:01:35.627000,95.627,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:11.673000,71.673,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:38.172000,98.172,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:11.403000,71.403,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,NaT,,4,False
HAM,44,Mercedes,1,SOFT,1,True,NaT,,1,False
HAM,44,Mercedes,2,SOFT,2,True,0 days 00:01:13.033000,73.033,1,True
HAM,44,Mercedes,3,SOFT,3,True,0 days 00:01:45.965000,105.965,1,False
HAM,44,Mercedes,4,SOFT,1,True,NaT,,2,False
HAM,44,Mercedes,5,SOFT,2,True,0 days 00:01:12.143000,72.143,2,True
HAM,44,Mercedes,6,SOFT,3,True,0 days 00:01:40.122000,100.122,2,False
HAM,44,Mercedes,7,SOFT,4,False,NaT,,3,False
HAM,44,Mercedes,8,SOFT,5,False,0 days 00:01:12.666000,72.666,3,True
HAM,44,Mercedes,9,SOFT,6,False,0 days 00:01:29.256000,89.256,3,False
HAM,44,Mercedes,10,SOFT,1,True,NaT,,4,False
HAM,44,Mercedes,11,SOFT,2,True,0 days 00:01:11.792000,71.792,4,True
HAM,44,Mercedes,12,SOFT,3,True,0 days 00:01:37.456000,97.456,4,False
HAM,44,Mercedes,13,SOFT,1,True,NaT,,5,False
HAM,44,Mercedes,14,SOFT,2,True,0 days 00:01:11.816000,71.816,5,True
HAM,44,Mercedes,15,SOFT,3,True,0 days 00:01:25.168000,85.168,5,False
HAM,44,Mercedes,16,SOFT,1,True,NaT,,6,False
HAM,44,Mercedes,17,SOFT,2,True,0 days 00:01:11.701000,71.701,6,True
HAM,44,Mercedes,18,SOFT,3,True,NaT,,6,False
RUS,63,Mercedes,1,SOFT,1,True,NaT,,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:12.456000,72.456,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:01:49.126000,109.126,1,False
RUS,63,Mercedes,4,SOFT,4,False,NaT,,2,False
RUS,63,Mercedes,5,SOFT,1,True,NaT,,3,False
RUS,63,Mercedes,6,SOFT,2,True,0 days 00:01:12.114000,72.114,3,True
RUS,63,Mercedes,7,SOFT,3,True,0 days 00:01:24.218000,84.218,3,False
RUS,63,Mercedes,8,SOFT,1,True,NaT,,4,False
RUS,63,Mercedes,9,SOFT,2,True,0 days 00:01:11.812000,71.812,4,True
RUS,63,Mercedes,10,SOFT,3,True,0 days 00:01:41.386000,101.386,4,False
RUS,63,Mercedes,11,SOFT,1,True,NaT,,5,False
RUS,63,Mercedes,12,SOFT,2,True,0 days 00:01:11.840000,71.84,5,True
RUS,63,Mercedes,13,SOFT,3,True,0 days 00:01:40.477000,100.477,5,False
RUS,63,Mercedes,14,SOFT,1,True,NaT,,6,False
RUS,63,Mercedes,15,SOFT,2,True,0 days 00:01:11.703000,71.703,6,True
RUS,63,Mercedes,16,SOFT,3,True,NaT,,6,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:12.257000,72.257,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:01:39.097000,99.097,1,False
LEC,16,Ferrari,4,SOFT,1,True,NaT,,2,False
LEC,16,Ferrari,5,SOFT,2,True,0 days 00:01:12.038000,72.038,2,True
LEC,16,Ferrari,6,SOFT,3,True,0 days 00:01:32.084000,92.084,2,False
LEC,16,Ferrari,7,SOFT,1,True,NaT,,3,False
LEC,16,Ferrari,8,SOFT,2,True,0 days 00:01:11.949000,71.949,3,True
LEC,16,Ferrari,9,SOFT,3,True,0 days 00:01:28.473000,88.473,3,False
LEC,16,Ferrari,10,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,11,SOFT,2,True,0 days 00:01:11.731000,71.731,4,True
LEC,16,Ferrari,12,SOFT,3,True,NaT,,4,False
SAI,55,Ferrari,1,SOFT,1,True,NaT,,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:01:12.403000,72.403,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:01:37.832000,97.832,1,False
SAI,55,Ferrari,4,SOFT,1,True,NaT,,2,False
SAI,55,Ferrari,5,SOFT,2,True,0 days 00:01:11.874000,71.874,2,True
SAI,55,Ferrari,6,SOFT,3,True,0 days 00:01:42.314000,102.314,2,False
SAI,55,Ferrari,7,SOFT,1,True,NaT,,3,False
SAI,55,Ferrari,8,SOFT,2,True,0 days 00:01:11.915000,71.915,3,True
SAI,55,Ferrari,9,SOFT,3,True,0 days 00:01:43.256000,103.256,3,False
SAI,55,Ferrari,10,SOFT,1,True,NaT,,4,False
SAI,55,Ferrari,11,SOFT,2,True,0 days 00:01:11.736000,71.736,4,True
SAI,55,Ferrari,12,SOFT,3,True,NaT,,4,False
GAS,10,Alpine,1,SOFT,1,True,NaT,,1,False
GAS,10,Alpine,2,SOFT,2,True,0 days 00:01:13.011000,73.011,1,True
GAS,10,Alpine,3,SOFT,3,True,0 days 00:01:38.750000,98.75,1,False
GAS,10,Alpine,4,SOFT,1,True,NaT,,2,False
GAS,10,Alpine,5,SOFT,2,True,0 days 00:01:12.651000,72.651,2,True
GAS,10,Alpine,6,SOFT,3,True,0 days 00:01:44.451000,104.451,2,False
GAS,10,Alpine,7,SOFT,1,True,NaT,,3,False
