Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,4,False,0 days 00:01:23.186000,83.186,1,False
VER,1,Red Bull Racing,2,SOFT,5,False,0 days 00:01:19.871000,79.871,1,True
VER,1,Red Bull Racing,3,SOFT,6,False,0 days 00:01:19.364000,79.364,1,True
VER,1,Red Bull Racing,4,SOFT,7,False,0 days 00:01:20.766000,80.766,1,False
VER,1,Red Bull Racing,5,SOFT,8,False,0 days 00:01:20.827000,80.827,1,False
VER,1,Red Bull Racing,6,SOFT,9,False,0 days 00:01:20.876000,80.876,1,False
VER,1,Red Bull Racing,7,SOFT,10,False,0 days 00:01:20.973000,80.973,1,False
VER,1,Red Bull Racing,8,SOFT,11,False,0 days 00:01:20.989000,80.989,1,False
VER,1,Red Bull Racing,9,SOFT,12,False,0 days 00:01:21.042000,81.042,1,False
VER,1,Red Bull Racing,10,SOFT,13,False,0 days 00:01:21.003000,81.003,1,False
VER,1,Red Bull Racing,11,SOFT,14,False,0 days 00:01:20.954000,80.954,1,False
VER,1,Red Bull Racing,12,SOFT,15,False,0 days 00:01:21.376000,81.376,1,False
VER,1,Red Bull Racing,13,SOFT,16,False,0 days 00:01:20.807000,80.807,1,False
VER,1,Red Bull Racing,14,SOFT,17,False,0 days 00:01:20.989000,80.989,1,False
VER,1,Red Bull Racing,15,SOFT,18,False,0 days 00:01:21.097000,81.097,1,False
VER,1,Red Bull Racing,16,SOFT,19,False,0 days 00:01:21.223000,81.223,1,False
VER,1,Red Bull Racing,17,SOFT,20,False,0 days 00:01:24.876000,84.876,1,False
VER,1,Red Bull Racing,18,MEDIUM,1,True,0 days 00:01:37.657000,97.657,2,False
VER,1,Red Bull Racing,19,MEDIUM,2,True,0 days 00:01:19.725000,79.725,2,False
VER,1,Red Bull Racing,20,MEDIUM,3,True,0 days 00:01:19.966000,79.966,2,False
VER,1,Red Bull Racing,21,MEDIUM,4,True,0 days 00:01:20.304000,80.304,2,False
VER,1,Red Bull Racing,22,MEDIUM,5,True,0 days 00:01:19.742000,79.742,2,False
VER,1,Red Bull Racing,23,MEDIUM,6,True,0 days 00:01:19.605000,79.605,2,False
VER,1,Red Bull Racing,24,MEDIUM,7,True,0 days 00:01:19.701000,79.701,2,False
VER,1,Red Bull Racing,25,MEDIUM,8,True,0 days 00:01:19.363000,79.363,2,True
VER,1,Red Bull Racing,26,MEDIUM,9,True,0 days 00:01:19.882000,79.882,2,False
VER,1,Red Bull Racing,27,MEDIUM,10,True,0 days 00:01:19.694000,79.694,2,False
VER,1,Red Bull Racing,28,MEDIUM,11,True,0 days 00:01:20.101000,80.101,2,False
VER,1,Red Bull Racing,29,MEDIUM,12,True,0 days 00:01:19.792000,79.792,2,False
VER,1,Red Bull Racing,30,MEDIUM,13,True,0 days 00:01:19.807000,79.807,2,False
VER,1,Red Bull Racing,31,MEDIUM,14,True,0 days 00:01:20.011000,80.011,2,False
VER,1,Red Bull Racing,32,MEDIUM,15,True,0 days 00:01:19.891000,79.891,2,False
VER,1,Red Bull Racing,33,MEDIUM,16,True,0 days 00:01:19.836000,79.836,2,False
VER,1,Red Bull Racing,34,MEDIUM,17,True,0 days 00:01:19.958000,79.958,2,False
VER,1,Red Bull Racing,35,MEDIUM,18,True,0 days 00:01:20.185000,80.185,2,False
VER,1,Red Bull Racing,36,MEDIUM,19,True,0 days 00:01:19.926000,79.926,2,False
VER,1,Red Bull Racing,37,MEDIUM,20,True,0 days 00:01:19.803000,79.803,2,False
VER,1,Red Bull Racing,38,MEDIUM,21,True,0 days 00:01:19.813000,79.813,2,False
VER,1,Red Bull Racing,39,MEDIUM,22,True,0 days 00:01:19.669000,79.669,2,False
VER,1,Red Bull Racing,40,MEDIUM,23,True,0 days 00:01:20.310000,80.31,2,False
VER,1,Red Bull Racing,41,MEDIUM,24,True,0 days 00:01:19.648000,79.648,2,False
VER,1,Red Bull Racing,42,MEDIUM,25,True,0 days 00:01:19.920000,79.92,2,False
VER,1,Red Bull Racing,43,MEDIUM,26,True,0 days 00:01:20.301000,80.301,2,False
VER,1,Red Bull Racing,44,MEDIUM,27,True,0 days 00:01:23.427000,83.427,2,False
VER,1,Red Bull Racing,45,SOFT,1,True,0 days 00:01:37.053000,97.053,3,False
VER,1,Red Bull Racing,46,SOFT,2,True,0 days 00:01:17.886000,77.886,3,True
VER,1,Red Bull Racing,47,SOFT,3,True,0 days 00:01:17.998000,77.998,3,False
VER,1,Red Bull Racing,48,SOFT,4,True,0 days 00:01:18.416000,78.416,3,False
VER,1,Red Bull Racing,49,SOFT,5,True,0 days 00:01:18.254000,78.254,3,False
VER,1,Red Bull Racing,50,SOFT,6,True,0 days 00:01:18.074000,78.074,3,False
VER,1,Red Bull Racing,51,SOFT,7,True,0 days 00:01:17.958000,77.958,3,False
VER,1,Red Bull Racing,52,SOFT,8,True,0 days 00:01:17.931000,77.931,3,False
VER,1,Red Bull Racing,53,SOFT,9,True,0 days 00:01:18.140000,78.14,3,False
VER,1,Red Bull Racing,54,SOFT,10,True,0 days 00:01:17.776000,77.776,3,True
VER,1,Red Bull Racing,55,SOFT,11,True,0 days 00:01:18.021000,78.021,3,False
VER,1,Red Bull Racing,56,SOFT,12,True,0 days 00:01:18.354000,78.354,3,False
VER,1,Red Bull Racing,57,SOFT,13,True,0 days 00:01:18.127000,78.127,3,False
VER,1,Red Bull Racing,58,SOFT,14,True,0 days 00:01:18.187000,78.187,3,False
VER,1,Red Bull Racing,59,SOFT,15,True,0 days 00:01:18.114000,78.114,3,False
VER,1,Red Bull Racing,60,SOFT,16,True,0 days 00:01:18.165000,78.165,3,False
VER,1,Red Bull Racing,61,SOFT,17,True,0 days 00:01:18.360000,78.36,3,False
VER,1,Red Bull Racing,62,SOFT,18,True,0 days 00:01:18.301000,78.301,3,False
VER,1,Red Bull Racing,63,SOFT,19,True,0 days 00:01:18.543000,78.543,3,False
