Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:08.044000,68.044,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:55.371000,115.371,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:07.518000,67.518,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:58.434000,118.434,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:44.875000,104.875,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:06.645000,66.645,1,True
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:25.373000,85.373,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,NaT,,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:07.035000,67.035,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:19.419000,79.419,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,NaT,,3,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:10.958000,70.958,3,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:10.822000,70.822,3,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:25.223000,85.223,3,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,NaT,,3,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,NaT,,4,False
VER,1,Red Bull Racing,18,MEDIUM,18,False,0 days 00:01:10.497000,70.497,4,False
VER,1,Red Bull Racing,19,MEDIUM,19,False,0 days 00:01:09.950000,69.95,4,False
VER,1,Red Bull Racing,20,MEDIUM,20,False,0 days 00:01:10.281000,70.281,4,False
VER,1,Red Bull Racing,21,MEDIUM,21,False,0 days 00:01:15.450000,75.45,4,False
VER,1,Red Bull Racing,22,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,23,SOFT,2,True,0 days 00:01:05.685000,65.685,5,True
VER,1,Red Bull Racing,24,SOFT,3,True,0 days 00:01:46.843000,106.843,5,False
VER,1,Red Bull Racing,25,MEDIUM,22,False,NaT,,6,False
VER,1,Red Bull Racing,26,MEDIUM,23,False,0 days 00:01:17.623000,77.623,6,False
VER,1,Red Bull Racing,27,MEDIUM,24,False,0 days 00:01:38.306000,98.306,6,False
VER,1,Red Bull Racing,28,MEDIUM,25,False,0 days 00:02:20.873000,140.873,6,False
SAR,2,Williams,1,SOFT,1,True,NaT,,1,False
SAR,2,Williams,2,SOFT,2,True,0 days 00:01:08.325000,68.325,1,True
SAR,2,Williams,3,SOFT,3,True,0 days 00:01:51.034000,111.034,1,False
SAR,2,Williams,4,SOFT,4,True,0 days 00:01:07.806000,67.806,1,True
SAR,2,Williams,5,SOFT,5,True,0 days 00:01:46.714000,106.714,1,False
SAR,2,Williams,6,SOFT,6,True,0 days 00:01:38.363000,98.363,1,False
SAR,2,Williams,7,SOFT,7,True,0 days 00:01:07.645000,67.645,1,True
SAR,2,Williams,8,SOFT,8,True,0 days 00:01:24.704000,84.704,1,False
SAR,2,Williams,9,SOFT,9,False,NaT,,2,False
