Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,4,False,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,5,False,0 days 00:01:06.054000,66.054,1,True
VER,1,Red Bull Racing,3,SOFT,6,False,0 days 00:01:42.089000,102.089,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:05.336000,65.336,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,0 days 00:01:23.976000,83.976,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:04.577000,64.577,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:28.274000,88.274,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:04.469000,64.469,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:01:25.290000,85.29,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:04.426000,64.426,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:21.217000,81.217,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:04.314000,64.314,6,True
VER,1,Red Bull Racing,18,SOFT,3,True,0 days 00:01:36.130000,96.13,6,False
NOR,4,McLaren,1,SOFT,4,False,NaT,,1,False
NOR,4,McLaren,2,SOFT,5,False,0 days 00:01:05.910000,65.91,1,True
NOR,4,McLaren,3,SOFT,6,False,0 days 00:01:27.768000,87.768,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:05.450000,65.45,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:01:36.284000,96.284,2,False
NOR,4,McLaren,7,SOFT,4,False,0 days 00:01:57.009000,117.009,3,False
NOR,4,McLaren,8,SOFT,5,False,0 days 00:01:05.602000,65.602,3,False
NOR,4,McLaren,9,SOFT,6,False,0 days 00:01:45.839000,105.839,3,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:05.103000,65.103,4,True
NOR,4,McLaren,12,SOFT,3,True,0 days 00:01:25.649000,85.649,4,False
NOR,4,McLaren,13,SOFT,4,False,NaT,,5,False
NOR,4,McLaren,14,SOFT,5,False,0 days 00:01:15.276000,75.276,5,False
NOR,4,McLaren,15,SOFT,1,True,NaT,,6,False
NOR,4,McLaren,16,SOFT,2,True,0 days 00:01:04.787000,64.787,6,True
NOR,4,McLaren,17,SOFT,3,True,0 days 00:01:26.929000,86.929,6,False
NOR,4,McLaren,18,SOFT,1,True,NaT,,7,False
