Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
RUS,63,Mercedes,1,MEDIUM,1,True,0 days 00:01:14.401000,74.401,1,False
RUS,63,Mercedes,2,MEDIUM,2,True,0 days 00:01:10.580000,70.58,1,True
RUS,63,Mercedes,3,MEDIUM,3,True,0 days 00:01:10.441000,70.441,1,True
RUS,63,Mercedes,4,MEDIUM,4,True,0 days 00:01:10.467000,70.467,1,False
RUS,63,Mercedes,5,MEDIUM,5,True,0 days 00:01:10.193000,70.193,1,True
RUS,63,Mercedes,6,MEDIUM,6,True,0 days 00:01:11.033000,71.033,1,False
RUS,63,Mercedes,7,MEDIUM,7,True,0 days 00:01:10.682000,70.682,1,False
RUS,63,Mercedes,8,MEDIUM,8,True,0 days 00:01:10.655000,70.655,1,False
RUS,63,Mercedes,9,MEDIUM,9,True,0 days 00:01:10.628000,70.628,1,False
RUS,63,Mercedes,10,MEDIUM,10,True,0 days 00:01:11.263000,71.263,1,False
RUS,63,Mercedes,11,MEDIUM,11,True,0 days 00:01:11.281000,71.281,1,False
RUS,63,Mercedes,12,MEDIUM,12,True,0 days 00:01:11.135000,71.135,1,False
RUS,63,Mercedes,13,MEDIUM,13,True,0 days 00:01:11.321000,71.321,1,False
RUS,63,Mercedes,14,MEDIUM,14,True,0 days 00:01:11.440000,71.44,1,False
RUS,63,Mercedes,15,MEDIUM,15,True,0 days 00:01:11.471000,71.471,1,False
RUS,63,Mercedes,16,MEDIUM,16,True,0 days 00:01:11.382000,71.382,1,False
RUS,63,Mercedes,17,MEDIUM,17,True,0 days 00:01:11.459000,71.459,1,False
RUS,63,Mercedes,18,MEDIUM,18,True,0 days 00:01:11.297000,71.297,1,False
RUS,63,Mercedes,19,MEDIUM,19,True,0 days 00:01:11.569000,71.569,1,False
RUS,63,Mercedes,20,MEDIUM,20,True,0 days 00:01:11.531000,71.531,1,False
RUS,63,Mercedes,21,MEDIUM,21,True,0 days 00:01:11.641000,71.641,1,False
RUS,63,Mercedes,22,MEDIUM,22,True,0 days 00:01:15.077000,75.077,1,False
