Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,HARD,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,HARD,2,True,0 days 00:01:29.906000,89.906,1,True
VER,1,Red Bull Racing,3,HARD,3,True,0 days 00:02:21.740000,141.74,1,False
VER,1,Red Bull Racing,4,HARD,4,True,0 days 00:01:29.049000,89.049,1,True
VER,1,Red Bull Racing,5,HARD,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,HARD,6,False,NaT,,2,False
VER,1,Red Bull Racing,7,HARD,7,False,0 days 00:01:28.370000,88.37,2,True
VER,1,Red Bull Racing,8,HARD,8,False,0 days 00:01:39.634000,99.634,2,False
VER,1,Red Bull Racing,9,MEDIUM,1,True,NaT,,3,False
VER,1,Red Bull Racing,10,MEDIUM,2,True,0 days 00:01:27.764000,87.764,3,True
VER,1,Red Bull Racing,11,MEDIUM,3,True,0 days 00:02:17.432000,137.432,3,False
VER,1,Red Bull Racing,12,MEDIUM,4,True,0 days 00:01:27.729000,87.729,3,True
VER,1,Red Bull Racing,13,MEDIUM,5,True,0 days 00:01:42.225000,102.225,3,False
VER,1,Red Bull Racing,14,HARD,9,False,NaT,,4,False
VER,1,Red Bull Racing,15,HARD,10,False,0 days 00:01:32.417000,92.417,4,False
VER,1,Red Bull Racing,16,HARD,11,False,0 days 00:01:32.513000,92.513,4,False
VER,1,Red Bull Racing,17,HARD,12,False,0 days 00:01:32.357000,92.357,4,False
VER,1,Red Bull Racing,18,HARD,13,False,0 days 00:01:32.113000,92.113,4,False
VER,1,Red Bull Racing,19,HARD,14,False,0 days 00:01:32.368000,92.368,4,False
VER,1,Red Bull Racing,20,HARD,15,False,0 days 00:01:32.485000,92.485,4,False
VER,1,Red Bull Racing,21,HARD,16,False,0 days 00:01:39.836000,99.836,4,False
VER,1,Red Bull Racing,22,HARD,17,False,0 days 00:01:31.775000,91.775,4,False
VER,1,Red Bull Racing,23,HARD,18,False,0 days 00:01:31.621000,91.621,4,False
VER,1,Red Bull Racing,24,HARD,19,False,0 days 00:02:22.131000,142.131,4,False
VER,1,Red Bull Racing,25,HARD,20,False,0 days 00:02:05.052000,125.052,4,False
RIC,3,RB,1,HARD,1,True,NaT,,1,False
RIC,3,RB,2,HARD,2,True,0 days 00:01:31.718000,91.718,1,True
RIC,3,RB,3,HARD,3,True,0 days 00:01:30.156000,90.156,1,True
RIC,3,RB,4,HARD,4,True,0 days 00:02:11.114000,131.114,1,False
RIC,3,RB,5,HARD,5,True,NaT,,1,False
RIC,3,RB,6,HARD,6,False,NaT,,2,False
RIC,3,RB,7,HARD,7,False,0 days 00:01:30.030000,90.03,2,True
RIC,3,RB,8,HARD,8,False,0 days 00:01:34.766000,94.766,2,False
RIC,3,RB,9,HARD,9,False,0 days 00:01:29.552000,89.552,2,True
RIC,3,RB,10,HARD,10,False,0 days 00:02:15.017000,135.017,2,False
RIC,3,RB,11,HARD,11,False,0 days 00:01:29.160000,89.16,2,True
RIC,3,RB,12,HARD,12,False,0 days 00:01:53.040000,113.04,2,False
RIC,3,RB,13,SOFT,1,True,NaT,,3,False
RIC,3,RB,14,SOFT,2,True,0 days 00:01:28.539000,88.539,3,True
RIC,3,RB,15,SOFT,3,True,0 days 00:02:25.151000,145.151,3,False
RIC,3,RB,16,SOFT,4,True,0 days 00:01:28.477000,88.477,3,True
RIC,3,RB,17,SOFT,5,True,0 days 00:02:19.168000,139.168,3,False
RIC,3,RB,18,SOFT,6,True,0 days 00:01:46.234000,106.234,3,False
