Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
HAM,44,Mercedes,1,MEDIUM,1,True,0 days 00:01:36.034000,96.034,1,False
HAM,44,Mercedes,2,MEDIUM,2,True,0 days 00:01:31.420000,91.42,1,True
HAM,44,Mercedes,3,MEDIUM,3,True,0 days 00:01:31.716000,91.716,1,False
HAM,44,Mercedes,4,MEDIUM,4,True,0 days 00:01:31.988000,91.988,1,False
HAM,44,Mercedes,5,MEDIUM,5,True,0 days 00:01:31.677000,91.677,1,False
HAM,44,Mercedes,6,MEDIUM,6,True,0 days 00:01:31.746000,91.746,1,False
HAM,44,Mercedes,7,MEDIUM,7,True,0 days 00:01:31.675000,91.675,1,False
HAM,44,Mercedes,8,MEDIUM,8,True,0 days 00:01:31.760000,91.76,1,False
HAM,44,Mercedes,9,MEDIUM,9,True,0 days 00:01:31.564000,91.564,1,False
HAM,44,Mercedes,10,MEDIUM,10,True,0 days 00:01:31.515000,91.515,1,False
HAM,44,Mercedes,11,MEDIUM,11,True,0 days 00:01:31.487000,91.487,1,False
HAM,44,Mercedes,12,MEDIUM,12,True,0 days 00:01:31.563000,91.563,1,False
HAM,44,Mercedes,13,MEDIUM,13,True,0 days 00:01:31.881000,91.881,1,False
HAM,44,Mercedes,14,MEDIUM,14,True,0 days 00:01:31.609000,91.609,1,False
HAM,44,Mercedes,15,MEDIUM,15,True,0 days 00:01:31.563000,91.563,1,False
HAM,44,Mercedes,16,MEDIUM,16,True,0 days 00:01:31.931000,91.931,1,False
HAM,44,Mercedes,17,MEDIUM,17,True,0 days 00:01:33.721000,93.721,1,False
HAM,44,Mercedes,18,MEDIUM,18,True,0 days 00:01:35.071000,95.071,1,False
HAM,44,Mercedes,19,MEDIUM,19,True,0 days 00:01:43.711000,103.711,1,False
HAM,44,Mercedes,20,MEDIUM,20,True,0 days 00:01:40.021000,100.021,1,False
HAM,44,Mercedes,21,MEDIUM,21,True,0 days 00:01:32.156000,92.156,1,False
HAM,44,Mercedes,22,MEDIUM,22,True,0 days 00:01:31.095000,91.095,1,True
HAM,44,Mercedes,23,MEDIUM,23,True,0 days 00:01:31.107000,91.107,1,False
HAM,44,Mercedes,24,MEDIUM,24,True,0 days 00:01:31.635000,91.635,1,False
HAM,44,Mercedes,25,MEDIUM,25,True,0 days 00:01:34.988000,94.988,1,False
HAM,44,Mercedes,26,MEDIUM,26,True,0 days 00:01:40.792000,100.792,1,False
HAM,44,Mercedes,27,MEDIUM,27,True,0 days 00:01:45.183000,105.183,1,False
HAM,44,Mercedes,28,INTERMEDIATE,1,True,0 days 00:02:00.866000,120.866,2,False
HAM,44,Mercedes,29,INTERMEDIATE,2,True,0 days 00:01:40.420000,100.42,2,False
HAM,44,Mercedes,30,INTERMEDIATE,3,True,0 days 00:01:40.467000,100.467,2,False
HAM,44,Mercedes,31,INTERMEDIATE,4,True,0 days 00:01:41.538000,101.538,2,False
HAM,44,Mercedes,32,INTERMEDIATE,5,True,0 days 00:01:42.475000,102.475,2,False
HAM,44,Mercedes,33,INTERMEDIATE,6,True,0 days 00:01:42.435000,102.435,2,False
HAM,44,Mercedes,34,INTERMEDIATE,7,True,0 days 00:01:42.757000,102.757,2,False
HAM,44,Mercedes,35,INTERMEDIATE,8,True,0 days 00:01:42.271000,102.271,2,False
