Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:20.715000,80.715,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:23.137000,143.137,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:19.831000,79.831,2,True
VER,1,Red Bull Racing,6,SOFT,6,False,NaT,,2,False
VER,1,Red Bull Racing,7,SOFT,7,False,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,8,False,0 days 00:01:19.844000,79.844,3,False
VER,1,Red Bull Racing,9,SOFT,9,False,0 days 00:01:40.108000,100.108,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:02:05.198000,125.198,4,False
VER,1,Red Bull Racing,12,SOFT,3,False,NaT,,5,False
VER,1,Red Bull Racing,13,SOFT,4,False,0 days 00:01:18.989000,78.989,5,True
VER,1,Red Bull Racing,14,SOFT,5,False,0 days 00:02:24.436000,144.436,5,False
VER,1,Red Bull Racing,15,SOFT,6,False,NaT,,6,False
VER,1,Red Bull Racing,16,SOFT,7,False,0 days 00:01:19.202000,79.202,6,False
VER,1,Red Bull Racing,17,SOFT,8,False,0 days 00:01:30.890000,90.89,6,False
VER,1,Red Bull Racing,18,SOFT,10,False,NaT,,7,False
VER,1,Red Bull Racing,19,SOFT,11,False,0 days 00:01:41.928000,101.928,7,False
VER,1,Red Bull Racing,20,SOFT,12,False,0 days 00:02:03.886000,123.886,7,False
SAR,2,Williams,1,MEDIUM,1,True,NaT,,1,False
SAR,2,Williams,2,MEDIUM,2,False,NaT,,2,False
SAR,2,Williams,3,MEDIUM,3,False,NaT,,3,False
SAR,2,Williams,4,MEDIUM,4,False,0 days 00:01:21.169000,81.169,3,True
SAR,2,Williams,5,MEDIUM,5,False,0 days 00:02:01.984000,121.984,3,False
SAR,2,Williams,6,MEDIUM,6,False,0 days 00:01:59.504000,119.504,3,False
SAR,2,Williams,7,MEDIUM,7,False,0 days 00:01:21.544000,81.544,3,False
SAR,2,Williams,8,MEDIUM,8,False,0 days 00:01:37.833000,97.833,3,False
SAR,2,Williams,9,SOFT,1,True,NaT,,4,False
SAR,2,Williams,10,SOFT,2,True,0 days 00:02:04.515000,124.515,4,False
SAR,2,Williams,11,SOFT,3,True,0 days 00:01:19.885000,79.885,4,True
SAR,2,Williams,12,SOFT,4,True,0 days 00:02:15.918000,135.918,4,False
SAR,2,Williams,13,SOFT,5,False,0 days 00:02:22.323000,142.323,5,False
SAR,2,Williams,14,SOFT,6,False,0 days 00:01:20.285000,80.285,5,False
SAR,2,Williams,15,SOFT,7,False,0 days 00:01:49.315000,109.315,5,False
SAR,2,Williams,16,SOFT,8,False,NaT,,6,False
SAR,2,Williams,17,SOFT,9,False,0 days 00:01:24.995000,84.995,6,False
SAR,2,Williams,18,SOFT,10,False,0 days 00:01:25.741000,85.741,6,False
SAR,2,Williams,19,SOFT,11,False,0 days 00:01:30.774000,90.774,6,False
SAR,2,Williams,20,SOFT,12,False,0 days 00:01:26.624000,86.624,6,False
SAR,2,Williams,21,SOFT,13,False,0 days 00:01:26.795000,86.795,6,False
SAR,2,Williams,22,SOFT,14,False,0 days 00:01:27.738000,87.738,6,False
SAR,2,Williams,23,SOFT,15,False,0 days 00:01:26.099000,86.099,6,False
SAR,2,Williams,24,SOFT,16,False,0 days 00:01:26.791000,86.791,6,False
SAR,2,Williams,25,SOFT,17,False,0 days 00:02:25.301000,145.301,6,False
SAR,2,Williams,26,SOFT,18,False,0 days 00:01:54.693000,114.693,6,False
RIC,3,RB,1,MEDIUM,1,True,NaT,,1,False
RIC,3,RB,2,MEDIUM,2,True,0 days 00:01:21.301000,81.301,1,True
RIC,3,RB,3,MEDIUM,3,True,0 days 00:02:26.895000,146.895,1,False
RIC,3,RB,4,MEDIUM,4,True,0 days 00:02:02.684000,122.684,1,False
RIC,3,RB,5,MEDIUM,5,True,0 days 00:01:20.884000,80.884,1,True
RIC,3,RB,6,MEDIUM,6,True,0 days 00:02:04.404000,124.404,1,False
RIC,3,RB,7,MEDIUM,7,False,NaT,,2,False
RIC,3,RB,8,MEDIUM,8,False,0 days 00:01:20.771000,80.771,2,True
RIC,3,RB,9,MEDIUM,9,False,0 days 00:02:27.517000,147.517,2,False
RIC,3,RB,10,MEDIUM,10,False,0 days 00:02:11.414000,131.414,2,False
RIC,3,RB,11,MEDIUM,11,False,0 days 00:01:20.498000,80.498,2,True
RIC,3,RB,12,MEDIUM,12,False,0 days 00:01:32.710000,92.71,2,False
RIC,3,RB,13,SOFT,1,True,NaT,,3,False
RIC,3,RB,14,SOFT,2,True,0 days 00:01:19.578000,79.578,3,True
RIC,3,RB,15,SOFT,3,True,0 days 00:02:07.435000,127.435,3,False
RIC,3,RB,16,SOFT,4,False,NaT,,4,False
RIC,3,RB,17,SOFT,5,False,0 days 00:01:19.879000,79.879,4,False
RIC,3,RB,18,SOFT,6,False,0 days 00:01:34.516000,94.516,4,False
RIC,3,RB,19,MEDIUM,13,False,NaT,,5,False
RIC,3,RB,20,MEDIUM,14,False,0 days 00:01:25.208000,85.208,5,False
RIC,3,RB,21,MEDIUM,15,False,0 days 00:01:25.356000,85.356,5,False
RIC,3,RB,22,MEDIUM,16,False,0 days 00:01:25.544000,85.544,5,False
RIC,3,RB,23,MEDIUM,17,False,0 days 00:01:25.869000,85.869,5,False
RIC,3,RB,24,MEDIUM,18,False,0 days 00:01:26.421000,86.421,5,False
RIC,3,RB,25,MEDIUM,19,False,0 days 00:01:26.779000,86.779,5,False
RIC,3,RB,26,MEDIUM,20,False,0 days 00:02:10.839000,130.839,5,False
RIC,3,RB,27,MEDIUM,21,False,0 days 00:01:43.355000,103.355,5,False
NOR,4,McLaren,1,MEDIUM,1,True,NaT,,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:20.750000,80.75,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:02:00.596000,120.596,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:26.956000,86.956,1,False
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:02:01.641000,121.641,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:56.173000,116.173,1,False
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:20.288000,80.288,1,True
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:40.825000,100.825,1,False
NOR,4,McLaren,9,MEDIUM,9,False,0 days 00:01:49.265000,109.265,2,False
NOR,4,McLaren,10,MEDIUM,10,False,0 days 00:01:51.800000,111.8,3,False
NOR,4,McLaren,11,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,12,SOFT,2,True,0 days 00:01:19.211000,79.211,4,True
NOR,4,McLaren,13,SOFT,3,True,0 days 00:02:05.974000,125.974,4,False
NOR,4,McLaren,14,SOFT,4,False,NaT,,5,False
NOR,4,McLaren,15,SOFT,5,False,0 days 00:01:22.423000,82.423,5,False
NOR,4,McLaren,16,SOFT,6,False,0 days 00:01:30.630000,90.63,5,False
NOR,4,McLaren,17,MEDIUM,11,False,NaT,,6,False
NOR,4,McLaren,18,MEDIUM,12,False,0 days 00:01:24.903000,84.903,6,False
NOR,4,McLaren,19,MEDIUM,13,False,0 days 00:01:25.456000,85.456,6,False
NOR,4,McLaren,20,MEDIUM,14,False,0 days 00:01:25.536000,85.536,6,False
NOR,4,McLaren,21,MEDIUM,15,False,0 days 00:01:26.021000,86.021,6,False
NOR,4,McLaren,22,MEDIUM,16,False,0 days 00:01:25.798000,85.798,6,False
NOR,4,McLaren,23,MEDIUM,17,False,0 days 00:01:29.240000,89.24,6,False
NOR,4,McLaren,24,MEDIUM,18,False,0 days 00:01:24.944000,84.944,6,False
NOR,4,McLaren,25,MEDIUM,19,False,0 days 00:02:17.646000,137.646,6,False
NOR,4,McLaren,26,MEDIUM,20,False,0 days 00:01:39.432000,99.432,6,False
GAS,10,Alpine,1,MEDIUM,1,True,NaT,,1,False
GAS,10,Alpine,2,MEDIUM,2,True,0 days 00:01:22.088000,82.088,1,True
GAS,10,Alpine,3,MEDIUM,3,True,0 days 00:02:13.872000,133.872,1,False
GAS,10,Alpine,4,MEDIUM,4,True,0 days 00:01:21.157000,81.157,1,True
GAS,10,Alpine,5,MEDIUM,5,True,0 days 00:02:23.830000,143.83,1,False
GAS,10,Alpine,6,MEDIUM,6,True,0 days 00:01:53.355000,113.355,1,False
GAS,10,Alpine,7,MEDIUM,7,True,0 days 00:01:20.859000,80.859,1,True
GAS,10,Alpine,8,MEDIUM,8,True,0 days 00:02:16.153000,136.153,1,False
GAS,10,Alpine,9,MEDIUM,9,True,0 days 00:02:01.674000,121.674,1,False
GAS,10,Alpine,10,MEDIUM,10,True,0 days 00:01:34.262000,94.262,1,False
GAS,10,Alpine,11,SOFT,1,True,NaT,,2,False
GAS,10,Alpine,12,SOFT,2,True,0 days 00:01:19.976000,79.976,2,True
GAS,10,Alpine,13,SOFT,3,True,NaT,,2,False
GAS,10,Alpine,14,SOFT,4,True,NaT,,2,False
GAS,10,Alpine,15,SOFT,5,True,0 days 00:01:20.215000,80.215,2,False
GAS,10,Alpine,16,SOFT,6,True,0 days 00:01:48.196000,108.196,2,False
GAS,10,Alpine,17,MEDIUM,11,False,NaT,,3,False
GAS,10,Alpine,18,MEDIUM,12,False,0 days 00:01:25.824000,85.824,3,False
GAS,10,Alpine,19,MEDIUM,13,False,0 days 00:01:26.183000,86.183,3,False
GAS,10,Alpine,20,MEDIUM,14,False,0 days 00:01:26.240000,86.24,3,False
GAS,10,Alpine,21,MEDIUM,15,False,0 days 00:01:26.459000,86.459,3,False
GAS,10,Alpine,22,MEDIUM,16,False,0 days 00:01:26.738000,86.738,3,False
GAS,10,Alpine,23,MEDIUM,17,False,0 days 00:01:26.503000,86.503,3,False
GAS,10,Alpine,24,MEDIUM,18,False,0 days 00:01:26.625000,86.625,3,False
GAS,10,Alpine,25,MEDIUM,19,False,0 days 00:01:56.735000,116.735,3,False
GAS,10,Alpine,26,MEDIUM,20,False,0 days 00:01:50.307000,110.307,3,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:01:41.464000,101.464,1,False
PER,11,Red Bull Racing,3,SOFT,3,False,0 days 00:02:12.971000,132.971,2,False
PER,11,Red Bull Racing,4,SOFT,4,False,0 days 00:01:35.711000,95.711,2,False
PER,11,Red Bull Racing,5,SOFT,5,False,NaT,,3,False
PER,11,Red Bull Racing,6,SOFT,6,False,0 days 00:01:21.144000,81.144,3,True
PER,11,Red Bull Racing,7,SOFT,7,False,0 days 00:02:22.999000,142.999,3,False
PER,11,Red Bull Racing,8,SOFT,8,False,NaT,,3,False
PER,11,Red Bull Racing,9,SOFT,9,False,0 days 00:01:20.056000,80.056,3,True
PER,11,Red Bull Racing,10,SOFT,10,False,0 days 00:01:48.407000,108.407,3,False
PER,11,Red Bull Racing,11,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,12,SOFT,2,True,0 days 00:01:19.627000,79.627,4,True
PER,11,Red Bull Racing,13,SOFT,3,True,0 days 00:02:10.896000,130.896,4,False
