Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:17.755000,77.755,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:41.268000,101.268,1,False
NOR,4,McLaren,4,SOFT,4,True,0 days 00:01:17.995000,77.995,1,False
NOR,4,McLaren,5,SOFT,5,True,0 days 00:01:47.903000,107.903,1,False
NOR,4,McLaren,6,SOFT,6,True,0 days 00:01:17.898000,77.898,1,False
NOR,4,McLaren,7,SOFT,7,True,NaT,,1,False
NOR,4,McLaren,8,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,9,SOFT,2,True,0 days 00:01:24.845000,84.845,2,False
NOR,4,McLaren,10,SOFT,3,False,NaT,,3,False
NOR,4,McLaren,11,SOFT,4,False,0 days 00:01:16.253000,76.253,3,True
NOR,4,McLaren,12,SOFT,5,False,0 days 00:01:33.006000,93.006,3,False
NOR,4,McLaren,13,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,14,SOFT,2,True,0 days 00:01:15.540000,75.54,4,True
NOR,4,McLaren,15,SOFT,3,True,0 days 00:01:39.055000,99.055,4,False
NOR,4,McLaren,16,SOFT,1,True,NaT,,5,False
NOR,4,McLaren,17,SOFT,2,True,0 days 00:01:15.227000,75.227,5,True
NOR,4,McLaren,18,SOFT,3,True,0 days 00:01:37.625000,97.625,5,False
NOR,4,McLaren,19,SOFT,4,False,NaT,,6,False
NOR,4,McLaren,20,SOFT,5,False,NaT,,6,False
NOR,4,McLaren,21,SOFT,6,False,NaT,,7,False
NOR,4,McLaren,22,SOFT,7,False,0 days 00:01:29.357000,89.357,7,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:17.504000,77.504,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:50.420000,110.42,1,False
PIA,81,McLaren,4,SOFT,4,True,0 days 00:01:17.681000,77.681,1,False
PIA,81,McLaren,5,SOFT,5,True,0 days 00:01:48.933000,108.933,1,False
PIA,81,McLaren,6,SOFT,6,True,0 days 00:01:17.826000,77.826,1,False
PIA,81,McLaren,7,SOFT,7,True,NaT,,1,False
PIA,81,McLaren,8,SOFT,1,True,NaT,,2,False
PIA,81,McLaren,9,SOFT,2,False,NaT,,3,False
PIA,81,McLaren,10,SOFT,3,False,0 days 00:01:15.785000,75.785,3,True
PIA,81,McLaren,11,SOFT,4,False,0 days 00:01:41.690000,101.69,3,False
PIA,81,McLaren,12,SOFT,5,False,NaT,,4,False
PIA,81,McLaren,13,SOFT,6,False,0 days 00:01:26.325000,86.325,4,False
PIA,81,McLaren,14,SOFT,1,True,NaT,,5,False
PIA,81,McLaren,15,SOFT,2,True,0 days 00:01:15.863000,75.863,5,True
PIA,81,McLaren,16,SOFT,3,True,0 days 00:01:37.013000,97.013,5,False
PIA,81,McLaren,17,SOFT,1,True,NaT,,6,False
PIA,81,McLaren,18,SOFT,2,True,0 days 00:01:15.249000,75.249,6,True
PIA,81,McLaren,19,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,20,SOFT,4,False,NaT,,7,False
PIA,81,McLaren,21,SOFT,5,False,0 days 00:01:28.068000,88.068,7,False
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:17.771000,77.771,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:41.946000,101.946,1,False
VER,1,Red Bull Racing,4,SOFT,4,True,0 days 00:01:17.287000,77.287,1,True
VER,1,Red Bull Racing,5,SOFT,5,True,0 days 00:01:44.904000,104.904,1,False
VER,1,Red Bull Racing,6,SOFT,6,True,NaT,,1,False
VER,1,Red Bull Racing,7,SOFT,7,False,NaT,,2,False
VER,1,Red Bull Racing,8,SOFT,8,False,0 days 00:01:17.087000,77.087,2,True
VER,1,Red Bull Racing,9,SOFT,9,False,0 days 00:01:37.629000,97.629,2,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:15.770000,75.77,3,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:01:55.003000,115.003,3,False
VER,1,Red Bull Racing,13,SOFT,4,False,NaT,,4,False
VER,1,Red Bull Racing,14,SOFT,5,False,0 days 00:01:15.790000,75.79,4,False
VER,1,Red Bull Racing,15,SOFT,6,False,0 days 00:01:37.619000,97.619,4,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:15.555000,75.555,5,True
VER,1,Red Bull Racing,18,SOFT,3,True,0 days 00:01:38.743000,98.743,5,False
VER,1,Red Bull Racing,19,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,20,SOFT,2,True,0 days 00:01:15.273000,75.273,6,True
VER,1,Red Bull Racing,21,SOFT,3,True,NaT,,6,False
SAI,55,Ferrari,1,SOFT,1,True,NaT,,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:01:17.244000,77.244,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:01:49.159000,109.159,1,False
SAI,55,Ferrari,4,SOFT,4,True,0 days 00:01:45.670000,105.67,1,False
SAI,55,Ferrari,5,SOFT,5,True,0 days 00:01:36.553000,96.553,1,False
SAI,55,Ferrari,6,SOFT,6,True,NaT,,1,False
SAI,55,Ferrari,7,SOFT,7,False,NaT,,2,False
SAI,55,Ferrari,8,SOFT,8,False,0 days 00:01:37.159000,97.159,2,False
SAI,55,Ferrari,9,SOFT,9,False,0 days 00:01:18.265000,78.265,2,False
SAI,55,Ferrari,10,SOFT,10,False,0 days 00:01:46.004000,106.004,2,False
SAI,55,Ferrari,11,SOFT,11,False,NaT,,3,False
SAI,55,Ferrari,12,SOFT,12,False,0 days 00:01:17.028000,77.028,3,True
SAI,55,Ferrari,13,SOFT,13,False,0 days 00:01:42.688000,102.688,3,False
SAI,55,Ferrari,14,SOFT,1,True,0 days 00:02:22.432000,142.432,4,False
SAI,55,Ferrari,15,SOFT,2,True,0 days 00:01:15.885000,75.885,4,True
SAI,55,Ferrari,16,SOFT,3,True,0 days 00:01:36.831000,96.831,4,False
SAI,55,Ferrari,17,SOFT,4,False,NaT,,5,False
SAI,55,Ferrari,18,SOFT,5,False,0 days 00:01:17.026000,77.026,5,False
SAI,55,Ferrari,19,SOFT,6,False,0 days 00:01:38.852000,98.852,5,False
SAI,55,Ferrari,20,SOFT,1,True,NaT,,6,False
SAI,55,Ferrari,21,SOFT,2,True,0 days 00:01:16.204000,76.204,6,True
SAI,55,Ferrari,22,SOFT,3,True,0 days 00:01:30.027000,90.027,6,False
SAI,55,Ferrari,23,SOFT,1,True,NaT,,7,False
SAI,55,Ferrari,24,SOFT,2,True,0 days 00:01:15.696000,75.696,7,True
SAI,55,Ferrari,25,SOFT,3,True,NaT,,7,False
SAI,55,Ferrari,26,SOFT,4,False,NaT,,8,False
HAM,44,Mercedes,1,SOFT,1,True,NaT,,1,False
HAM,44,Mercedes,2,SOFT,2,True,0 days 00:01:17.087000,77.087,1,True
HAM,44,Mercedes,3,SOFT,3,True,0 days 00:01:41.781000,101.781,1,False
HAM,44,Mercedes,4,SOFT,4,True,0 days 00:01:17.228000,77.228,1,False
HAM,44,Mercedes,5,SOFT,5,True,0 days 00:01:37.213000,97.213,1,False
HAM,44,Mercedes,6,SOFT,6,False,NaT,,2,False
HAM,44,Mercedes,7,SOFT,7,False,0 days 00:01:50.001000,110.001,2,False
HAM,44,Mercedes,8,SOFT,8,False,0 days 00:01:17.178000,77.178,2,False
HAM,44,Mercedes,9,SOFT,9,False,0 days 00:01:38.249000,98.249,2,False
HAM,44,Mercedes,10,SOFT,10,False,NaT,,3,False
HAM,44,Mercedes,11,SOFT,11,False,0 days 00:01:16.544000,76.544,3,True
HAM,44,Mercedes,12,SOFT,12,False,0 days 00:01:32.382000,92.382,3,False
HAM,44,Mercedes,13,SOFT,1,True,NaT,,4,False
HAM,44,Mercedes,14,SOFT,2,True,0 days 00:01:16.307000,76.307,4,True
HAM,44,Mercedes,15,SOFT,3,True,0 days 00:01:36.282000,96.282,4,False
HAM,44,Mercedes,16,SOFT,1,True,NaT,,5,False
HAM,44,Mercedes,17,SOFT,2,True,0 days 00:01:15.919000,75.919,5,True
HAM,44,Mercedes,18,SOFT,3,True,0 days 00:01:30.536000,90.536,5,False
HAM,44,Mercedes,19,SOFT,1,True,NaT,,6,False
HAM,44,Mercedes,20,SOFT,2,True,0 days 00:01:15.854000,75.854,6,True
HAM,44,Mercedes,21,SOFT,3,True,NaT,,6,False
HAM,44,Mercedes,22,SOFT,4,False,NaT,,7,False
HAM,44,Mercedes,23,SOFT,5,False,0 days 00:01:16.276000,76.276,7,False
HAM,44,Mercedes,24,SOFT,6,False,NaT,,7,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:18.761000,78.761,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:01:44.390000,104.39,1,False
LEC,16,Ferrari,4,SOFT,4,True,0 days 00:01:17.910000,77.91,1,True
LEC,16,Ferrari,5,SOFT,5,True,0 days 00:01:43.841000,103.841,1,False
LEC,16,Ferrari,6,SOFT,6,True,0 days 00:01:17.777000,77.777,1,True
LEC,16,Ferrari,7,SOFT,7,True,NaT,,1,False
LEC,16,Ferrari,8,SOFT,8,False,NaT,,2,False
LEC,16,Ferrari,9,SOFT,9,False,0 days 00:01:17.437000,77.437,2,True
LEC,16,Ferrari,10,SOFT,10,False,0 days 00:01:42.403000,102.403,2,False
LEC,16,Ferrari,11,SOFT,1,True,NaT,,3,False
LEC,16,Ferrari,12,SOFT,2,True,0 days 00:01:16.370000,76.37,3,True
LEC,16,Ferrari,13,SOFT,3,True,0 days 00:01:33.567000,93.567,3,False
LEC,16,Ferrari,14,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,15,SOFT,2,True,0 days 00:01:15.891000,75.891,4,True
LEC,16,Ferrari,16,SOFT,3,True,0 days 00:01:47.555000,107.555,4,False
LEC,16,Ferrari,17,SOFT,1,True,NaT,,5,False
LEC,16,Ferrari,18,SOFT,2,True,0 days 00:01:15.905000,75.905,5,True
LEC,16,Ferrari,19,SOFT,3,True,0 days 00:01:37.737000,97.737,5,False
LEC,16,Ferrari,20,SOFT,4,False,NaT,,6,False
LEC,16,Ferrari,21,SOFT,5,False,NaT,,7,False
LEC,16,Ferrari,22,SOFT,6,False,NaT,,7,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:18.282000,78.282,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:01:55.360000,115.36,1,False
ALO,14,Aston Martin,4,SOFT,4,True,0 days 00:01:17.624000,77.624,1,True
ALO,14,Aston Martin,5,SOFT,5,True,0 days 00:01:50.441000,110.441,1,False
ALO,14,Aston Martin,6,SOFT,6,True,0 days 00:01:37.091000,97.091,1,False
ALO,14,Aston Martin,7,SOFT,1,True,NaT,,2,False
ALO,14,Aston Martin,8,SOFT,1,True,NaT,,3,False
ALO,14,Aston Martin,9,SOFT,2,True,0 days 00:01:16.165000,76.165,3,True
ALO,14,Aston Martin,10,SOFT,3,True,0 days 00:01:36.771000,96.771,3,False
ALO,14,Aston Martin,11,SOFT,1,True,NaT,,4,False
ALO,14,Aston Martin,12,SOFT,2,True,0 days 00:01:16.117000,76.117,4,True
