Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
PIA,81,McLaren,1,MEDIUM,1,True,0 days 00:01:26.746000,86.746,1,False
PIA,81,McLaren,2,MEDIUM,2,True,0 days 00:01:24.038000,84.038,1,True
PIA,81,McLaren,3,MEDIUM,3,True,0 days 00:01:24.401000,84.401,1,False
PIA,81,McLaren,4,MEDIUM,4,True,0 days 00:01:24.115000,84.115,1,False
PIA,81,McLaren,5,MEDIUM,5,True,0 days 00:01:23.796000,83.796,1,True
PIA,81,McLaren,6,MEDIUM,6,True,0 days 00:01:23.846000,83.846,1,False
PIA,81,McLaren,7,MEDIUM,7,True,0 days 00:01:24.110000,84.11,1,False
PIA,81,McLaren,8,MEDIUM,8,True,0 days 00:01:23.892000,83.892,1,False
PIA,81,McLaren,9,MEDIUM,9,True,0 days 00:01:24.206000,84.206,1,False
PIA,81,McLaren,10,MEDIUM,10,True,0 days 00:01:24.257000,84.257,1,False
PIA,81,McLaren,11,MEDIUM,11,True,0 days 00:01:24.062000,84.062,1,False
PIA,81,McLaren,12,MEDIUM,12,True,0 days 00:01:23.893000,83.893,1,False
PIA,81,McLaren,13,MEDIUM,13,True,0 days 00:01:23.887000,83.887,1,False
PIA,81,McLaren,14,MEDIUM,14,True,0 days 00:01:24.683000,84.683,1,False
PIA,81,McLaren,15,MEDIUM,15,True,0 days 00:01:24.299000,84.299,1,False
PIA,81,McLaren,16,MEDIUM,16,True,0 days 00:01:24.237000,84.237,1,False
PIA,81,McLaren,17,MEDIUM,17,True,0 days 00:01:24.248000,84.248,1,False
PIA,81,McLaren,18,MEDIUM,18,True,0 days 00:01:26.496000,86.496,1,False
PIA,81,McLaren,19,HARD,2,False,0 days 00:01:42.479000,102.479,2,False
PIA,81,McLaren,20,HARD,3,False,0 days 00:01:23.603000,83.603,2,True
PIA,81,McLaren,21,HARD,4,False,0 days 00:01:23.474000,83.474,2,True
PIA,81,McLaren,22,HARD,5,False,0 days 00:01:23.267000,83.267,2,True
PIA,81,McLaren,23,HARD,6,False,0 days 00:01:23.102000,83.102,2,True
PIA,81,McLaren,24,HARD,7,False,0 days 00:01:23.095000,83.095,2,True
PIA,81,McLaren,25,HARD,8,False,0 days 00:01:22.962000,82.962,2,True
PIA,81,McLaren,26,HARD,9,False,0 days 00:01:22.654000,82.654,2,True
PIA,81,McLaren,27,HARD,10,False,0 days 00:01:22.747000,82.747,2,False
PIA,81,McLaren,28,HARD,11,False,0 days 00:01:22.790000,82.79,2,False
PIA,81,McLaren,29,HARD,12,False,0 days 00:01:22.704000,82.704,2,False
PIA,81,McLaren,30,HARD,13,False,0 days 00:01:23.041000,83.041,2,False
PIA,81,McLaren,31,HARD,14,False,0 days 00:01:23.172000,83.172,2,False
PIA,81,McLaren,32,HARD,15,False,0 days 00:01:23.397000,83.397,2,False
PIA,81,McLaren,33,HARD,16,False,0 days 00:01:25.863000,85.863,2,False
PIA,81,McLaren,34,HARD,17,False,0 days 00:01:24.729000,84.729,2,False
PIA,81,McLaren,35,HARD,18,False,0 days 00:01:24.557000,84.557,2,False
PIA,81,McLaren,36,HARD,19,False,0 days 00:01:24.193000,84.193,2,False
PIA,81,McLaren,37,HARD,20,False,0 days 00:01:24.384000,84.384,2,False
PIA,81,McLaren,38,HARD,21,False,0 days 00:01:24.171000,84.171,2,False
PIA,81,McLaren,39,HARD,22,False,0 days 00:01:24.240000,84.24,2,False
PIA,81,McLaren,40,HARD,23,False,0 days 00:01:23.760000,83.76,2,False
PIA,81,McLaren,41,HARD,24,False,0 days 00:01:23.950000,83.95,2,False
PIA,81,McLaren,42,HARD,25,False,0 days 00:01:24.071000,84.071,2,False
PIA,81,McLaren,43,HARD,26,False,0 days 00:01:24.200000,84.2,2,False
PIA,81,McLaren,44,HARD,27,False,0 days 00:01:24.033000,84.033,2,False
PIA,81,McLaren,45,HARD,28,False,0 days 00:01:24.104000,84.104,2,False
PIA,81,McLaren,46,HARD,29,False,0 days 00:01:24.211000,84.211,2,False
PIA,81,McLaren,47,HARD,30,False,0 days 00:01:26.252000,86.252,2,False
PIA,81,McLaren,48,MEDIUM,2,False,0 days 00:01:41.384000,101.384,3,False
PIA,81,McLaren,49,MEDIUM,3,False,0 days 00:01:22.390000,82.39,3,True
PIA,81,McLaren,50,MEDIUM,4,False,0 days 00:01:21.863000,81.863,3,True
PIA,81,McLaren,51,MEDIUM,5,False,0 days 00:01:21.716000,81.716,3,True
PIA,81,McLaren,52,MEDIUM,6,False,0 days 00:01:21.861000,81.861,3,False
PIA,81,McLaren,53,MEDIUM,7,False,0 days 00:01:22.367000,82.367,3,False
PIA,81,McLaren,54,MEDIUM,8,False,0 days 00:01:22.161000,82.161,3,False
PIA,81,McLaren,55,MEDIUM,9,False,0 days 00:01:21.858000,81.858,3,False
PIA,81,McLaren,56,MEDIUM,10,False,0 days 00:01:22.191000,82.191,3,False
PIA,81,McLaren,57,MEDIUM,11,False,0 days 00:01:22.505000,82.505,3,False
PIA,81,McLaren,58,MEDIUM,12,False,0 days 00:01:22.431000,82.431,3,False
PIA,81,McLaren,59,MEDIUM,13,False,0 days 00:01:22.008000,82.008,3,False
PIA,81,McLaren,60,MEDIUM,14,False,0 days 00:01:22.542000,82.542,3,False
PIA,81,McLaren,61,MEDIUM,15,False,0 days 00:01:22.060000,82.06,3,False
PIA,81,McLaren,62,MEDIUM,16,False,0 days 00:01:22.157000,82.157,3,False
PIA,81,McLaren,63,MEDIUM,17,False,0 days 00:01:22.459000,82.459,3,False
PIA,81,McLaren,64,MEDIUM,18,False,0 days 00:01:23.060000,83.06,3,False
PIA,81,McLaren,65,MEDIUM,19,False,0 days 00:01:22.771000,82.771,3,False
PIA,81,McLaren,66,MEDIUM,20,False,0 days 00:01:22.645000,82.645,3,False
PIA,81,McLaren,67,MEDIUM,21,False,0 days 00:01:22.620000,82.62,3,False
PIA,81,McLaren,68,MEDIUM,22,False,0 days 00:01:22.999000,82.999,3,False
PIA,81,McLaren,69,MEDIUM,23,False,0 days 00:01:22.597000,82.597,3,False
PIA,81,McLaren,70,MEDIUM,24,False,0 days 00:01:22.927000,82.927,3,False
NOR,4,McLaren,1,MEDIUM,1,True,0 days 00:01:29.389000,89.389,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:24.240000,84.24,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:24.393000,84.393,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:23.627000,83.627,1,True
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:01:23.804000,83.804,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:24.045000,84.045,1,False
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:24.085000,84.085,1,False
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:24.027000,84.027,1,False
NOR,4,McLaren,9,MEDIUM,9,True,0 days 00:01:24.225000,84.225,1,False
NOR,4,McLaren,10,MEDIUM,10,True,0 days 00:01:24.508000,84.508,1,False
NOR,4,McLaren,11,MEDIUM,11,True,0 days 00:01:24.245000,84.245,1,False
NOR,4,McLaren,12,MEDIUM,12,True,0 days 00:01:24.042000,84.042,1,False
NOR,4,McLaren,13,MEDIUM,13,True,0 days 00:01:24.343000,84.343,1,False
NOR,4,McLaren,14,MEDIUM,14,True,0 days 00:01:24.367000,84.367,1,False
NOR,4,McLaren,15,MEDIUM,15,True,0 days 00:01:24.334000,84.334,1,False
NOR,4,McLaren,16,MEDIUM,16,True,0 days 00:01:24.296000,84.296,1,False
NOR,4,McLaren,17,MEDIUM,17,True,0 days 00:01:26.485000,86.485,1,False
NOR,4,McLaren,18,HARD,2,False,0 days 00:01:41.807000,101.807,2,False
NOR,4,McLaren,19,HARD,3,False,0 days 00:01:23.779000,83.779,2,False
NOR,4,McLaren,20,HARD,4,False,0 days 00:01:23.455000,83.455,2,True
NOR,4,McLaren,21,HARD,5,False,0 days 00:01:23.663000,83.663,2,False
NOR,4,McLaren,22,HARD,6,False,0 days 00:01:23.514000,83.514,2,False
NOR,4,McLaren,23,HARD,7,False,0 days 00:01:23.419000,83.419,2,True
NOR,4,McLaren,24,HARD,8,False,0 days 00:01:23.354000,83.354,2,True
NOR,4,McLaren,25,HARD,9,False,0 days 00:01:23.064000,83.064,2,True
NOR,4,McLaren,26,HARD,10,False,0 days 00:01:23.013000,83.013,2,True
NOR,4,McLaren,27,HARD,11,False,0 days 00:01:22.872000,82.872,2,True
NOR,4,McLaren,28,HARD,12,False,0 days 00:01:22.861000,82.861,2,True
NOR,4,McLaren,29,HARD,13,False,0 days 00:01:22.820000,82.82,2,True
NOR,4,McLaren,30,HARD,14,False,0 days 00:01:23.323000,83.323,2,False
NOR,4,McLaren,31,HARD,15,False,0 days 00:01:23.247000,83.247,2,False
NOR,4,McLaren,32,HARD,16,False,0 days 00:01:23.456000,83.456,2,False
NOR,4,McLaren,33,HARD,17,False,0 days 00:01:23.992000,83.992,2,False
NOR,4,McLaren,34,HARD,18,False,0 days 00:01:24.154000,84.154,2,False
NOR,4,McLaren,35,HARD,19,False,0 days 00:01:24.200000,84.2,2,False
NOR,4,McLaren,36,HARD,20,False,0 days 00:01:24.096000,84.096,2,False
NOR,4,McLaren,37,HARD,21,False,0 days 00:01:24.254000,84.254,2,False
NOR,4,McLaren,38,HARD,22,False,0 days 00:01:24.154000,84.154,2,False
NOR,4,McLaren,39,HARD,23,False,0 days 00:01:24.186000,84.186,2,False
NOR,4,McLaren,40,HARD,24,False,0 days 00:01:24.080000,84.08,2,False
NOR,4,McLaren,41,HARD,25,False,0 days 00:01:24.189000,84.189,2,False
