Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,HARD,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,HARD,2,True,0 days 00:01:44.706000,104.706,1,True
VER,1,Red Bull Racing,3,HARD,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,HARD,4,True,0 days 00:01:44.550000,104.55,1,True
VER,1,Red Bull Racing,5,HARD,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,HARD,6,True,0 days 00:01:44.524000,104.524,1,True
VER,1,Red Bull Racing,7,HARD,7,True,0 days 00:02:16.887000,136.887,1,False
VER,1,Red Bull Racing,8,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,9,SOFT,2,True,0 days 00:01:43.372000,103.372,2,True
VER,1,Red Bull Racing,10,SOFT,3,True,NaT,,2,False
VER,1,Red Bull Racing,11,SOFT,4,False,NaT,,3,False
VER,1,Red Bull Racing,12,SOFT,5,False,0 days 00:01:49.404000,109.404,3,False
VER,1,Red Bull Racing,13,SOFT,6,False,0 days 00:01:49.587000,109.587,3,False
VER,1,Red Bull Racing,14,SOFT,7,False,0 days 00:01:49.498000,109.498,3,False
VER,1,Red Bull Racing,15,SOFT,8,False,0 days 00:01:50.304000,110.304,3,False
VER,1,Red Bull Racing,16,SOFT,9,False,0 days 00:01:49.856000,109.856,3,False
VER,1,Red Bull Racing,17,SOFT,10,False,0 days 00:01:50.383000,110.383,3,False
VER,1,Red Bull Racing,18,SOFT,11,False,0 days 00:01:55.709000,115.709,3,False
VER,1,Red Bull Racing,19,HARD,8,False,0 days 00:02:08.903000,128.903,4,False
VER,1,Red Bull Racing,20,HARD,9,False,0 days 00:01:48.502000,108.502,4,False
VER,1,Red Bull Racing,21,HARD,10,False,0 days 00:01:48.977000,108.977,4,False
VER,1,Red Bull Racing,22,HARD,11,False,0 days 00:01:48.895000,108.895,4,False
VER,1,Red Bull Racing,23,HARD,12,False,NaT,,4,False
SAR,2,Williams,1,HARD,1,True,NaT,,1,False
SAR,2,Williams,2,HARD,2,True,0 days 00:01:47.752000,107.752,1,True
SAR,2,Williams,3,HARD,3,True,0 days 00:01:47.245000,107.245,1,True
SAR,2,Williams,4,HARD,4,True,NaT,,1,False
SAR,2,Williams,5,HARD,5,True,0 days 00:01:48.571000,108.571,1,False
SAR,2,Williams,6,HARD,6,True,0 days 00:02:27.186000,147.186,1,False
SAR,2,Williams,7,SOFT,1,True,NaT,,2,False
SAR,2,Williams,8,SOFT,2,True,0 days 00:01:45.311000,105.311,2,True
SAR,2,Williams,9,SOFT,3,True,NaT,,2,False
SAR,2,Williams,10,SOFT,4,True,0 days 00:01:55.100000,115.1,2,False
SAR,2,Williams,11,SOFT,5,False,NaT,,3,False
SAR,2,Williams,12,SOFT,6,False,0 days 00:01:50.228000,110.228,3,False
SAR,2,Williams,13,SOFT,7,False,0 days 00:01:50.216000,110.216,3,False
SAR,2,Williams,14,SOFT,8,False,0 days 00:01:50.956000,110.956,3,False
SAR,2,Williams,15,SOFT,9,False,0 days 00:01:50.895000,110.895,3,False
SAR,2,Williams,16,SOFT,10,False,0 days 00:01:50.959000,110.959,3,False
SAR,2,Williams,17,SOFT,11,False,0 days 00:01:51.413000,111.413,3,False
SAR,2,Williams,18,SOFT,12,False,0 days 00:01:51.405000,111.405,3,False
SAR,2,Williams,19,SOFT,13,False,NaT,,3,False
SAR,2,Williams,20,SOFT,14,False,NaT,,3,False
RIC,3,RB,1,HARD,1,True,NaT,,1,False
RIC,3,RB,2,HARD,2,True,0 days 00:02:28.737000,148.737,1,True
