Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,INTERMEDIATE,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,INTERMEDIATE,2,True,0 days 00:01:56.003000,116.003,1,True
VER,1,Red Bull Racing,3,INTERMEDIATE,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,INTERMEDIATE,4,True,0 days 00:02:23.426000,143.426,1,False
VER,1,Red Bull Racing,5,INTERMEDIATE,5,True,0 days 00:01:54.938000,114.938,1,True
VER,1,Red Bull Racing,6,INTERMEDIATE,6,True,NaT,,1,False
VER,1,Red Bull Racing,7,INTERMEDIATE,7,True,0 days 00:02:05.845000,125.845,1,False
VER,1,Red Bull Racing,8,INTERMEDIATE,8,True,0 days 00:02:14.721000,134.721,1,False
VER,1,Red Bull Racing,9,INTERMEDIATE,1,True,NaT,,2,False
VER,1,Red Bull Racing,10,INTERMEDIATE,2,True,0 days 00:01:53.857000,113.857,2,True
VER,1,Red Bull Racing,11,INTERMEDIATE,3,True,NaT,,2,False
VER,1,Red Bull Racing,12,INTERMEDIATE,4,True,0 days 00:01:53.837000,113.837,2,True
VER,1,Red Bull Racing,13,INTERMEDIATE,5,True,NaT,,2,False
VER,1,Red Bull Racing,14,INTERMEDIATE,6,True,0 days 00:01:54.515000,114.515,2,False
VER,1,Red Bull Racing,15,INTERMEDIATE,7,True,0 days 00:02:16.887000,136.887,2,False
VER,1,Red Bull Racing,16,INTERMEDIATE,1,True,NaT,,3,False
VER,1,Red Bull Racing,17,INTERMEDIATE,2,True,0 days 00:01:53.159000,113.159,3,True
VER,1,Red Bull Racing,18,INTERMEDIATE,3,True,0 days 00:02:07.381000,127.381,3,False
VER,1,Red Bull Racing,19,INTERMEDIATE,1,True,NaT,,4,False
VER,1,Red Bull Racing,20,INTERMEDIATE,2,True,0 days 00:01:53.201000,113.201,4,False
VER,1,Red Bull Racing,21,INTERMEDIATE,3,True,NaT,,4,False
LEC,16,Ferrari,1,INTERMEDIATE,1,True,NaT,,1,False
LEC,16,Ferrari,2,INTERMEDIATE,2,True,0 days 00:01:57.698000,117.698,1,True
LEC,16,Ferrari,3,INTERMEDIATE,3,True,0 days 00:02:25.399000,145.399,1,False
LEC,16,Ferrari,4,INTERMEDIATE,4,True,0 days 00:01:56.144000,116.144,1,True
LEC,16,Ferrari,5,INTERMEDIATE,5,True,NaT,,1,False
LEC,16,Ferrari,6,INTERMEDIATE,1,True,NaT,,2,False
LEC,16,Ferrari,7,INTERMEDIATE,2,True,0 days 00:01:55.349000,115.349,2,True
LEC,16,Ferrari,8,INTERMEDIATE,3,True,0 days 00:02:17.344000,137.344,2,False
LEC,16,Ferrari,9,INTERMEDIATE,4,False,NaT,,3,False
LEC,16,Ferrari,10,INTERMEDIATE,5,False,0 days 00:01:55.388000,115.388,3,True
LEC,16,Ferrari,11,INTERMEDIATE,6,False,0 days 00:02:11.416000,131.416,3,False
LEC,16,Ferrari,12,INTERMEDIATE,1,True,NaT,,4,False
LEC,16,Ferrari,13,INTERMEDIATE,2,True,0 days 00:01:54.587000,114.587,4,True
LEC,16,Ferrari,14,INTERMEDIATE,3,True,NaT,,4,False
LEC,16,Ferrari,15,INTERMEDIATE,4,True,0 days 00:01:54.193000,114.193,4,True
LEC,16,Ferrari,16,INTERMEDIATE,5,True,0 days 00:02:31.686000,151.686,4,False
LEC,16,Ferrari,17,INTERMEDIATE,6,False,NaT,,5,False
LEC,16,Ferrari,18,INTERMEDIATE,7,False,0 days 00:01:54.518000,114.518,5,True
LEC,16,Ferrari,19,INTERMEDIATE,8,False,0 days 00:02:08.550000,128.55,5,False
LEC,16,Ferrari,20,INTERMEDIATE,1,True,NaT,,6,False
LEC,16,Ferrari,21,INTERMEDIATE,2,True,0 days 00:01:53.754000,113.754,6,True
LEC,16,Ferrari,22,INTERMEDIATE,3,True,NaT,,6,False
PER,11,Red Bull Racing,1,INTERMEDIATE,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,INTERMEDIATE,2,True,0 days 00:01:58.080000,118.08,1,True
PER,11,Red Bull Racing,3,INTERMEDIATE,3,True,0 days 00:02:16.110000,136.11,1,False
PER,11,Red Bull Racing,4,INTERMEDIATE,4,True,0 days 00:01:56.656000,116.656,1,True
PER,11,Red Bull Racing,5,INTERMEDIATE,5,True,0 days 00:02:23.798000,143.798,1,False
PER,11,Red Bull Racing,6,INTERMEDIATE,6,True,0 days 00:02:03.320000,123.32,1,False
PER,11,Red Bull Racing,7,INTERMEDIATE,1,True,NaT,,2,False
PER,11,Red Bull Racing,8,INTERMEDIATE,2,True,0 days 00:01:55.139000,115.139,2,True
PER,11,Red Bull Racing,9,INTERMEDIATE,3,True,0 days 00:02:30.061000,150.061,2,False
PER,11,Red Bull Racing,10,INTERMEDIATE,1,True,NaT,,3,False
PER,11,Red Bull Racing,11,INTERMEDIATE,2,True,0 days 00:01:54.791000,114.791,3,True
PER,11,Red Bull Racing,12,INTERMEDIATE,3,True,0 days 00:02:23.044000,143.044,3,False
PER,11,Red Bull Racing,13,INTERMEDIATE,4,True,0 days 00:02:04.962000,124.962,3,False
PER,11,Red Bull Racing,14,INTERMEDIATE,1,True,0 days 00:02:28.467000,148.467,4,False
PER,11,Red Bull Racing,15,INTERMEDIATE,2,True,0 days 00:01:54.470000,114.47,4,True
PER,11,Red Bull Racing,16,INTERMEDIATE,3,True,0 days 00:02:38.105000,158.105,4,False
PER,11,Red Bull Racing,17,INTERMEDIATE,4,False,NaT,,5,False
PER,11,Red Bull Racing,18,INTERMEDIATE,5,False,0 days 00:01:53.765000,113.765,5,True
PER,11,Red Bull Racing,19,INTERMEDIATE,6,False,0 days 00:02:12.392000,132.392,5,False
PER,11,Red Bull Racing,20,INTERMEDIATE,5,False,NaT,,6,False
PER,11,Red Bull Racing,21,INTERMEDIATE,6,False,0 days 00:02:15.860000,135.86,6,False
HAM,44,Mercedes,1,INTERMEDIATE,1,True,NaT,,1,False
HAM,44,Mercedes,2,INTERMEDIATE,2,True,0 days 00:01:57.465000,117.465,1,True
HAM,44,Mercedes,3,INTERMEDIATE,3,True,0 days 00:01:57.068000,117.068,1,True
HAM,44,Mercedes,4,INTERMEDIATE,4,True,NaT,,1,False
HAM,44,Mercedes,5,INTERMEDIATE,5,True,0 days 00:01:55.692000,115.692,1,True
