Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
HAM,44,Mercedes,1,MEDIUM,1,True,0 days 00:01:52.700000,112.7,1,False
HAM,44,Mercedes,2,MEDIUM,2,True,0 days 00:01:49.849000,109.849,1,True
HAM,44,Mercedes,3,MEDIUM,3,True,0 days 00:01:49.109000,109.109,1,True
HAM,44,Mercedes,4,MEDIUM,4,True,0 days 00:01:49.808000,109.808,1,False
HAM,44,Mercedes,5,MEDIUM,5,True,0 days 00:01:49.376000,109.376,1,False
HAM,44,Mercedes,6,MEDIUM,6,True,0 days 00:01:49.400000,109.4,1,False
HAM,44,Mercedes,7,MEDIUM,7,True,0 days 00:01:49.357000,109.357,1,False
HAM,44,Mercedes,8,MEDIUM,8,True,0 days 00:01:49.666000,109.666,1,False
HAM,44,Mercedes,9,MEDIUM,9,True,0 days 00:01:49.704000,109.704,1,False
HAM,44,Mercedes,10,MEDIUM,10,True,0 days 00:01:49.951000,109.951,1,False
HAM,44,Mercedes,11,MEDIUM,11,True,0 days 00:01:54.328000,114.328,1,False
HAM,44,Mercedes,12,HARD,1,True,0 days 00:02:04.792000,124.792,2,False
HAM,44,Mercedes,13,HARD,2,True,0 days 00:01:48.204000,108.204,2,True
HAM,44,Mercedes,14,HARD,3,True,0 days 00:01:48.124000,108.124,2,True
HAM,44,Mercedes,15,HARD,4,True,0 days 00:01:48.150000,108.15,2,False
HAM,44,Mercedes,16,HARD,5,True,0 days 00:01:47.973000,107.973,2,True
HAM,44,Mercedes,17,HARD,6,True,0 days 00:01:47.957000,107.957,2,True
HAM,44,Mercedes,18,HARD,7,True,0 days 00:01:47.910000,107.91,2,True
HAM,44,Mercedes,19,HARD,8,True,0 days 00:01:48.040000,108.04,2,False
HAM,44,Mercedes,20,HARD,9,True,0 days 00:01:48.237000,108.237,2,False
HAM,44,Mercedes,21,HARD,10,True,0 days 00:01:48.396000,108.396,2,False
HAM,44,Mercedes,22,HARD,11,True,0 days 00:01:48.368000,108.368,2,False
HAM,44,Mercedes,23,HARD,12,True,0 days 00:01:48.338000,108.338,2,False
HAM,44,Mercedes,24,HARD,13,True,0 days 00:01:48.028000,108.028,2,False
HAM,44,Mercedes,25,HARD,14,True,0 days 00:01:47.845000,107.845,2,True
HAM,44,Mercedes,26,HARD,15,True,0 days 00:01:52.047000,112.047,2,False
HAM,44,Mercedes,27,HARD,1,True,0 days 00:02:01.300000,121.3,3,False
HAM,44,Mercedes,28,HARD,2,True,0 days 00:01:47.396000,107.396,3,True
HAM,44,Mercedes,29,HARD,3,True,0 days 00:01:47.429000,107.429,3,False
HAM,44,Mercedes,30,HARD,4,True,0 days 00:01:47.031000,107.031,3,True
HAM,44,Mercedes,31,HARD,5,True,0 days 00:01:47.182000,107.182,3,False
HAM,44,Mercedes,32,HARD,6,True,0 days 00:01:47.003000,107.003,3,True
HAM,44,Mercedes,33,HARD,7,True,0 days 00:01:46.653000,106.653,3,True
HAM,44,Mercedes,34,HARD,8,True,0 days 00:01:46.856000,106.856,3,False
HAM,44,Mercedes,35,HARD,9,True,0 days 00:01:46.729000,106.729,3,False
HAM,44,Mercedes,36,HARD,10,True,0 days 00:01:46.931000,106.931,3,False
HAM,44,Mercedes,37,HARD,11,True,0 days 00:01:47.042000,107.042,3,False
HAM,44,Mercedes,38,HARD,12,True,0 days 00:01:46.747000,106.747,3,False
HAM,44,Mercedes,39,HARD,13,True,0 days 00:01:47.054000,107.054,3,False
HAM,44,Mercedes,40,HARD,14,True,0 days 00:01:47.125000,107.125,3,False
HAM,44,Mercedes,41,HARD,15,True,0 days 00:01:47.622000,107.622,3,False
HAM,44,Mercedes,42,HARD,16,True,0 days 00:01:47.387000,107.387,3,False
HAM,44,Mercedes,43,HARD,17,True,0 days 00:01:47.388000,107.388,3,False
HAM,44,Mercedes,44,HARD,18,True,0 days 00:01:47.034000,107.034,3,False
PIA,81,McLaren,1,MEDIUM,1,True,0 days 00:01:54.248000,114.248,1,False
PIA,81,McLaren,2,MEDIUM,2,True,0 days 00:01:50.164000,110.164,1,True
PIA,81,McLaren,3,MEDIUM,3,True,0 days 00:01:49.971000,109.971,1,True
PIA,81,McLaren,4,MEDIUM,4,True,0 days 00:01:49.847000,109.847,1,True
PIA,81,McLaren,5,MEDIUM,5,True,0 days 00:01:50.085000,110.085,1,False
PIA,81,McLaren,6,MEDIUM,6,True,0 days 00:01:49.963000,109.963,1,False
PIA,81,McLaren,7,MEDIUM,7,True,0 days 00:01:50.030000,110.03,1,False
PIA,81,McLaren,8,MEDIUM,8,True,0 days 00:01:50.062000,110.062,1,False
PIA,81,McLaren,9,MEDIUM,9,True,0 days 00:01:50.481000,110.481,1,False
PIA,81,McLaren,10,MEDIUM,10,True,0 days 00:01:50.045000,110.045,1,False
PIA,81,McLaren,11,MEDIUM,11,True,0 days 00:01:54.271000,114.271,1,False
PIA,81,McLaren,12,HARD,1,True,0 days 00:02:03.103000,123.103,2,False
PIA,81,McLaren,13,HARD,2,True,0 days 00:01:47.565000,107.565,2,True
PIA,81,McLaren,14,HARD,3,True,0 days 00:01:48.239000,108.239,2,False
PIA,81,McLaren,15,HARD,4,True,0 days 00:01:48.070000,108.07,2,False
PIA,81,McLaren,16,HARD,5,True,0 days 00:01:48.355000,108.355,2,False
PIA,81,McLaren,17,HARD,6,True,0 days 00:01:48.473000,108.473,2,False
PIA,81,McLaren,18,HARD,7,True,0 days 00:01:48.153000,108.153,2,False
PIA,81,McLaren,19,HARD,8,True,0 days 00:01:48.233000,108.233,2,False
PIA,81,McLaren,20,HARD,9,True,0 days 00:01:48.175000,108.175,2,False
PIA,81,McLaren,21,HARD,10,True,0 days 00:01:48.376000,108.376,2,False
PIA,81,McLaren,22,HARD,11,True,0 days 00:01:48.179000,108.179,2,False
PIA,81,McLaren,23,HARD,12,True,0 days 00:01:48.352000,108.352,2,False
PIA,81,McLaren,24,HARD,13,True,0 days 00:01:48.163000,108.163,2,False
PIA,81,McLaren,25,HARD,14,True,0 days 00:01:47.980000,107.98,2,False
PIA,81,McLaren,26,HARD,15,True,0 days 00:01:47.519000,107.519,2,True
PIA,81,McLaren,27,HARD,16,True,0 days 00:01:47.024000,107.024,2,True
PIA,81,McLaren,28,HARD,17,True,0 days 00:01:47.609000,107.609,2,False
