Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,INTERMEDIATE,5,False,NaT,,1,False
VER,1,Red Bull Racing,2,INTERMEDIATE,6,False,0 days 00:01:24.360000,84.36,1,True
VER,1,Red Bull Racing,3,INTERMEDIATE,7,False,NaT,,1,False
SAR,2,Williams,1,INTERMEDIATE,4,False,NaT,,1,False
SAR,2,Williams,2,INTERMEDIATE,5,False,0 days 00:01:25.278000,85.278,1,True
SAR,2,Williams,3,INTERMEDIATE,6,False,0 days 00:01:23.287000,83.287,1,True
SAR,2,Williams,4,INTERMEDIATE,7,False,NaT,,1,False
RIC,3,RB,1,WET,3,False,NaT,,1,False
RIC,3,RB,2,INTERMEDIATE,6,False,NaT,,2,False
RIC,3,RB,3,INTERMEDIATE,7,False,0 days 00:01:25.433000,85.433,2,True
RIC,3,RB,4,INTERMEDIATE,8,False,0 days 00:01:38.848000,98.848,2,False
RIC,3,RB,5,INTERMEDIATE,9,False,NaT,,2,False
RIC,3,RB,6,INTERMEDIATE,10,False,NaT,,3,False
RIC,3,RB,7,INTERMEDIATE,11,False,NaT,,3,False
NOR,4,McLaren,1,INTERMEDIATE,4,False,NaT,,1,False
NOR,4,McLaren,2,INTERMEDIATE,5,False,0 days 00:01:23.772000,83.772,1,True
NOR,4,McLaren,3,INTERMEDIATE,6,False,NaT,,1,False
NOR,4,McLaren,4,INTERMEDIATE,7,False,NaT,,2,False
NOR,4,McLaren,5,INTERMEDIATE,8,False,0 days 00:01:21.387000,81.387,2,True
NOR,4,McLaren,6,INTERMEDIATE,9,False,NaT,,2,False
GAS,10,Alpine,1,INTERMEDIATE,4,False,NaT,,1,False
GAS,10,Alpine,2,INTERMEDIATE,5,False,NaT,,1,False
GAS,10,Alpine,3,INTERMEDIATE,6,False,NaT,,2,False
GAS,10,Alpine,4,INTERMEDIATE,7,False,0 days 00:01:20.311000,80.311,2,True
GAS,10,Alpine,5,INTERMEDIATE,8,False,NaT,,2,False
PER,11,Red Bull Racing,1,INTERMEDIATE,3,False,NaT,,1,False
PER,11,Red Bull Racing,2,INTERMEDIATE,4,False,NaT,,1,False
ALO,14,Aston Martin,1,INTERMEDIATE,4,False,NaT,,1,False
ALO,14,Aston Martin,2,INTERMEDIATE,5,False,0 days 00:01:25.240000,85.24,1,True
ALO,14,Aston Martin,3,INTERMEDIATE,6,False,0 days 00:01:30.974000,90.974,1,False
ALO,14,Aston Martin,4,INTERMEDIATE,7,False,0 days 00:01:34.783000,94.783,1,False
ALO,14,Aston Martin,5,INTERMEDIATE,8,False,0 days 00:01:21.461000,81.461,1,True
ALO,14,Aston Martin,6,INTERMEDIATE,9,False,NaT,,1,False
LEC,16,Ferrari,1,INTERMEDIATE,2,False,NaT,,1,False
LEC,16,Ferrari,2,INTERMEDIATE,3,False,NaT,,2,False
LEC,16,Ferrari,3,INTERMEDIATE,4,False,0 days 00:01:24.158000,84.158,2,True
LEC,16,Ferrari,4,INTERMEDIATE,5,False,NaT,,2,False
STR,18,Aston Martin,1,INTERMEDIATE,4,False,NaT,,1,False
STR,18,Aston Martin,2,INTERMEDIATE,5,False,0 days 00:01:24.200000,84.2,1,True
STR,18,Aston Martin,3,INTERMEDIATE,6,False,0 days 00:01:21.941000,81.941,1,True
STR,18,Aston Martin,4,INTERMEDIATE,7,False,0 days 00:01:39.252000,99.252,1,False
STR,18,Aston Martin,5,INTERMEDIATE,8,False,NaT,,1,False
STR,18,Aston Martin,6,INTERMEDIATE,9,False,NaT,,2,False
STR,18,Aston Martin,7,INTERMEDIATE,10,False,NaT,,2,False
MAG,20,Haas F1 Team,1,WET,4,False,NaT,,1,False
MAG,20,Haas F1 Team,2,INTERMEDIATE,5,False,NaT,,2,False
MAG,20,Haas F1 Team,3,INTERMEDIATE,6,False,0 days 00:01:26.854000,86.854,2,True
MAG,20,Haas F1 Team,4,INTERMEDIATE,7,False,0 days 00:01:34.697000,94.697,2,False
MAG,20,Haas F1 Team,5,INTERMEDIATE,8,False,0 days 00:01:22.484000,82.484,2,True
MAG,20,Haas F1 Team,6,INTERMEDIATE,9,False,NaT,,2,False
MAG,20,Haas F1 Team,7,INTERMEDIATE,10,False,NaT,,3,False
MAG,20,Haas F1 Team,8,INTERMEDIATE,11,False,0 days 00:01:20.450000,80.45,3,True
MAG,20,Haas F1 Team,9,INTERMEDIATE,12,False,NaT,,3,False
TSU,22,RB,1,WET,2,False,NaT,,1,False
TSU,22,RB,2,INTERMEDIATE,6,False,NaT,,2,False
TSU,22,RB,3,INTERMEDIATE,7,False,NaT,,3,False
