Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:11.377000,71.377,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:38.537000,98.537,1,False
NOR,4,McLaren,4,SOFT,4,False,NaT,,2,False
NOR,4,McLaren,5,SOFT,5,False,0 days 00:01:19.896000,79.896,2,False
NOR,4,McLaren,6,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,7,SOFT,2,True,0 days 00:01:10.496000,70.496,3,True
NOR,4,McLaren,8,SOFT,3,True,0 days 00:01:38.972000,98.972,3,False
NOR,4,McLaren,9,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,10,SOFT,2,True,0 days 00:01:10.074000,70.074,4,True
NOR,4,McLaren,11,SOFT,3,True,0 days 00:01:29.684000,89.684,4,False
NOR,4,McLaren,12,SOFT,1,True,NaT,,5,False
NOR,4,McLaren,13,SOFT,2,True,0 days 00:01:09.673000,69.673,5,True
NOR,4,McLaren,14,SOFT,3,True,0 days 00:01:42.615000,102.615,5,False
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:11.393000,71.393,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:39.643000,99.643,1,False
VER,1,Red Bull Racing,4,SOFT,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,5,False,0 days 00:01:22.896000,82.896,2,False
VER,1,Red Bull Racing,6,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,7,SOFT,2,True,0 days 00:01:10.811000,70.811,3,True
VER,1,Red Bull Racing,8,SOFT,3,True,0 days 00:01:38.530000,98.53,3,False
VER,1,Red Bull Racing,9,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,10,SOFT,2,True,0 days 00:01:10.222000,70.222,4,True
VER,1,Red Bull Racing,11,SOFT,3,True,0 days 00:01:28.550000,88.55,4,False
VER,1,Red Bull Racing,12,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,13,SOFT,2,True,0 days 00:01:10.029000,70.029,5,True
VER,1,Red Bull Racing,14,SOFT,3,True,NaT,,5,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:11.541000,71.541,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:38.398000,98.398,1,False
PIA,81,McLaren,4,SOFT,4,True,0 days 00:01:42.375000,102.375,1,False
PIA,81,McLaren,5,SOFT,5,False,NaT,,2,False
PIA,81,McLaren,6,SOFT,6,False,0 days 00:01:12,72.0,2,False
PIA,81,McLaren,7,SOFT,7,False,0 days 00:01:40.395000,100.395,2,False
PIA,81,McLaren,8,SOFT,1,True,NaT,,3,False
PIA,81,McLaren,9,SOFT,2,True,0 days 00:01:10.505000,70.505,3,True
PIA,81,McLaren,10,SOFT,3,True,0 days 00:01:40.111000,100.111,3,False
PIA,81,McLaren,11,SOFT,1,True,NaT,,4,False
PIA,81,McLaren,12,SOFT,2,True,0 days 00:01:10.193000,70.193,4,True
PIA,81,McLaren,13,SOFT,3,True,0 days 00:01:33.225000,93.225,4,False
PIA,81,McLaren,14,SOFT,1,True,NaT,,5,False
PIA,81,McLaren,15,SOFT,2,True,0 days 00:01:10.172000,70.172,5,True
PIA,81,McLaren,16,SOFT,3,True,NaT,,5,False
RUS,63,Mercedes,1,SOFT,1,True,NaT,,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:12.079000,72.079,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:01:43.531000,103.531,1,False
RUS,63,Mercedes,4,SOFT,4,False,0 days 00:02:11.375000,131.375,2,False
RUS,63,Mercedes,5,SOFT,5,False,0 days 00:01:11.904000,71.904,2,True
RUS,63,Mercedes,6,SOFT,6,False,0 days 00:01:29.336000,89.336,2,False
RUS,63,Mercedes,7,SOFT,1,True,NaT,,3,False
RUS,63,Mercedes,8,SOFT,2,True,0 days 00:01:11.049000,71.049,3,True
RUS,63,Mercedes,9,SOFT,3,True,0 days 00:01:43.697000,103.697,3,False
RUS,63,Mercedes,10,SOFT,1,True,NaT,,4,False
RUS,63,Mercedes,11,SOFT,2,True,0 days 00:01:10.552000,70.552,4,True
RUS,63,Mercedes,12,SOFT,3,True,0 days 00:01:42.316000,102.316,4,False
RUS,63,Mercedes,13,SOFT,1,True,NaT,,5,False
RUS,63,Mercedes,14,SOFT,2,True,0 days 00:01:10.510000,70.51,5,True
RUS,63,Mercedes,15,SOFT,3,True,0 days 00:01:31.661000,91.661,5,False
RUS,63,Mercedes,16,SOFT,1,True,NaT,,6,False
RUS,63,Mercedes,17,SOFT,2,True,0 days 00:01:10.244000,70.244,6,True
RUS,63,Mercedes,18,SOFT,3,True,NaT,,6,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,2,True,0 days 00:01:11.957000,71.957,1,True
PER,11,Red Bull Racing,3,SOFT,3,True,0 days 00:01:56.517000,116.517,1,False
PER,11,Red Bull Racing,4,SOFT,4,False,0 days 00:02:06.153000,126.153,2,False
PER,11,Red Bull Racing,5,SOFT,5,False,0 days 00:01:28.316000,88.316,2,False
PER,11,Red Bull Racing,6,SOFT,1,True,NaT,,3,False
PER,11,Red Bull Racing,7,SOFT,2,True,0 days 00:01:11.006000,71.006,3,True
PER,11,Red Bull Racing,8,SOFT,3,True,0 days 00:01:38.280000,98.28,3,False
PER,11,Red Bull Racing,9,SOFT,1,True,NaT,,4,False
PER,11,Red Bull Racing,10,SOFT,2,True,0 days 00:01:11.100000,71.1,4,True
PER,11,Red Bull Racing,11,SOFT,3,True,0 days 00:01:32.114000,92.114,4,False
PER,11,Red Bull Racing,12,SOFT,1,True,NaT,,5,False
PER,11,Red Bull Racing,13,SOFT,2,True,0 days 00:01:10.678000,70.678,5,True
PER,11,Red Bull Racing,14,SOFT,3,True,0 days 00:01:32.677000,92.677,5,False
PER,11,Red Bull Racing,15,SOFT,1,True,NaT,,6,False
PER,11,Red Bull Racing,16,SOFT,2,True,0 days 00:01:10.416000,70.416,6,True
PER,11,Red Bull Racing,17,SOFT,3,True,NaT,,6,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:11.890000,71.89,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:01:46.753000,106.753,1,False
LEC,16,Ferrari,4,SOFT,4,False,0 days 00:02:09.657000,129.657,2,False
LEC,16,Ferrari,5,SOFT,5,False,0 days 00:01:12.091000,72.091,2,False
LEC,16,Ferrari,6,SOFT,6,False,0 days 00:01:33.144000,93.144,2,False
LEC,16,Ferrari,7,SOFT,1,True,NaT,,3,False
LEC,16,Ferrari,8,SOFT,2,True,0 days 00:01:11.370000,71.37,3,True
LEC,16,Ferrari,9,SOFT,3,True,0 days 00:01:36.484000,96.484,3,False
LEC,16,Ferrari,10,SOFT,4,False,NaT,,4,False
LEC,16,Ferrari,11,SOFT,5,False,0 days 00:01:11.665000,71.665,4,True
LEC,16,Ferrari,12,SOFT,6,False,0 days 00:01:41.738000,101.738,4,False
LEC,16,Ferrari,13,SOFT,1,True,0 days 00:02:25.867000,145.867,5,False
LEC,16,Ferrari,14,SOFT,2,True,0 days 00:01:11.060000,71.06,5,True
LEC,16,Ferrari,15,SOFT,3,True,0 days 00:01:26.858000,86.858,5,False
LEC,16,Ferrari,16,SOFT,1,True,NaT,,6,False
LEC,16,Ferrari,17,SOFT,2,True,0 days 00:01:10.689000,70.689,6,True
LEC,16,Ferrari,18,SOFT,3,True,0 days 00:01:41.198000,101.198,6,False
LEC,16,Ferrari,19,SOFT,4,False,NaT,,7,False
LEC,16,Ferrari,20,SOFT,5,False,0 days 00:01:10.758000,70.758,7,True
LEC,16,Ferrari,21,SOFT,6,False,0 days 00:01:28.494000,88.494,7,False
LEC,16,Ferrari,22,SOFT,1,True,NaT,,8,False
LEC,16,Ferrari,23,SOFT,2,True,0 days 00:01:10.582000,70.582,8,True
LEC,16,Ferrari,24,SOFT,3,True,NaT,,8,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:12.056000,72.056,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:01:37.351000,97.351,1,False
