Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:02:09.669000,129.669,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:02:11.189000,131.189,1,False
VER,1,Red Bull Racing,4,SOFT,4,True,0 days 00:01:24.693000,84.693,1,True
VER,1,Red Bull Racing,5,SOFT,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,SOFT,6,False,NaT,,2,False
VER,1,Red Bull Racing,7,SOFT,7,False,0 days 00:01:23.088000,83.088,2,True
VER,1,Red Bull Racing,8,SOFT,8,False,0 days 00:02:29.389000,149.389,2,False
VER,1,Red Bull Racing,9,SOFT,9,False,NaT,,3,False
VER,1,Red Bull Racing,10,SOFT,10,False,0 days 00:01:22.936000,82.936,3,True
VER,1,Red Bull Racing,11,SOFT,11,False,0 days 00:01:43.739000,103.739,3,False
VER,1,Red Bull Racing,12,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,13,SOFT,2,True,0 days 00:01:21.676000,81.676,4,True
VER,1,Red Bull Racing,14,SOFT,3,True,0 days 00:02:22.420000,142.42,4,False
VER,1,Red Bull Racing,15,SOFT,4,False,NaT,,5,False
VER,1,Red Bull Racing,16,SOFT,5,False,0 days 00:01:22.116000,82.116,5,False
VER,1,Red Bull Racing,17,SOFT,6,False,0 days 00:01:24.958000,84.958,5,False
VER,1,Red Bull Racing,18,SOFT,7,False,0 days 00:02:13.377000,133.377,5,False
VER,1,Red Bull Racing,19,SOFT,8,False,0 days 00:02:29.034000,149.034,5,False
RIC,3,RB,1,MEDIUM,1,True,NaT,,1,False
RIC,3,RB,2,MEDIUM,2,True,0 days 00:01:56.346000,116.346,1,True
RIC,3,RB,3,MEDIUM,3,True,0 days 00:01:24.940000,84.94,1,True
RIC,3,RB,4,MEDIUM,4,True,NaT,,1,False
RIC,3,RB,5,MEDIUM,5,False,NaT,,2,False
RIC,3,RB,6,MEDIUM,6,False,0 days 00:01:23.981000,83.981,2,True
RIC,3,RB,7,MEDIUM,7,False,0 days 00:02:25.964000,145.964,2,False
