Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:19.911000,79.911,1,True
NOR,4,McLaren,3,SOFT,3,True,0 days 00:01:51.021000,111.021,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:19.727000,79.727,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:01:49.446000,109.446,2,False
NOR,4,McLaren,7,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,8,SOFT,2,True,0 days 00:01:19.401000,79.401,3,True
NOR,4,McLaren,9,SOFT,3,True,0 days 00:01:47.128000,107.128,3,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:19.327000,79.327,4,True
NOR,4,McLaren,12,SOFT,3,True,NaT,,4,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:50.311000,110.311,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:01:20.488000,80.488,1,True
PIA,81,McLaren,4,SOFT,4,True,0 days 00:01:50.151000,110.151,1,False
PIA,81,McLaren,5,SOFT,5,False,NaT,,2,False
PIA,81,McLaren,6,SOFT,6,False,0 days 00:01:20.076000,80.076,2,True
PIA,81,McLaren,7,SOFT,7,False,0 days 00:01:50.213000,110.213,2,False
PIA,81,McLaren,8,SOFT,1,True,NaT,,3,False
PIA,81,McLaren,9,SOFT,2,True,0 days 00:01:19.808000,79.808,3,True
PIA,81,McLaren,10,SOFT,3,True,0 days 00:01:52.538000,112.538,3,False
PIA,81,McLaren,11,SOFT,4,False,NaT,,4,False
PIA,81,McLaren,12,SOFT,5,False,0 days 00:01:19.845000,79.845,4,False
PIA,81,McLaren,13,SOFT,6,False,0 days 00:01:53.795000,113.795,4,False
PIA,81,McLaren,14,SOFT,1,True,NaT,,5,False
PIA,81,McLaren,15,SOFT,2,True,0 days 00:01:19.436000,79.436,5,True
PIA,81,McLaren,16,SOFT,3,True,0 days 00:01:45.672000,105.672,5,False
PIA,81,McLaren,17,SOFT,1,True,NaT,,6,False
PIA,81,McLaren,18,SOFT,2,True,0 days 00:01:19.661000,79.661,6,False
PIA,81,McLaren,19,SOFT,3,True,NaT,,6,False
RUS,63,Mercedes,1,SOFT,1,True,NaT,,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:20.320000,80.32,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:01:53.613000,113.613,1,False
RUS,63,Mercedes,4,SOFT,4,False,NaT,,2,False
RUS,63,Mercedes,5,SOFT,5,False,0 days 00:01:20.169000,80.169,2,True
RUS,63,Mercedes,6,SOFT,6,False,0 days 00:01:51.786000,111.786,2,False
RUS,63,Mercedes,7,SOFT,1,True,NaT,,3,False
RUS,63,Mercedes,8,SOFT,2,True,0 days 00:01:19.877000,79.877,3,True
RUS,63,Mercedes,9,SOFT,3,True,0 days 00:01:55.041000,115.041,3,False
RUS,63,Mercedes,10,SOFT,4,False,NaT,,4,False
RUS,63,Mercedes,11,SOFT,5,False,0 days 00:01:20.107000,80.107,4,False
RUS,63,Mercedes,12,SOFT,6,False,0 days 00:01:43.616000,103.616,4,False
RUS,63,Mercedes,13,SOFT,1,True,NaT,,5,False
RUS,63,Mercedes,14,SOFT,2,True,0 days 00:01:19.569000,79.569,5,True
RUS,63,Mercedes,15,SOFT,3,True,0 days 00:01:45.739000,105.739,5,False
RUS,63,Mercedes,16,SOFT,1,True,NaT,,6,False
RUS,63,Mercedes,17,SOFT,2,True,0 days 00:01:19.440000,79.44,6,True
RUS,63,Mercedes,18,SOFT,3,True,NaT,,6,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:20.074000,80.074,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:01:48.237000,108.237,1,False
LEC,16,Ferrari,4,SOFT,4,False,NaT,,2,False
LEC,16,Ferrari,5,SOFT,5,False,0 days 00:01:20.278000,80.278,2,False
LEC,16,Ferrari,6,SOFT,6,False,0 days 00:01:51.200000,111.2,2,False
LEC,16,Ferrari,7,SOFT,7,False,NaT,,3,False
LEC,16,Ferrari,8,SOFT,8,False,0 days 00:01:20.296000,80.296,3,True
LEC,16,Ferrari,9,SOFT,9,False,0 days 00:01:41.299000,101.299,3,False
LEC,16,Ferrari,10,SOFT,1,True,0 days 00:02:05.416000,125.416,4,False
LEC,16,Ferrari,11,SOFT,2,True,0 days 00:01:20.007000,80.007,4,True
LEC,16,Ferrari,12,SOFT,3,True,0 days 00:01:49.572000,109.572,4,False
LEC,16,Ferrari,13,SOFT,4,False,NaT,,5,False
LEC,16,Ferrari,14,SOFT,5,False,0 days 00:01:20.076000,80.076,5,False
LEC,16,Ferrari,15,SOFT,6,False,0 days 00:01:53.708000,113.708,5,False
LEC,16,Ferrari,16,SOFT,1,True,NaT,,6,False
LEC,16,Ferrari,17,SOFT,2,True,0 days 00:01:19.704000,79.704,6,True
LEC,16,Ferrari,18,SOFT,3,True,0 days 00:01:43.079000,103.079,6,False
LEC,16,Ferrari,19,SOFT,1,True,NaT,,7,False
LEC,16,Ferrari,20,SOFT,2,True,0 days 00:01:19.461000,79.461,7,True
LEC,16,Ferrari,21,SOFT,3,True,NaT,,7,False
SAI,55,Ferrari,1,SOFT,1,True,NaT,,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:01:23.504000,83.504,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:01:56.850000,116.85,1,False
SAI,55,Ferrari,4,SOFT,4,False,NaT,,2,False
SAI,55,Ferrari,5,SOFT,5,False,0 days 00:01:20.149000,80.149,2,True
