Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
LEC,16,Ferrari,1,MEDIUM,1,True,0 days 00:01:28.179000,88.179,1,False
LEC,16,Ferrari,2,MEDIUM,2,True,0 days 00:01:25.396000,85.396,1,True
LEC,16,Ferrari,3,MEDIUM,3,True,0 days 00:01:25.179000,85.179,1,True
LEC,16,Ferrari,4,MEDIUM,4,True,0 days 00:01:24.810000,84.81,1,True
LEC,16,Ferrari,5,MEDIUM,5,True,0 days 00:01:24.603000,84.603,1,True
LEC,16,Ferrari,6,MEDIUM,6,True,0 days 00:01:24.663000,84.663,1,False
LEC,16,Ferrari,7,MEDIUM,7,True,0 days 00:01:24.434000,84.434,1,True
LEC,16,Ferrari,8,MEDIUM,8,True,0 days 00:01:24.569000,84.569,1,False
LEC,16,Ferrari,9,MEDIUM,9,True,0 days 00:01:24.362000,84.362,1,True
LEC,16,Ferrari,10,MEDIUM,10,True,0 days 00:01:24.432000,84.432,1,False
LEC,16,Ferrari,11,MEDIUM,11,True,0 days 00:01:24.846000,84.846,1,False
LEC,16,Ferrari,12,MEDIUM,12,True,0 days 00:01:24.916000,84.916,1,False
LEC,16,Ferrari,13,MEDIUM,13,True,0 days 00:01:25.529000,85.529,1,False
LEC,16,Ferrari,14,MEDIUM,14,True,0 days 00:01:25.606000,85.606,1,False
LEC,16,Ferrari,15,MEDIUM,15,True,0 days 00:01:30.192000,90.192,1,False
LEC,16,Ferrari,16,HARD,1,True,0 days 00:01:44.888000,104.888,2,False
LEC,16,Ferrari,17,HARD,2,True,0 days 00:01:24.270000,84.27,2,True
LEC,16,Ferrari,18,HARD,3,True,0 days 00:01:23.875000,83.875,2,True
LEC,16,Ferrari,19,HARD,4,True,0 days 00:01:24.203000,84.203,2,False
LEC,16,Ferrari,20,HARD,5,True,0 days 00:01:23.826000,83.826,2,True
LEC,16,Ferrari,21,HARD,6,True,0 days 00:01:23.880000,83.88,2,False
LEC,16,Ferrari,22,HARD,7,True,0 days 00:01:23.768000,83.768,2,True
LEC,16,Ferrari,23,HARD,8,True,0 days 00:01:23.864000,83.864,2,False
LEC,16,Ferrari,24,HARD,9,True,0 days 00:01:23.640000,83.64,2,True
LEC,16,Ferrari,25,HARD,10,True,0 days 00:01:23.590000,83.59,2,True
LEC,16,Ferrari,26,HARD,11,True,0 days 00:01:23.321000,83.321,2,True
LEC,16,Ferrari,27,HARD,12,True,0 days 00:01:23.534000,83.534,2,False
LEC,16,Ferrari,28,HARD,13,True,0 days 00:01:23.284000,83.284,2,True
LEC,16,Ferrari,29,HARD,14,True,0 days 00:01:23.229000,83.229,2,True
LEC,16,Ferrari,30,HARD,15,True,0 days 00:01:23.359000,83.359,2,False
LEC,16,Ferrari,31,HARD,16,True,0 days 00:01:23.972000,83.972,2,False
LEC,16,Ferrari,32,HARD,17,True,0 days 00:01:23.274000,83.274,2,False
LEC,16,Ferrari,33,HARD,18,True,0 days 00:01:23.226000,83.226,2,True
LEC,16,Ferrari,34,HARD,19,True,0 days 00:01:23.430000,83.43,2,False
LEC,16,Ferrari,35,HARD,20,True,0 days 00:01:23.681000,83.681,2,False
LEC,16,Ferrari,36,HARD,21,True,0 days 00:01:23.714000,83.714,2,False
LEC,16,Ferrari,37,HARD,22,True,0 days 00:01:23.550000,83.55,2,False
LEC,16,Ferrari,38,HARD,23,True,0 days 00:01:23.624000,83.624,2,False
LEC,16,Ferrari,39,HARD,24,True,0 days 00:01:23.718000,83.718,2,False
LEC,16,Ferrari,40,HARD,25,True,0 days 00:01:23.690000,83.69,2,False
LEC,16,Ferrari,41,HARD,26,True,0 days 00:01:23.611000,83.611,2,False
LEC,16,Ferrari,42,HARD,27,True,0 days 00:01:23.670000,83.67,2,False
LEC,16,Ferrari,43,HARD,28,True,0 days 00:01:23.867000,83.867,2,False
LEC,16,Ferrari,44,HARD,29,True,0 days 00:01:23.430000,83.43,2,False
LEC,16,Ferrari,45,HARD,30,True,0 days 00:01:23.731000,83.731,2,False
LEC,16,Ferrari,46,HARD,31,True,0 days 00:01:23.597000,83.597,2,False
LEC,16,Ferrari,47,HARD,32,True,0 days 00:01:23.676000,83.676,2,False
LEC,16,Ferrari,48,HARD,33,True,0 days 00:01:23.518000,83.518,2,False
LEC,16,Ferrari,49,HARD,34,True,0 days 00:01:23.467000,83.467,2,False
LEC,16,Ferrari,50,HARD,35,True,0 days 00:01:23.461000,83.461,2,False
LEC,16,Ferrari,51,HARD,36,True,0 days 00:01:23.555000,83.555,2,False
LEC,16,Ferrari,52,HARD,37,True,0 days 00:01:23.750000,83.75,2,False
LEC,16,Ferrari,53,HARD,38,True,0 days 00:01:23.268000,83.268,2,False
PIA,81,McLaren,1,MEDIUM,1,True,0 days 00:01:27.623000,87.623,1,False
PIA,81,McLaren,2,MEDIUM,2,True,0 days 00:01:25.116000,85.116,1,True
PIA,81,McLaren,3,MEDIUM,3,True,0 days 00:01:25.261000,85.261,1,False
PIA,81,McLaren,4,MEDIUM,4,True,0 days 00:01:24.695000,84.695,1,True
PIA,81,McLaren,5,MEDIUM,5,True,0 days 00:01:24.660000,84.66,1,True
PIA,81,McLaren,6,MEDIUM,6,True,0 days 00:01:24.603000,84.603,1,True
PIA,81,McLaren,7,MEDIUM,7,True,0 days 00:01:24.418000,84.418,1,True
PIA,81,McLaren,8,MEDIUM,8,True,0 days 00:01:24.570000,84.57,1,False
PIA,81,McLaren,9,MEDIUM,9,True,0 days 00:01:24.375000,84.375,1,True
PIA,81,McLaren,10,MEDIUM,10,True,0 days 00:01:24.077000,84.077,1,True
PIA,81,McLaren,11,MEDIUM,11,True,0 days 00:01:24.247000,84.247,1,False
PIA,81,McLaren,12,MEDIUM,12,True,0 days 00:01:24.748000,84.748,1,False
PIA,81,McLaren,13,MEDIUM,13,True,0 days 00:01:24.670000,84.67,1,False
PIA,81,McLaren,14,MEDIUM,14,True,0 days 00:01:25.048000,85.048,1,False
PIA,81,McLaren,15,MEDIUM,15,True,0 days 00:01:25.166000,85.166,1,False
PIA,81,McLaren,16,MEDIUM,16,True,0 days 00:01:29.939000,89.939,1,False
PIA,81,McLaren,17,HARD,1,True,0 days 00:01:44.250000,104.25,2,False
PIA,81,McLaren,18,HARD,2,True,0 days 00:01:24.028000,84.028,2,True
PIA,81,McLaren,19,HARD,3,True,0 days 00:01:24.602000,84.602,2,False
PIA,81,McLaren,20,HARD,4,True,0 days 00:01:23.986000,83.986,2,True
PIA,81,McLaren,21,HARD,5,True,0 days 00:01:23.903000,83.903,2,True
PIA,81,McLaren,22,HARD,6,True,0 days 00:01:23.647000,83.647,2,True
PIA,81,McLaren,23,HARD,7,True,0 days 00:01:23.660000,83.66,2,False
