Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,3,SOFT,2,True,0 days 00:01:45.209000,105.209,2,True
VER,1,Red Bull Racing,4,SOFT,3,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,4,True,NaT,,2,False
VER,1,Red Bull Racing,6,SOFT,5,False,NaT,,3,False
VER,1,Red Bull Racing,7,SOFT,6,False,0 days 00:01:43.584000,103.584,3,True
VER,1,Red Bull Racing,8,SOFT,7,False,0 days 00:01:55.903000,115.903,3,False
VER,1,Red Bull Racing,9,SOFT,2,False,NaT,,4,False
VER,1,Red Bull Racing,10,SOFT,3,False,0 days 00:02:15.937000,135.937,4,False
VER,1,Red Bull Racing,11,SOFT,4,False,0 days 00:01:42.864000,102.864,4,True
VER,1,Red Bull Racing,12,SOFT,5,False,NaT,,4,False
VER,1,Red Bull Racing,13,SOFT,6,False,0 days 00:02:03.505000,123.505,4,False
VER,1,Red Bull Racing,14,SOFT,7,False,0 days 00:01:42.862000,102.862,4,True
VER,1,Red Bull Racing,15,SOFT,8,False,0 days 00:02:20.493000,140.493,4,False
VER,1,Red Bull Racing,16,SOFT,9,False,0 days 00:02:22.365000,142.365,4,False
GAS,10,Alpine,1,SOFT,1,True,NaT,,1,False
GAS,10,Alpine,2,SOFT,2,False,NaT,,2,False
GAS,10,Alpine,3,SOFT,3,False,0 days 00:01:46.900000,106.9,2,True
GAS,10,Alpine,4,SOFT,4,False,NaT,,2,False
GAS,10,Alpine,5,SOFT,5,False,NaT,,2,False
GAS,10,Alpine,6,SOFT,6,False,NaT,,3,False
GAS,10,Alpine,7,SOFT,7,False,0 days 00:01:45.728000,105.728,3,True
GAS,10,Alpine,8,SOFT,8,False,0 days 00:02:08.091000,128.091,3,False
GAS,10,Alpine,9,SOFT,1,True,NaT,,4,False
GAS,10,Alpine,10,SOFT,2,True,0 days 00:01:44.150000,104.15,4,True
GAS,10,Alpine,11,SOFT,3,True,NaT,,4,False
GAS,10,Alpine,12,SOFT,4,True,0 days 00:02:06.799000,126.799,4,False
GAS,10,Alpine,13,SOFT,5,True,0 days 00:01:43.876000,103.876,4,True
GAS,10,Alpine,14,SOFT,6,True,NaT,,4,False
GAS,10,Alpine,15,SOFT,7,True,0 days 00:02:18.628000,138.628,4,False
PER,11,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,SOFT,1,True,NaT,,2,False
PER,11,Red Bull Racing,3,SOFT,2,True,0 days 00:01:45.353000,105.353,2,True
PER,11,Red Bull Racing,4,SOFT,3,True,NaT,,2,False
PER,11,Red Bull Racing,5,SOFT,4,True,NaT,,2,False
PER,11,Red Bull Racing,6,SOFT,2,False,NaT,,3,False
PER,11,Red Bull Racing,7,SOFT,3,False,0 days 00:01:43.389000,103.389,3,True
PER,11,Red Bull Racing,8,SOFT,4,False,NaT,,3,False
PER,11,Red Bull Racing,9,SOFT,5,False,0 days 00:02:12.755000,132.755,3,False
PER,11,Red Bull Racing,10,SOFT,6,False,0 days 00:01:43.024000,103.024,3,True
PER,11,Red Bull Racing,11,SOFT,7,False,NaT,,3,False
PER,11,Red Bull Racing,12,SOFT,8,False,0 days 00:02:12.959000,132.959,3,False
PER,11,Red Bull Racing,13,SOFT,9,False,0 days 00:01:43.337000,103.337,3,False
PER,11,Red Bull Racing,14,SOFT,10,False,0 days 00:02:16.031000,136.031,3,False
PER,11,Red Bull Racing,15,SOFT,11,False,0 days 00:02:24.640000,144.64,3,False
PER,11,Red Bull Racing,16,SOFT,12,False,NaT,,3,False
ALO,14,Aston Martin,1,MEDIUM,1,True,NaT,,1,False
ALO,14,Aston Martin,2,HARD,1,True,0 days 00:02:29.274000,149.274,2,False
ALO,14,Aston Martin,3,HARD,1,True,0 days 00:02:27.328000,147.328,3,False
ALO,14,Aston Martin,4,SOFT,1,True,NaT,,4,False
ALO,14,Aston Martin,5,SOFT,2,True,0 days 00:01:45.514000,105.514,4,True
ALO,14,Aston Martin,6,SOFT,3,True,0 days 00:02:23.748000,143.748,4,False
ALO,14,Aston Martin,7,SOFT,4,True,NaT,,4,False
ALO,14,Aston Martin,8,SOFT,5,False,NaT,,5,False
ALO,14,Aston Martin,9,SOFT,6,False,0 days 00:01:43.723000,103.723,5,True
ALO,14,Aston Martin,10,SOFT,7,False,0 days 00:02:17.753000,137.753,5,False
ALO,14,Aston Martin,11,SOFT,1,True,NaT,,6,False
ALO,14,Aston Martin,12,SOFT,2,True,0 days 00:01:43.474000,103.474,6,True
ALO,14,Aston Martin,13,SOFT,3,True,NaT,,6,False
ALO,14,Aston Martin,14,SOFT,4,True,0 days 00:01:46.605000,106.605,6,False
ALO,14,Aston Martin,15,SOFT,5,True,0 days 00:02:21.614000,141.614,6,False
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,NaT,,1,False
LEC,16,Ferrari,3,SOFT,3,False,NaT,,2,False
LEC,16,Ferrari,4,SOFT,4,False,0 days 00:01:45.372000,105.372,2,True
LEC,16,Ferrari,5,SOFT,5,False,NaT,,2,False
LEC,16,Ferrari,6,SOFT,6,False,NaT,,2,False
LEC,16,Ferrari,7,SOFT,7,False,NaT,,3,False
LEC,16,Ferrari,8,SOFT,8,False,0 days 00:01:43.455000,103.455,3,True
LEC,16,Ferrari,9,SOFT,9,False,0 days 00:02:18.227000,138.227,3,False
LEC,16,Ferrari,10,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,11,SOFT,2,True,0 days 00:01:42.564000,102.564,4,True
LEC,16,Ferrari,12,SOFT,3,True,0 days 00:02:28.011000,148.011,4,False
LEC,16,Ferrari,13,SOFT,4,False,NaT,,5,False
