Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
LEC,16,Ferrari,1,SOFT,1,True,NaT,,1,False
LEC,16,Ferrari,2,SOFT,2,True,0 days 00:01:43.595000,103.595,1,True
LEC,16,Ferrari,3,SOFT,3,True,0 days 00:02:14.567000,134.567,1,False
LEC,16,Ferrari,4,SOFT,4,True,0 days 00:02:09.422000,129.422,1,False
LEC,16,Ferrari,5,SOFT,5,True,0 days 00:01:42.775000,102.775,1,True
LEC,16,Ferrari,6,SOFT,6,True,0 days 00:02:20.352000,140.352,1,False
LEC,16,Ferrari,7,SOFT,7,False,NaT,,2,False
LEC,16,Ferrari,8,SOFT,8,False,0 days 00:01:43.422000,103.422,2,True
LEC,16,Ferrari,9,SOFT,9,False,0 days 00:02:02.980000,122.98,2,False
LEC,16,Ferrari,10,SOFT,1,True,NaT,,3,False
LEC,16,Ferrari,11,SOFT,2,True,0 days 00:01:42.056000,102.056,3,True
LEC,16,Ferrari,12,SOFT,3,True,0 days 00:02:07.633000,127.633,3,False
LEC,16,Ferrari,13,SOFT,4,True,0 days 00:02:11.629000,131.629,3,False
LEC,16,Ferrari,14,SOFT,5,True,0 days 00:02:09.139000,129.139,3,False
LEC,16,Ferrari,15,SOFT,1,True,NaT,,4,False
LEC,16,Ferrari,16,SOFT,2,True,0 days 00:01:41.610000,101.61,4,True
LEC,16,Ferrari,17,SOFT,3,True,0 days 00:02:06.855000,126.855,4,False
LEC,16,Ferrari,18,SOFT,1,True,NaT,,5,False
LEC,16,Ferrari,19,SOFT,2,True,0 days 00:01:41.365000,101.365,5,True
LEC,16,Ferrari,20,SOFT,3,True,NaT,,5,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:43.845000,103.845,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:02:20.534000,140.534,1,False
PIA,81,McLaren,4,SOFT,4,True,0 days 00:01:43.623000,103.623,1,True
PIA,81,McLaren,5,SOFT,5,True,0 days 00:02:20.488000,140.488,1,False
PIA,81,McLaren,6,SOFT,6,False,NaT,,2,False
PIA,81,McLaren,7,SOFT,7,False,0 days 00:01:43.033000,103.033,2,True
PIA,81,McLaren,8,SOFT,8,False,0 days 00:02:13.727000,133.727,2,False
PIA,81,McLaren,9,SOFT,1,True,NaT,,3,False
PIA,81,McLaren,10,SOFT,2,True,0 days 00:01:42.598000,102.598,3,True
PIA,81,McLaren,11,SOFT,3,True,0 days 00:02:16.079000,136.079,3,False
PIA,81,McLaren,12,SOFT,1,True,NaT,,4,False
PIA,81,McLaren,13,SOFT,2,True,0 days 00:02:11.026000,131.026,4,False
PIA,81,McLaren,14,SOFT,3,False,NaT,,5,False
PIA,81,McLaren,15,SOFT,4,False,0 days 00:01:41.827000,101.827,5,True
PIA,81,McLaren,16,SOFT,5,False,0 days 00:02:09.967000,129.967,5,False
PIA,81,McLaren,17,SOFT,1,True,NaT,,6,False
PIA,81,McLaren,18,SOFT,2,True,0 days 00:01:41.686000,101.686,6,True
PIA,81,McLaren,19,SOFT,3,True,NaT,,6,False
SAI,55,Ferrari,1,SOFT,1,True,NaT,,1,False
SAI,55,Ferrari,2,SOFT,2,True,0 days 00:02:06.108000,126.108,1,True
SAI,55,Ferrari,3,SOFT,3,True,0 days 00:01:43.517000,103.517,1,True
SAI,55,Ferrari,4,SOFT,4,True,NaT,,1,False
SAI,55,Ferrari,5,SOFT,5,True,NaT,,1,False
SAI,55,Ferrari,6,SOFT,6,True,0 days 00:02:23.818000,143.818,1,False
SAI,55,Ferrari,7,SOFT,7,True,0 days 00:02:12.752000,132.752,1,False
SAI,55,Ferrari,8,SOFT,8,True,0 days 00:01:43.357000,103.357,1,True
SAI,55,Ferrari,9,SOFT,9,True,0 days 00:02:25.699000,145.699,1,False
SAI,55,Ferrari,10,SOFT,10,False,NaT,,2,False
SAI,55,Ferrari,11,SOFT,11,False,0 days 00:01:43.225000,103.225,2,True
SAI,55,Ferrari,12,SOFT,12,False,0 days 00:02:05.710000,125.71,2,False
