Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:55.490000,115.49,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:49.632000,109.632,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:49.130000,109.13,1,True
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:49.608000,109.608,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:49.245000,109.245,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:48.795000,108.795,1,True
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:48.797000,108.797,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:48.643000,108.643,1,True
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:48.448000,108.448,1,True
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:49.448000,109.448,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:49.645000,109.645,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:54.511000,114.511,1,False
VER,1,Red Bull Racing,13,HARD,1,True,0 days 00:02:06.486000,126.486,2,False
VER,1,Red Bull Racing,14,HARD,2,True,0 days 00:01:48.269000,108.269,2,True
VER,1,Red Bull Racing,15,HARD,3,True,0 days 00:01:47.812000,107.812,2,True
VER,1,Red Bull Racing,16,HARD,4,True,0 days 00:01:48.132000,108.132,2,False
VER,1,Red Bull Racing,17,HARD,5,True,0 days 00:01:47.718000,107.718,2,True
VER,1,Red Bull Racing,18,HARD,6,True,0 days 00:01:48.461000,108.461,2,False
VER,1,Red Bull Racing,19,HARD,7,True,0 days 00:01:47.890000,107.89,2,False
VER,1,Red Bull Racing,20,HARD,8,True,0 days 00:01:47.890000,107.89,2,False
VER,1,Red Bull Racing,21,HARD,9,True,0 days 00:01:47.903000,107.903,2,False
VER,1,Red Bull Racing,22,HARD,10,True,0 days 00:01:48.679000,108.679,2,False
VER,1,Red Bull Racing,23,HARD,11,True,0 days 00:01:48.908000,108.908,2,False
VER,1,Red Bull Racing,24,HARD,12,True,0 days 00:01:50.602000,110.602,2,False
VER,1,Red Bull Racing,25,HARD,13,True,0 days 00:01:48.356000,108.356,2,False
VER,1,Red Bull Racing,26,HARD,14,True,0 days 00:01:49.021000,109.021,2,False
VER,1,Red Bull Racing,27,HARD,15,True,0 days 00:01:49.092000,109.092,2,False
VER,1,Red Bull Racing,28,HARD,16,True,0 days 00:01:49.185000,109.185,2,False
VER,1,Red Bull Racing,29,HARD,17,True,0 days 00:01:49.216000,109.216,2,False
VER,1,Red Bull Racing,30,HARD,18,True,0 days 00:01:48.994000,108.994,2,False
VER,1,Red Bull Racing,31,HARD,19,True,0 days 00:01:48.846000,108.846,2,False
VER,1,Red Bull Racing,32,HARD,20,True,0 days 00:01:48.392000,108.392,2,False
VER,1,Red Bull Racing,33,HARD,21,True,0 days 00:01:48.299000,108.299,2,False
VER,1,Red Bull Racing,34,HARD,22,True,0 days 00:01:49.244000,109.244,2,False
VER,1,Red Bull Racing,35,HARD,23,True,0 days 00:01:47.996000,107.996,2,False
VER,1,Red Bull Racing,36,HARD,24,True,0 days 00:01:47.718000,107.718,2,False
VER,1,Red Bull Racing,37,HARD,25,True,0 days 00:01:47.403000,107.403,2,True
VER,1,Red Bull Racing,38,HARD,26,True,0 days 00:01:47.282000,107.282,2,True
VER,1,Red Bull Racing,39,HARD,27,True,0 days 00:01:47.340000,107.34,2,False
VER,1,Red Bull Racing,40,HARD,28,True,0 days 00:01:47.136000,107.136,2,True
VER,1,Red Bull Racing,41,HARD,29,True,0 days 00:01:47.525000,107.525,2,False
VER,1,Red Bull Racing,42,HARD,30,True,0 days 00:01:46.798000,106.798,2,True
VER,1,Red Bull Racing,43,HARD,31,True,0 days 00:01:47.147000,107.147,2,False
VER,1,Red Bull Racing,44,HARD,32,True,0 days 00:01:47.149000,107.149,2,False
VER,1,Red Bull Racing,45,HARD,33,True,0 days 00:01:47.184000,107.184,2,False
VER,1,Red Bull Racing,46,HARD,34,True,0 days 00:01:47.135000,107.135,2,False
VER,1,Red Bull Racing,47,HARD,35,True,0 days 00:01:47.721000,107.721,2,False
VER,1,Red Bull Racing,48,HARD,36,True,0 days 00:01:47.749000,107.749,2,False
VER,1,Red Bull Racing,49,HARD,37,True,0 days 00:01:52.022000,112.022,2,False
VER,1,Red Bull Racing,50,SOFT,4,False,NaT,,3,False
VER,1,Red Bull Racing,51,SOFT,5,False,NaT,,3,False
GAS,10,Alpine,1,HARD,1,True,0 days 00:02:04.448000,124.448,1,False
GAS,10,Alpine,2,HARD,2,True,0 days 00:01:52.861000,112.861,1,True
GAS,10,Alpine,3,HARD,3,True,0 days 00:01:51.565000,111.565,1,True
GAS,10,Alpine,4,HARD,4,True,0 days 00:01:49.849000,109.849,1,True
GAS,10,Alpine,5,HARD,5,True,0 days 00:01:50.116000,110.116,1,False
GAS,10,Alpine,6,HARD,6,True,0 days 00:01:50.071000,110.071,1,False
GAS,10,Alpine,7,HARD,7,True,0 days 00:01:49.908000,109.908,1,False
GAS,10,Alpine,8,HARD,8,True,0 days 00:01:49.707000,109.707,1,True
GAS,10,Alpine,9,HARD,9,True,0 days 00:01:49.776000,109.776,1,False
GAS,10,Alpine,10,HARD,10,True,0 days 00:01:49.479000,109.479,1,True
GAS,10,Alpine,11,HARD,11,True,0 days 00:01:50.305000,110.305,1,False
GAS,10,Alpine,12,HARD,12,True,0 days 00:01:50.207000,110.207,1,False
