Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,HARD,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,HARD,2,True,0 days 00:01:33.832000,93.832,1,True
VER,1,Red Bull Racing,3,HARD,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,HARD,4,True,0 days 00:01:33.324000,93.324,1,True
VER,1,Red Bull Racing,5,HARD,5,True,0 days 00:02:27.556000,147.556,1,False
VER,1,Red Bull Racing,6,HARD,6,True,0 days 00:01:51.215000,111.215,1,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:32.021000,92.021,2,True
VER,1,Red Bull Racing,9,SOFT,3,True,NaT,,2,False
VER,1,Red Bull Racing,10,SOFT,4,True,0 days 00:01:32.312000,92.312,2,False
VER,1,Red Bull Racing,11,SOFT,5,True,0 days 00:01:58.062000,118.062,2,False
VER,1,Red Bull Racing,12,SOFT,6,False,NaT,,3,False
VER,1,Red Bull Racing,13,SOFT,7,False,0 days 00:01:51.012000,111.012,3,False
VER,1,Red Bull Racing,14,HARD,7,False,NaT,,4,False
VER,1,Red Bull Racing,15,HARD,8,False,0 days 00:01:37.215000,97.215,4,False
VER,1,Red Bull Racing,16,HARD,9,False,0 days 00:01:38.260000,98.26,4,False
VER,1,Red Bull Racing,17,HARD,10,False,0 days 00:01:38.021000,98.021,4,False
VER,1,Red Bull Racing,18,HARD,11,False,0 days 00:01:38.168000,98.168,4,False
VER,1,Red Bull Racing,19,HARD,12,False,0 days 00:01:37.898000,97.898,4,False
VER,1,Red Bull Racing,20,HARD,13,False,0 days 00:01:37.643000,97.643,4,False
VER,1,Red Bull Racing,21,HARD,14,False,0 days 00:01:52.265000,112.265,4,False
VER,1,Red Bull Racing,22,HARD,15,False,0 days 00:01:41.617000,101.617,4,False
VER,1,Red Bull Racing,23,HARD,16,False,0 days 00:02:12.370000,132.37,4,False
VER,1,Red Bull Racing,24,HARD,17,False,0 days 00:02:21.059000,141.059,4,False
RIC,3,RB,1,MEDIUM,1,True,NaT,,1,False
RIC,3,RB,2,MEDIUM,2,True,0 days 00:01:34.021000,94.021,1,True
RIC,3,RB,3,MEDIUM,3,True,NaT,,1,False
RIC,3,RB,4,MEDIUM,4,True,0 days 00:01:32.652000,92.652,1,True
RIC,3,RB,5,MEDIUM,5,True,NaT,,1,False
RIC,3,RB,6,MEDIUM,6,True,0 days 00:01:45.305000,105.305,1,False
RIC,3,RB,7,SOFT,1,True,NaT,,2,False
RIC,3,RB,8,SOFT,2,True,0 days 00:01:31.478000,91.478,2,True
RIC,3,RB,9,SOFT,3,True,NaT,,2,False
RIC,3,RB,10,SOFT,4,True,0 days 00:02:18.925000,138.925,2,False
RIC,3,RB,11,SOFT,5,True,0 days 00:01:41.594000,101.594,2,False
RIC,3,RB,12,MEDIUM,7,False,NaT,,3,False
RIC,3,RB,13,MEDIUM,8,False,0 days 00:01:37.944000,97.944,3,False
RIC,3,RB,14,MEDIUM,9,False,0 days 00:01:38.340000,98.34,3,False
RIC,3,RB,15,MEDIUM,10,False,0 days 00:01:38.922000,98.922,3,False
RIC,3,RB,16,MEDIUM,11,False,0 days 00:01:42.987000,102.987,3,False
RIC,3,RB,17,MEDIUM,12,False,0 days 00:01:38.420000,98.42,3,False
RIC,3,RB,18,MEDIUM,13,False,0 days 00:01:39.366000,99.366,3,False
RIC,3,RB,19,MEDIUM,14,False,0 days 00:01:40,100.0,3,False
RIC,3,RB,20,MEDIUM,15,False,0 days 00:01:41.777000,101.777,3,False
RIC,3,RB,21,MEDIUM,16,False,0 days 00:01:37.946000,97.946,3,False
RIC,3,RB,22,MEDIUM,17,False,0 days 00:01:39.392000,99.392,3,False
RIC,3,RB,23,MEDIUM,18,False,0 days 00:01:50.807000,110.807,3,False
RIC,3,RB,24,MEDIUM,19,False,0 days 00:01:50.090000,110.09,3,False
RIC,3,RB,25,MEDIUM,20,False,0 days 00:02:21.847000,141.847,3,False
RIC,3,RB,26,MEDIUM,21,False,0 days 00:02:22.428000,142.428,3,False
NOR,4,McLaren,1,HARD,1,True,NaT,,1,False
NOR,4,McLaren,2,HARD,2,True,0 days 00:01:33.608000,93.608,1,True
NOR,4,McLaren,3,HARD,3,True,NaT,,1,False
NOR,4,McLaren,4,HARD,4,True,0 days 00:01:32.675000,92.675,1,True
NOR,4,McLaren,5,HARD,5,True,NaT,,1,False
NOR,4,McLaren,6,HARD,6,True,0 days 00:01:35.139000,95.139,1,False
NOR,4,McLaren,7,HARD,7,True,0 days 00:01:58.664000,118.664,1,False
NOR,4,McLaren,8,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,9,SOFT,2,True,0 days 00:01:30.727000,90.727,2,True
NOR,4,McLaren,10,SOFT,3,True,0 days 00:02:09.912000,129.912,2,False
NOR,4,McLaren,11,SOFT,4,False,NaT,,3,False
NOR,4,McLaren,12,SOFT,5,False,0 days 00:01:38.599000,98.599,3,False
NOR,4,McLaren,13,SOFT,6,False,0 days 00:01:37.269000,97.269,3,False
