Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,1,True,NaT,,1,False
NOR,4,McLaren,2,SOFT,2,True,0 days 00:01:30.724000,90.724,1,True
NOR,4,McLaren,3,SOFT,3,True,NaT,,1,False
NOR,4,McLaren,4,SOFT,4,False,NaT,,2,False
NOR,4,McLaren,5,SOFT,5,False,0 days 00:01:30.002000,90.002,2,True
NOR,4,McLaren,6,SOFT,6,False,0 days 00:02:09.270000,129.27,2,False
NOR,4,McLaren,7,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,8,SOFT,2,True,0 days 00:01:30.007000,90.007,3,True
NOR,4,McLaren,9,SOFT,3,True,0 days 00:02:04.166000,124.166,3,False
NOR,4,McLaren,10,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,11,SOFT,2,True,0 days 00:01:49.918000,109.918,4,False
NOR,4,McLaren,12,SOFT,1,True,NaT,,5,False
NOR,4,McLaren,13,SOFT,2,True,NaT,,5,False
NOR,4,McLaren,14,SOFT,1,True,NaT,,6,False
NOR,4,McLaren,15,SOFT,2,True,0 days 00:01:29.525000,89.525,6,True
NOR,4,McLaren,16,SOFT,3,True,NaT,,6,False
VER,1,Red Bull Racing,1,SOFT,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,2,True,0 days 00:01:30.854000,90.854,1,True
VER,1,Red Bull Racing,3,SOFT,3,True,0 days 00:01:59.620000,119.62,1,False
VER,1,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,True,0 days 00:01:30.157000,90.157,2,True
VER,1,Red Bull Racing,6,SOFT,3,True,0 days 00:02:09.048000,129.048,2,False
VER,1,Red Bull Racing,7,SOFT,4,False,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,5,False,0 days 00:01:30.371000,90.371,3,True
VER,1,Red Bull Racing,9,SOFT,6,False,0 days 00:01:57.877000,117.877,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:29.680000,89.68,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:02:50.535000,170.535,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:29.791000,89.791,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,NaT,,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:29.728000,89.728,6,True
VER,1,Red Bull Racing,18,SOFT,3,True,NaT,,6,False
HAM,44,Mercedes,1,SOFT,1,True,NaT,,1,False
HAM,44,Mercedes,2,SOFT,2,True,0 days 00:01:31.355000,91.355,1,True
HAM,44,Mercedes,3,SOFT,3,True,NaT,,1,False
HAM,44,Mercedes,4,SOFT,1,True,NaT,,2,False
HAM,44,Mercedes,5,SOFT,2,True,0 days 00:01:30.393000,90.393,2,True
HAM,44,Mercedes,6,SOFT,3,True,0 days 00:02:03.509000,123.509,2,False
HAM,44,Mercedes,7,SOFT,1,True,NaT,,3,False
HAM,44,Mercedes,8,SOFT,2,True,0 days 00:01:29.929000,89.929,3,True
HAM,44,Mercedes,9,SOFT,3,True,0 days 00:02:00.030000,120.03,3,False
HAM,44,Mercedes,10,SOFT,4,False,NaT,,4,False
HAM,44,Mercedes,11,SOFT,5,False,0 days 00:01:51.430000,111.43,4,False
HAM,44,Mercedes,12,SOFT,1,True,NaT,,5,False
HAM,44,Mercedes,13,SOFT,2,True,NaT,,5,False
HAM,44,Mercedes,14,SOFT,1,True,NaT,,6,False
HAM,44,Mercedes,15,SOFT,2,True,0 days 00:01:29.841000,89.841,6,True
HAM,44,Mercedes,16,SOFT,3,True,NaT,,6,False
RUS,63,Mercedes,1,SOFT,1,True,NaT,,1,False
RUS,63,Mercedes,2,SOFT,2,True,0 days 00:01:31.415000,91.415,1,True
RUS,63,Mercedes,3,SOFT,3,True,0 days 00:02:13.504000,133.504,1,False
RUS,63,Mercedes,4,SOFT,1,True,NaT,,2,False
RUS,63,Mercedes,5,SOFT,2,True,0 days 00:01:30.811000,90.811,2,True
RUS,63,Mercedes,6,SOFT,3,True,0 days 00:02:11.666000,131.666,2,False
RUS,63,Mercedes,7,SOFT,1,True,NaT,,3,False
RUS,63,Mercedes,8,SOFT,2,True,0 days 00:01:30.153000,90.153,3,True
RUS,63,Mercedes,9,SOFT,3,True,NaT,,3,False
RUS,63,Mercedes,10,SOFT,4,False,NaT,,4,False
RUS,63,Mercedes,11,SOFT,5,False,0 days 00:01:30.711000,90.711,4,False
RUS,63,Mercedes,12,SOFT,6,False,NaT,,4,False
RUS,63,Mercedes,13,SOFT,1,True,NaT,,5,False
RUS,63,Mercedes,14,SOFT,2,True,NaT,,5,False
RUS,63,Mercedes,15,SOFT,1,True,NaT,,6,False
RUS,63,Mercedes,16,SOFT,2,True,0 days 00:01:29.867000,89.867,6,True
RUS,63,Mercedes,17,SOFT,3,True,NaT,,6,False
PIA,81,McLaren,1,SOFT,1,True,NaT,,1,False
PIA,81,McLaren,2,SOFT,2,True,0 days 00:01:30.968000,90.968,1,True
PIA,81,McLaren,3,SOFT,3,True,0 days 00:02:13.539000,133.539,1,False
PIA,81,McLaren,4,SOFT,4,False,NaT,,2,False
PIA,81,McLaren,5,SOFT,5,False,0 days 00:01:30.258000,90.258,2,True
PIA,81,McLaren,6,SOFT,6,False,0 days 00:02:37.882000,157.882,2,False
PIA,81,McLaren,7,SOFT,1,True,NaT,,3,False
PIA,81,McLaren,8,SOFT,2,True,0 days 00:01:30.327000,90.327,3,True
PIA,81,McLaren,9,SOFT,3,True,0 days 00:02:05.043000,125.043,3,False
PIA,81,McLaren,10,SOFT,1,True,NaT,,4,False
PIA,81,McLaren,11,SOFT,2,True,0 days 00:01:29.640000,89.64,4,True
PIA,81,McLaren,12,SOFT,3,True,0 days 00:02:06.279000,126.279,4,False
PIA,81,McLaren,13,SOFT,1,True,NaT,,5,False
PIA,81,McLaren,14,SOFT,2,True,0 days 00:01:30.037000,90.037,5,True
PIA,81,McLaren,15,SOFT,3,True,NaT,,5,False
PIA,81,McLaren,16,SOFT,1,True,NaT,,6,False
PIA,81,McLaren,17,SOFT,2,True,0 days 00:01:29.953000,89.953,6,True
PIA,81,McLaren,18,SOFT,3,True,NaT,,6,False
HUL,27,Haas F1 Team,1,SOFT,1,True,NaT,,1,False
HUL,27,Haas F1 Team,2,SOFT,2,True,0 days 00:01:30.985000,90.985,1,True
HUL,27,Haas F1 Team,3,SOFT,3,True,0 days 00:01:48.183000,108.183,1,False
HUL,27,Haas F1 Team,4,SOFT,1,True,NaT,,2,False
HUL,27,Haas F1 Team,5,SOFT,2,True,0 days 00:01:30.724000,90.724,2,True
HUL,27,Haas F1 Team,6,SOFT,3,True,0 days 00:02:03.450000,123.45,2,False
HUL,27,Haas F1 Team,7,SOFT,1,True,NaT,,3,False
HUL,27,Haas F1 Team,8,SOFT,2,True,0 days 00:01:30.374000,90.374,3,True
HUL,27,Haas F1 Team,9,SOFT,3,True,0 days 00:02:22.485000,142.485,3,False
HUL,27,Haas F1 Team,10,SOFT,1,True,NaT,,4,False
HUL,27,Haas F1 Team,11,SOFT,2,True,0 days 00:01:30.150000,90.15,4,True
HUL,27,Haas F1 Team,12,SOFT,3,True,0 days 00:02:03.045000,123.045,4,False
HUL,27,Haas F1 Team,13,SOFT,4,False,NaT,,5,False
HUL,27,Haas F1 Team,14,SOFT,5,False,0 days 00:01:30.848000,90.848,5,True
HUL,27,Haas F1 Team,15,SOFT,6,False,NaT,,5,False
HUL,27,Haas F1 Team,16,SOFT,1,True,NaT,,6,False
HUL,27,Haas F1 Team,17,SOFT,2,True,0 days 00:01:30.115000,90.115,6,True
HUL,27,Haas F1 Team,18,SOFT,3,True,NaT,,6,False
ALO,14,Aston Martin,1,SOFT,1,True,NaT,,1,False
ALO,14,Aston Martin,2,SOFT,2,True,0 days 00:01:31.035000,91.035,1,True
ALO,14,Aston Martin,3,SOFT,3,True,0 days 00:02:06.417000,126.417,1,False
ALO,14,Aston Martin,4,SOFT,1,True,NaT,,2,False
ALO,14,Aston Martin,5,SOFT,2,True,0 days 00:01:30.684000,90.684,2,True
ALO,14,Aston Martin,6,SOFT,3,True,0 days 00:02:11.997000,131.997,2,False
ALO,14,Aston Martin,7,SOFT,1,True,NaT,,3,False
ALO,14,Aston Martin,8,SOFT,2,True,0 days 00:01:30.960000,90.96,3,True
ALO,14,Aston Martin,9,SOFT,3,True,0 days 00:01:57.367000,117.367,3,False
ALO,14,Aston Martin,10,SOFT,1,True,NaT,,4,False
ALO,14,Aston Martin,11,SOFT,2,True,0 days 00:01:30.450000,90.45,4,True
ALO,14,Aston Martin,12,SOFT,3,True,0 days 00:02:13.497000,133.497,4,False
ALO,14,Aston Martin,13,SOFT,4,False,NaT,,5,False
ALO,14,Aston Martin,14,SOFT,5,False,NaT,,5,False
ALO,14,Aston Martin,15,SOFT,1,True,NaT,,6,False
ALO,14,Aston Martin,16,SOFT,2,True,0 days 00:01:30.214000,90.214,6,True
ALO,14,Aston Martin,17,SOFT,3,True,NaT,,6,False
