Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,MEDIUM,1,True,0 days 00:01:40.424000,100.424,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:38.480000,98.48,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:38.406000,98.406,1,True
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:38.446000,98.446,1,False
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:01:37.938000,97.938,1,True
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:37.843000,97.843,1,True
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:37.621000,97.621,1,True
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:37.082000,97.082,1,True
NOR,4,McLaren,9,MEDIUM,9,True,0 days 00:01:36.715000,96.715,1,True
NOR,4,McLaren,10,MEDIUM,10,True,0 days 00:01:36.830000,96.83,1,False
NOR,4,McLaren,11,MEDIUM,11,True,0 days 00:01:36.651000,96.651,1,True
NOR,4,McLaren,12,MEDIUM,12,True,0 days 00:01:36.495000,96.495,1,True
NOR,4,McLaren,13,MEDIUM,13,True,0 days 00:01:36.670000,96.67,1,False
NOR,4,McLaren,14,MEDIUM,14,True,0 days 00:01:36.832000,96.832,1,False
NOR,4,McLaren,15,MEDIUM,15,True,0 days 00:01:36.758000,96.758,1,False
NOR,4,McLaren,16,MEDIUM,16,True,0 days 00:01:36.624000,96.624,1,False
NOR,4,McLaren,17,MEDIUM,17,True,0 days 00:01:37.008000,97.008,1,False
NOR,4,McLaren,18,MEDIUM,18,True,0 days 00:01:37.068000,97.068,1,False
NOR,4,McLaren,19,MEDIUM,19,True,0 days 00:01:37.282000,97.282,1,False
NOR,4,McLaren,20,MEDIUM,20,True,0 days 00:01:36.887000,96.887,1,False
NOR,4,McLaren,21,MEDIUM,21,True,0 days 00:01:37.198000,97.198,1,False
NOR,4,McLaren,22,MEDIUM,22,True,0 days 00:01:37.115000,97.115,1,False
NOR,4,McLaren,23,MEDIUM,23,True,0 days 00:01:37.212000,97.212,1,False
NOR,4,McLaren,24,MEDIUM,24,True,0 days 00:01:37.527000,97.527,1,False
NOR,4,McLaren,25,MEDIUM,25,True,0 days 00:01:37.404000,97.404,1,False
NOR,4,McLaren,26,MEDIUM,26,True,0 days 00:01:37.260000,97.26,1,False
NOR,4,McLaren,27,MEDIUM,27,True,0 days 00:01:37.603000,97.603,1,False
NOR,4,McLaren,28,MEDIUM,28,True,0 days 00:01:37.528000,97.528,1,False
NOR,4,McLaren,29,MEDIUM,29,True,0 days 00:01:41.878000,101.878,1,False
NOR,4,McLaren,30,MEDIUM,30,True,0 days 00:01:47.073000,107.073,1,False
NOR,4,McLaren,31,HARD,1,True,0 days 00:01:58.408000,118.408,2,False
NOR,4,McLaren,32,HARD,2,True,0 days 00:01:37.034000,97.034,2,False
NOR,4,McLaren,33,HARD,3,True,0 days 00:01:36.684000,96.684,2,False
NOR,4,McLaren,34,HARD,4,True,0 days 00:01:36.714000,96.714,2,False
NOR,4,McLaren,35,HARD,5,True,0 days 00:01:36.524000,96.524,2,False
NOR,4,McLaren,36,HARD,6,True,0 days 00:01:36.216000,96.216,2,True
NOR,4,McLaren,37,HARD,7,True,0 days 00:01:36.435000,96.435,2,False
NOR,4,McLaren,38,HARD,8,True,0 days 00:01:36.710000,96.71,2,False
NOR,4,McLaren,39,HARD,9,True,0 days 00:01:37.325000,97.325,2,False
NOR,4,McLaren,40,HARD,10,True,0 days 00:01:37.194000,97.194,2,False
NOR,4,McLaren,41,HARD,11,True,0 days 00:01:36.570000,96.57,2,False
NOR,4,McLaren,42,HARD,12,True,0 days 00:01:36.404000,96.404,2,False
NOR,4,McLaren,43,HARD,13,True,0 days 00:01:36.610000,96.61,2,False
NOR,4,McLaren,44,HARD,14,True,0 days 00:01:36.275000,96.275,2,False
NOR,4,McLaren,45,HARD,15,True,0 days 00:01:36.928000,96.928,2,False
NOR,4,McLaren,46,HARD,16,True,0 days 00:01:35.953000,95.953,2,True
NOR,4,McLaren,47,HARD,17,True,0 days 00:01:36.567000,96.567,2,False
NOR,4,McLaren,48,HARD,18,True,0 days 00:01:34.925000,94.925,2,True
NOR,4,McLaren,49,HARD,19,True,0 days 00:01:36.060000,96.06,2,False
NOR,4,McLaren,50,HARD,20,True,0 days 00:01:36.311000,96.311,2,False
NOR,4,McLaren,51,HARD,21,True,0 days 00:01:36.603000,96.603,2,False
NOR,4,McLaren,52,HARD,22,True,0 days 00:01:36.192000,96.192,2,False
NOR,4,McLaren,53,HARD,23,True,0 days 00:01:36.435000,96.435,2,False
NOR,4,McLaren,54,HARD,24,True,0 days 00:01:36.749000,96.749,2,False
NOR,4,McLaren,55,HARD,25,True,0 days 00:01:36.786000,96.786,2,False
NOR,4,McLaren,56,HARD,26,True,0 days 00:01:37.197000,97.197,2,False
NOR,4,McLaren,57,HARD,27,True,0 days 00:01:38.849000,98.849,2,False
NOR,4,McLaren,58,HARD,28,True,0 days 00:01:37.734000,97.734,2,False
NOR,4,McLaren,59,HARD,29,True,0 days 00:01:36.948000,96.948,2,False
NOR,4,McLaren,60,HARD,30,True,0 days 00:01:36.631000,96.631,2,False
NOR,4,McLaren,61,HARD,31,True,0 days 00:01:36.820000,96.82,2,False
NOR,4,McLaren,62,HARD,32,True,0 days 00:01:37.922000,97.922,2,False
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:41.413000,101.413,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:38.790000,98.79,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:38.917000,98.917,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:38.470000,98.47,1,True
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:37.906000,97.906,1,True
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:37.997000,97.997,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:37.774000,97.774,1,True
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:37.669000,97.669,1,True
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:37.890000,97.89,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:37.739000,97.739,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:37.593000,97.593,1,True
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:37.778000,97.778,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:37.701000,97.701,1,False
VER,1,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:37.707000,97.707,1,False
VER,1,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:37.826000,97.826,1,False
VER,1,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:37.851000,97.851,1,False
VER,1,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:37.987000,97.987,1,False
VER,1,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:38.068000,98.068,1,False
VER,1,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:38.017000,98.017,1,False
VER,1,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:38.123000,98.123,1,False
VER,1,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:38.172000,98.172,1,False
