Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,HARD,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,HARD,2,True,0 days 00:01:37.593000,97.593,1,True
VER,1,Red Bull Racing,3,HARD,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,HARD,4,True,0 days 00:01:35.538000,95.538,1,True
VER,1,Red Bull Racing,5,HARD,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,HARD,6,True,0 days 00:01:35.709000,95.709,1,False
VER,1,Red Bull Racing,7,HARD,7,True,0 days 00:02:23.004000,143.004,1,False
VER,1,Red Bull Racing,8,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,9,SOFT,2,True,0 days 00:01:33.855000,93.855,2,True
VER,1,Red Bull Racing,10,SOFT,3,True,NaT,,2,False
VER,1,Red Bull Racing,11,SOFT,4,True,NaT,,2,False
VER,1,Red Bull Racing,12,SOFT,5,True,0 days 00:01:33.991000,93.991,2,False
VER,1,Red Bull Racing,13,SOFT,6,True,0 days 00:01:52.581000,112.581,2,False
VER,1,Red Bull Racing,14,SOFT,7,False,NaT,,3,False
VER,1,Red Bull Racing,15,SOFT,8,False,0 days 00:01:40.499000,100.499,3,False
VER,1,Red Bull Racing,16,SOFT,9,False,0 days 00:01:40.708000,100.708,3,False
VER,1,Red Bull Racing,17,SOFT,10,False,0 days 00:01:53.679000,113.679,3,False
VER,1,Red Bull Racing,18,SOFT,11,False,0 days 00:01:40.496000,100.496,3,False
VER,1,Red Bull Racing,19,SOFT,12,False,0 days 00:01:40.299000,100.299,3,False
VER,1,Red Bull Racing,20,SOFT,13,False,0 days 00:01:40.871000,100.871,3,False
VER,1,Red Bull Racing,21,SOFT,14,False,0 days 00:01:40.251000,100.251,3,False
VER,1,Red Bull Racing,22,SOFT,15,False,0 days 00:02:19.314000,139.314,3,False
VER,1,Red Bull Racing,23,SOFT,16,False,0 days 00:02:17.079000,137.079,3,False
NOR,4,McLaren,1,HARD,1,True,NaT,,1,False
NOR,4,McLaren,2,HARD,2,True,0 days 00:01:39.704000,99.704,1,True
NOR,4,McLaren,3,HARD,3,True,0 days 00:02:20.018000,140.018,1,False
NOR,4,McLaren,4,HARD,4,True,0 days 00:01:36.725000,96.725,1,True
NOR,4,McLaren,5,HARD,5,True,0 days 00:02:29.990000,149.99,1,False
NOR,4,McLaren,6,HARD,6,True,0 days 00:01:58.489000,118.489,1,False
NOR,4,McLaren,7,HARD,7,False,NaT,,2,False
NOR,4,McLaren,8,HARD,8,False,0 days 00:01:36.430000,96.43,2,True
NOR,4,McLaren,9,HARD,9,False,0 days 00:02:10.961000,130.961,2,False
NOR,4,McLaren,10,HARD,10,False,0 days 00:01:35.765000,95.765,2,True
NOR,4,McLaren,11,HARD,11,False,0 days 00:01:50.315000,110.315,2,False
NOR,4,McLaren,12,HARD,12,False,NaT,,3,False
NOR,4,McLaren,13,HARD,13,False,0 days 00:01:52.309000,112.309,3,False
NOR,4,McLaren,14,HARD,14,False,0 days 00:01:38.431000,98.431,3,False
NOR,4,McLaren,15,HARD,15,False,0 days 00:01:37.397000,97.397,3,False
NOR,4,McLaren,16,HARD,16,False,0 days 00:01:37.528000,97.528,3,False
NOR,4,McLaren,17,HARD,17,False,0 days 00:01:37.429000,97.429,3,False
NOR,4,McLaren,18,HARD,18,False,0 days 00:01:37.102000,97.102,3,False
NOR,4,McLaren,19,HARD,19,False,0 days 00:01:37.276000,97.276,3,False
NOR,4,McLaren,20,HARD,20,False,0 days 00:01:40.152000,100.152,3,False
NOR,4,McLaren,21,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,22,SOFT,2,True,0 days 00:01:33.868000,93.868,4,True
NOR,4,McLaren,23,SOFT,3,True,0 days 00:02:06.398000,126.398,4,False
NOR,4,McLaren,24,SOFT,4,True,0 days 00:02:17.387000,137.387,4,False
NOR,4,McLaren,25,SOFT,5,True,0 days 00:02:25.155000,145.155,4,False
GAS,10,Alpine,1,HARD,1,True,NaT,,1,False
GAS,10,Alpine,2,HARD,2,True,0 days 00:01:40.408000,100.408,1,True
GAS,10,Alpine,3,HARD,3,True,0 days 00:02:18.773000,138.773,1,False
GAS,10,Alpine,4,HARD,4,True,0 days 00:01:37.674000,97.674,1,True
GAS,10,Alpine,5,HARD,5,True,NaT,,1,False
GAS,10,Alpine,6,HARD,6,True,0 days 00:02:16.734000,136.734,1,False
GAS,10,Alpine,7,HARD,7,True,0 days 00:02:00.496000,120.496,1,False
GAS,10,Alpine,8,HARD,8,False,NaT,,2,False
GAS,10,Alpine,9,HARD,9,False,0 days 00:01:37,97.0,2,True
GAS,10,Alpine,10,HARD,10,False,0 days 00:02:19.983000,139.983,2,False
GAS,10,Alpine,11,HARD,11,False,0 days 00:01:36.915000,96.915,2,True
GAS,10,Alpine,12,HARD,12,False,0 days 00:01:40.657000,100.657,2,False
GAS,10,Alpine,13,HARD,13,False,0 days 00:01:38.378000,98.378,2,False
GAS,10,Alpine,14,HARD,14,False,0 days 00:01:38.401000,98.401,2,False
GAS,10,Alpine,15,HARD,15,False,0 days 00:01:38.647000,98.647,2,False
GAS,10,Alpine,16,HARD,16,False,0 days 00:01:55.618000,115.618,2,False
GAS,10,Alpine,17,SOFT,1,True,NaT,,3,False
GAS,10,Alpine,18,SOFT,2,True,0 days 00:01:34.375000,94.375,3,True
GAS,10,Alpine,19,SOFT,3,True,NaT,,3,False
GAS,10,Alpine,20,SOFT,4,True,0 days 00:02:04.832000,124.832,3,False
GAS,10,Alpine,21,SOFT,5,True,0 days 00:01:34.774000,94.774,3,False
GAS,10,Alpine,22,SOFT,6,True,0 days 00:02:20.686000,140.686,3,False
GAS,10,Alpine,23,SOFT,7,True,0 days 00:02:18.755000,138.755,3,False
GAS,10,Alpine,24,SOFT,8,True,0 days 00:02:16.364000,136.364,3,False
PER,11,Red Bull Racing,1,HARD,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,HARD,2,True,0 days 00:01:39.959000,99.959,1,True
PER,11,Red Bull Racing,3,HARD,3,True,0 days 00:02:24.090000,144.09,1,False
PER,11,Red Bull Racing,4,HARD,4,True,0 days 00:01:36.823000,96.823,1,True
PER,11,Red Bull Racing,5,HARD,5,True,NaT,,1,False
PER,11,Red Bull Racing,6,HARD,6,True,0 days 00:01:48.120000,108.12,1,False
PER,11,Red Bull Racing,7,HARD,7,True,0 days 00:02:15.339000,135.339,1,False
PER,11,Red Bull Racing,8,HARD,8,True,0 days 00:01:36.096000,96.096,1,True
PER,11,Red Bull Racing,9,HARD,9,True,0 days 00:02:00.510000,120.51,1,False
PER,11,Red Bull Racing,10,SOFT,1,True,NaT,,2,False
PER,11,Red Bull Racing,11,SOFT,2,True,0 days 00:01:34.717000,94.717,2,True
PER,11,Red Bull Racing,12,SOFT,3,True,NaT,,2,False
PER,11,Red Bull Racing,13,SOFT,4,False,NaT,,3,False
PER,11,Red Bull Racing,14,SOFT,5,False,0 days 00:01:34.638000,94.638,3,True
PER,11,Red Bull Racing,15,SOFT,6,False,0 days 00:02:08.279000,128.279,3,False
