Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,SOFT,4,False,NaT,,1,False
NOR,4,McLaren,2,SOFT,5,False,0 days 00:01:34.029000,94.029,1,True
NOR,4,McLaren,3,SOFT,6,False,0 days 00:01:57.234000,117.234,1,False
NOR,4,McLaren,4,SOFT,1,True,NaT,,2,False
NOR,4,McLaren,5,SOFT,2,True,0 days 00:01:33.616000,93.616,2,True
NOR,4,McLaren,6,SOFT,3,True,0 days 00:02:07.180000,127.18,2,False
NOR,4,McLaren,7,SOFT,4,True,0 days 00:02:22.963000,142.963,2,False
NOR,4,McLaren,8,SOFT,5,True,0 days 00:01:38.948000,98.948,2,False
NOR,4,McLaren,9,SOFT,1,True,NaT,,3,False
NOR,4,McLaren,10,SOFT,2,True,0 days 00:01:32.851000,92.851,3,True
NOR,4,McLaren,11,SOFT,3,True,0 days 00:01:55.909000,115.909,3,False
NOR,4,McLaren,12,SOFT,1,True,NaT,,4,False
NOR,4,McLaren,13,SOFT,2,True,0 days 00:01:32.330000,92.33,4,True
NOR,4,McLaren,14,SOFT,3,True,0 days 00:01:59.008000,119.008,4,False
NOR,4,McLaren,15,SOFT,1,True,NaT,,5,False
NOR,4,McLaren,16,SOFT,2,True,0 days 00:01:45.150000,105.15,5,False
VER,1,Red Bull Racing,1,SOFT,4,False,NaT,,1,False
VER,1,Red Bull Racing,2,SOFT,5,False,0 days 00:01:33.690000,93.69,1,True
VER,1,Red Bull Racing,3,SOFT,6,False,0 days 00:01:53.762000,113.762,1,False
VER,1,Red Bull Racing,4,SOFT,1,True,NaT,,2,False
VER,1,Red Bull Racing,5,SOFT,2,True,0 days 00:01:33.046000,93.046,2,True
VER,1,Red Bull Racing,6,SOFT,3,True,0 days 00:02:07.654000,127.654,2,False
VER,1,Red Bull Racing,7,SOFT,4,False,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,5,False,0 days 00:01:33.052000,93.052,3,True
VER,1,Red Bull Racing,9,SOFT,6,False,0 days 00:01:46.674000,106.674,3,False
VER,1,Red Bull Racing,10,SOFT,1,True,NaT,,4,False
VER,1,Red Bull Racing,11,SOFT,2,True,0 days 00:01:32.584000,92.584,4,True
VER,1,Red Bull Racing,12,SOFT,3,True,0 days 00:02:08.475000,128.475,4,False
VER,1,Red Bull Racing,13,SOFT,1,True,NaT,,5,False
VER,1,Red Bull Racing,14,SOFT,2,True,0 days 00:01:32.361000,92.361,5,True
VER,1,Red Bull Racing,15,SOFT,3,True,0 days 00:01:48.928000,108.928,5,False
VER,1,Red Bull Racing,16,SOFT,1,True,NaT,,6,False
VER,1,Red Bull Racing,17,SOFT,2,True,0 days 00:01:48.460000,108.46,6,False
SAI,55,Ferrari,1,SOFT,4,False,NaT,,1,False
SAI,55,Ferrari,2,SOFT,5,False,0 days 00:01:34.104000,94.104,1,True
SAI,55,Ferrari,3,SOFT,6,False,0 days 00:01:59.226000,119.226,1,False
SAI,55,Ferrari,4,SOFT,1,True,NaT,,2,False
SAI,55,Ferrari,5,SOFT,2,True,0 days 00:01:33.556000,93.556,2,True
SAI,55,Ferrari,6,SOFT,3,True,0 days 00:02:11.357000,131.357,2,False
SAI,55,Ferrari,7,SOFT,4,True,0 days 00:02:25.419000,145.419,2,False
