Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:41.657000,101.657,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:39.991000,99.991,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:02.849000,122.849,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,NaT,,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,NaT,,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:39.779000,99.779,1,True
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:39.731000,99.731,1,True
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:40.082000,100.082,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:40.032000,100.032,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:39.970000,99.97,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:40.246000,100.246,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:40.182000,100.182,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:39.936000,99.936,1,False
VER,1,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:39.846000,99.846,1,False
VER,1,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:40.192000,100.192,1,False
VER,1,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:40.033000,100.033,1,False
VER,1,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:40.160000,100.16,1,False
VER,1,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:39.921000,99.921,1,False
VER,1,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:39.981000,99.981,1,False
VER,1,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:39.986000,99.986,1,False
VER,1,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:39.803000,99.803,1,False
VER,1,Red Bull Racing,22,MEDIUM,22,True,0 days 00:01:40.099000,100.099,1,False
VER,1,Red Bull Racing,23,MEDIUM,23,True,0 days 00:01:40.420000,100.42,1,False
VER,1,Red Bull Racing,24,MEDIUM,24,True,0 days 00:01:40.318000,100.318,1,False
VER,1,Red Bull Racing,25,MEDIUM,25,True,0 days 00:01:40.718000,100.718,1,False
VER,1,Red Bull Racing,26,HARD,1,True,0 days 00:01:59.619000,119.619,2,False
VER,1,Red Bull Racing,27,HARD,2,True,0 days 00:01:39.046000,99.046,2,True
VER,1,Red Bull Racing,28,HARD,3,True,0 days 00:01:38.784000,98.784,2,True
VER,1,Red Bull Racing,29,HARD,4,True,0 days 00:01:39.067000,99.067,2,False
VER,1,Red Bull Racing,30,HARD,5,True,0 days 00:01:38.750000,98.75,2,True
VER,1,Red Bull Racing,31,HARD,6,True,0 days 00:01:39.058000,99.058,2,False
VER,1,Red Bull Racing,32,HARD,7,True,0 days 00:01:39.106000,99.106,2,False
VER,1,Red Bull Racing,33,HARD,8,True,0 days 00:01:38.827000,98.827,2,False
VER,1,Red Bull Racing,34,HARD,9,True,0 days 00:01:39.063000,99.063,2,False
VER,1,Red Bull Racing,35,HARD,10,True,0 days 00:01:39.004000,99.004,2,False
VER,1,Red Bull Racing,36,HARD,11,True,0 days 00:01:38.715000,98.715,2,True
VER,1,Red Bull Racing,37,HARD,12,True,0 days 00:01:38.963000,98.963,2,False
VER,1,Red Bull Racing,38,HARD,13,True,0 days 00:01:38.641000,98.641,2,True
VER,1,Red Bull Racing,39,HARD,14,True,0 days 00:01:38.358000,98.358,2,True
VER,1,Red Bull Racing,40,HARD,15,True,0 days 00:01:38.624000,98.624,2,False
VER,1,Red Bull Racing,41,HARD,16,True,0 days 00:01:38.463000,98.463,2,False
VER,1,Red Bull Racing,42,HARD,17,True,0 days 00:01:38.117000,98.117,2,True
VER,1,Red Bull Racing,43,HARD,18,True,0 days 00:01:38.526000,98.526,2,False
VER,1,Red Bull Racing,44,HARD,19,True,0 days 00:01:38.453000,98.453,2,False
VER,1,Red Bull Racing,45,HARD,20,True,0 days 00:01:38.269000,98.269,2,False
VER,1,Red Bull Racing,46,HARD,21,True,0 days 00:01:38.255000,98.255,2,False
VER,1,Red Bull Racing,47,HARD,22,True,0 days 00:01:39.191000,99.191,2,False
VER,1,Red Bull Racing,48,HARD,23,True,0 days 00:01:38.572000,98.572,2,False
VER,1,Red Bull Racing,49,HARD,24,True,0 days 00:01:38.598000,98.598,2,False
VER,1,Red Bull Racing,50,HARD,25,True,0 days 00:01:38.692000,98.692,2,False
VER,1,Red Bull Racing,51,HARD,26,True,0 days 00:01:39.105000,99.105,2,False
VER,1,Red Bull Racing,52,HARD,27,True,0 days 00:01:40.819000,100.819,2,False
VER,1,Red Bull Racing,53,HARD,28,True,0 days 00:01:39.384000,99.384,2,False
VER,1,Red Bull Racing,54,HARD,29,True,0 days 00:01:38.661000,98.661,2,False
VER,1,Red Bull Racing,55,HARD,30,True,0 days 00:01:38.252000,98.252,2,False
VER,1,Red Bull Racing,56,HARD,31,True,0 days 00:01:39.018000,99.018,2,False
GAS,10,Alpine,1,MEDIUM,1,True,0 days 00:01:44.426000,104.426,1,False
GAS,10,Alpine,2,MEDIUM,2,True,0 days 00:01:42.067000,102.067,1,True
GAS,10,Alpine,3,MEDIUM,3,True,0 days 00:02:08.872000,128.872,1,False
GAS,10,Alpine,4,MEDIUM,4,True,0 days 00:02:29.840000,149.84,1,False
GAS,10,Alpine,5,MEDIUM,5,True,NaT,,1,False
GAS,10,Alpine,6,MEDIUM,6,True,0 days 00:01:42.096000,102.096,1,False
GAS,10,Alpine,7,MEDIUM,7,True,0 days 00:01:41.487000,101.487,1,True
GAS,10,Alpine,8,MEDIUM,8,True,0 days 00:01:41.037000,101.037,1,True
GAS,10,Alpine,9,MEDIUM,9,True,0 days 00:01:40.712000,100.712,1,True
GAS,10,Alpine,10,MEDIUM,10,True,0 days 00:01:40.571000,100.571,1,True
GAS,10,Alpine,11,MEDIUM,11,True,0 days 00:01:41.291000,101.291,1,False
GAS,10,Alpine,12,MEDIUM,12,True,0 days 00:01:41.086000,101.086,1,False
GAS,10,Alpine,13,MEDIUM,13,True,0 days 00:01:41.046000,101.046,1,False
GAS,10,Alpine,14,MEDIUM,14,True,0 days 00:01:41.551000,101.551,1,False
GAS,10,Alpine,15,MEDIUM,15,True,0 days 00:01:41.499000,101.499,1,False
GAS,10,Alpine,16,MEDIUM,16,True,0 days 00:01:41.306000,101.306,1,False
GAS,10,Alpine,17,MEDIUM,17,True,0 days 00:01:42.142000,102.142,1,False
GAS,10,Alpine,18,MEDIUM,18,True,0 days 00:01:41.038000,101.038,1,False
GAS,10,Alpine,19,HARD,1,True,0 days 00:02:05.822000,125.822,2,False
GAS,10,Alpine,20,HARD,2,True,0 days 00:01:41.596000,101.596,2,False
GAS,10,Alpine,21,HARD,3,True,0 days 00:01:41.132000,101.132,2,False
GAS,10,Alpine,22,HARD,4,True,0 days 00:01:41.033000,101.033,2,False
GAS,10,Alpine,23,HARD,5,True,0 days 00:01:41.083000,101.083,2,False
GAS,10,Alpine,24,HARD,6,True,0 days 00:01:40.915000,100.915,2,False
GAS,10,Alpine,25,HARD,7,True,0 days 00:01:40.986000,100.986,2,False
GAS,10,Alpine,26,HARD,8,True,0 days 00:01:41.954000,101.954,2,False
GAS,10,Alpine,27,HARD,9,True,0 days 00:01:42.407000,102.407,2,False
GAS,10,Alpine,28,HARD,10,True,0 days 00:01:40.730000,100.73,2,False
GAS,10,Alpine,29,HARD,11,True,0 days 00:01:40.435000,100.435,2,True
GAS,10,Alpine,30,HARD,12,True,0 days 00:01:40.672000,100.672,2,False
GAS,10,Alpine,31,HARD,13,True,0 days 00:01:40.791000,100.791,2,False
GAS,10,Alpine,32,HARD,14,True,0 days 00:01:40.493000,100.493,2,False
GAS,10,Alpine,33,HARD,15,True,0 days 00:01:40.244000,100.244,2,True
GAS,10,Alpine,34,HARD,16,True,0 days 00:01:39.905000,99.905,2,True
GAS,10,Alpine,35,HARD,17,True,0 days 00:01:39.866000,99.866,2,True
GAS,10,Alpine,36,HARD,18,True,0 days 00:01:40.630000,100.63,2,False
GAS,10,Alpine,37,HARD,19,True,0 days 00:01:40.698000,100.698,2,False
GAS,10,Alpine,38,HARD,20,True,0 days 00:01:40.845000,100.845,2,False
GAS,10,Alpine,39,HARD,21,True,0 days 00:01:39.981000,99.981,2,False
GAS,10,Alpine,40,HARD,22,True,0 days 00:01:39.899000,99.899,2,False
GAS,10,Alpine,41,HARD,23,True,0 days 00:01:40.583000,100.583,2,False
GAS,10,Alpine,42,HARD,24,True,0 days 00:01:39.141000,99.141,2,True
GAS,10,Alpine,43,HARD,25,True,0 days 00:01:39.276000,99.276,2,False
GAS,10,Alpine,44,HARD,26,True,0 days 00:01:39.550000,99.55,2,False
GAS,10,Alpine,45,HARD,27,True,0 days 00:01:40.665000,100.665,2,False
GAS,10,Alpine,46,HARD,28,True,0 days 00:01:39.364000,99.364,2,False
GAS,10,Alpine,47,HARD,29,True,0 days 00:01:40.973000,100.973,2,False
GAS,10,Alpine,48,HARD,30,True,0 days 00:01:39.561000,99.561,2,False
GAS,10,Alpine,49,HARD,31,True,0 days 00:01:39.300000,99.3,2,False
GAS,10,Alpine,50,HARD,32,True,0 days 00:01:39.174000,99.174,2,False
GAS,10,Alpine,51,HARD,33,True,0 days 00:01:39.384000,99.384,2,False
GAS,10,Alpine,52,HARD,34,True,0 days 00:01:38.900000,98.9,2,True
GAS,10,Alpine,53,HARD,35,True,0 days 00:01:39.127000,99.127,2,False
GAS,10,Alpine,54,HARD,36,True,0 days 00:01:38.728000,98.728,2,True
GAS,10,Alpine,55,HARD,37,True,0 days 00:01:38.311000,98.311,2,True
GAS,10,Alpine,56,HARD,38,True,0 days 00:01:38.769000,98.769,2,False
PER,11,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:46.074000,106.074,1,False
PER,11,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:42.416000,102.416,1,True
PER,11,Red Bull Racing,3,MEDIUM,3,True,0 days 00:02:12.043000,132.043,1,False
PER,11,Red Bull Racing,4,MEDIUM,4,True,NaT,,1,False
PER,11,Red Bull Racing,5,MEDIUM,5,True,NaT,,1,False
PER,11,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:42.576000,102.576,1,False
PER,11,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:41.703000,101.703,1,True
PER,11,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:41.129000,101.129,1,True
PER,11,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:41.402000,101.402,1,False
PER,11,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:41.136000,101.136,1,False
PER,11,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:41.525000,101.525,1,False
PER,11,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:41.491000,101.491,1,False
PER,11,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:41.219000,101.219,1,False
PER,11,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:41.431000,101.431,1,False
PER,11,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:41.611000,101.611,1,False
PER,11,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:41.468000,101.468,1,False
PER,11,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:41.480000,101.48,1,False
PER,11,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:40.538000,100.538,1,True
PER,11,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:40.258000,100.258,1,True
PER,11,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:40.252000,100.252,1,True
PER,11,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:40.570000,100.57,1,False
PER,11,Red Bull Racing,22,MEDIUM,22,True,0 days 00:01:41.456000,101.456,1,False
