Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,HARD,1,True,NaT,,1,False
VER,1,Red Bull Racing,2,HARD,2,True,0 days 00:01:20.970000,80.97,1,True
VER,1,Red Bull Racing,3,HARD,3,True,NaT,,1,False
VER,1,Red Bull Racing,4,HARD,4,False,NaT,,2,False
VER,1,Red Bull Racing,5,HARD,5,False,0 days 00:01:20.085000,80.085,2,True
VER,1,Red Bull Racing,6,HARD,6,False,NaT,,2,False
VER,1,Red Bull Racing,7,SOFT,1,True,NaT,,3,False
VER,1,Red Bull Racing,8,SOFT,2,True,0 days 00:01:18.839000,78.839,3,True
VER,1,Red Bull Racing,9,SOFT,3,True,0 days 00:01:46.198000,106.198,3,False
VER,1,Red Bull Racing,10,HARD,7,False,NaT,,4,False
VER,1,Red Bull Racing,11,HARD,8,False,0 days 00:01:22.691000,82.691,4,False
VER,1,Red Bull Racing,12,HARD,9,False,0 days 00:01:22.605000,82.605,4,False
VER,1,Red Bull Racing,13,HARD,10,False,0 days 00:01:23.752000,83.752,4,False
VER,1,Red Bull Racing,14,HARD,11,False,0 days 00:01:44.782000,104.782,4,False
GAS,10,Alpine,1,HARD,1,True,NaT,,1,False
GAS,10,Alpine,2,HARD,2,False,NaT,,2,False
GAS,10,Alpine,3,HARD,3,False,NaT,,3,False
GAS,10,Alpine,4,HARD,4,False,0 days 00:01:27.847000,87.847,3,True
GAS,10,Alpine,5,HARD,5,False,0 days 00:01:21.195000,81.195,3,True
GAS,10,Alpine,6,HARD,6,False,0 days 00:01:43.747000,103.747,3,False
GAS,10,Alpine,7,HARD,7,False,0 days 00:01:24.489000,84.489,3,False
GAS,10,Alpine,8,HARD,8,False,0 days 00:01:52.760000,112.76,3,False
GAS,10,Alpine,9,HARD,9,False,NaT,,3,False
GAS,10,Alpine,10,SOFT,1,True,NaT,,4,False
GAS,10,Alpine,11,SOFT,2,True,0 days 00:01:19.610000,79.61,4,True
GAS,10,Alpine,12,SOFT,3,True,0 days 00:02:04.610000,124.61,4,False
GAS,10,Alpine,13,SOFT,4,False,0 days 00:02:08.403000,128.403,5,False
GAS,10,Alpine,14,SOFT,5,False,0 days 00:01:19.340000,79.34,5,True
GAS,10,Alpine,15,SOFT,6,False,0 days 00:01:49.184000,109.184,5,False
GAS,10,Alpine,16,HARD,10,False,NaT,,6,False
GAS,10,Alpine,17,HARD,11,False,0 days 00:01:23.751000,83.751,6,False
GAS,10,Alpine,18,HARD,12,False,0 days 00:01:23.469000,83.469,6,False
GAS,10,Alpine,19,HARD,13,False,0 days 00:01:38.640000,98.64,6,False
GAS,10,Alpine,20,HARD,14,False,0 days 00:02:03.184000,123.184,6,False
PER,11,Red Bull Racing,1,HARD,1,True,NaT,,1,False
PER,11,Red Bull Racing,2,HARD,2,True,NaT,,1,False
PER,11,Red Bull Racing,3,HARD,3,False,NaT,,2,False
PER,11,Red Bull Racing,4,HARD,4,False,0 days 00:01:20.795000,80.795,2,True
PER,11,Red Bull Racing,5,HARD,5,False,0 days 00:02:03.685000,123.685,2,False
PER,11,Red Bull Racing,6,HARD,6,False,0 days 00:01:20.595000,80.595,2,True
PER,11,Red Bull Racing,7,HARD,7,False,0 days 00:02:07.101000,127.101,2,False
PER,11,Red Bull Racing,8,HARD,8,False,0 days 00:01:20.144000,80.144,2,True
PER,11,Red Bull Racing,9,HARD,9,False,0 days 00:01:36.563000,96.563,2,False
PER,11,Red Bull Racing,10,SOFT,1,True,NaT,,3,False
PER,11,Red Bull Racing,11,SOFT,2,True,0 days 00:01:19.094000,79.094,3,True
PER,11,Red Bull Racing,12,SOFT,3,True,0 days 00:01:53.359000,113.359,3,False
PER,11,Red Bull Racing,13,SOFT,4,True,0 days 00:01:57.440000,117.44,3,False
PER,11,Red Bull Racing,14,SOFT,5,True,0 days 00:01:19.109000,79.109,3,False
PER,11,Red Bull Racing,15,SOFT,6,True,0 days 00:01:39.807000,99.807,3,False
PER,11,Red Bull Racing,16,HARD,10,False,NaT,,4,False
PER,11,Red Bull Racing,17,HARD,11,False,0 days 00:01:22.954000,82.954,4,False
PER,11,Red Bull Racing,18,HARD,12,False,0 days 00:01:23.368000,83.368,4,False
PER,11,Red Bull Racing,19,HARD,13,False,0 days 00:01:23.495000,83.495,4,False
